CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,NOM_ABR,CVE_CAB,NOM_CAB,FECHA_ACT,CGO_ACT,DESCRIP
"02","Baja California","006","San Quintin","BC","0001","San Quintin","2020-08-15","M","Nuevo municipio"
"02","Baja California","007","San Felipe","BC","0001","San Felipe","2021-09-30","M","Nuevo municipio"
"02","Baja California","007","San Felipe","BC","0001","San Felipe","2021-09-30","M","Nuevo municipio"
"04","Campeche","013","Dzitbalche","Camp.","0001","Dzitbalche","2021-02-15","M","Nuevo municipio"
"04","Campeche","012","Seybaplaya","Camp.","0001","Seybaplaya","2020-07-15","M","Nuevo municipio"
"04","Campeche","012","Seybaplaya","Camp.","0001","Seybaplaya","2020-07-15","M","Nuevo municipio"
"07","Chiapas","123","Emiliano Zapata","Chis.","0001","20 de Noviembre","2017-11-15","M","Nuevo municipio"
"07","Chiapas","017","Cintalapa de Figueroa","Chis.","0001","Cintalapa de Figueroa","2022-01-31","W","Cambio de nombre"
"07","Chiapas","123","Emiliano Zapata","Chis.","0001","20 de Noviembre","2017-11-15","M","Nuevo municipio"
"07","Chiapas","121","Rincon Chamula San Pedro","Chis.","0001","Rincon Chamula","2017-09-15","M","Nuevo municipio"
"07","Chiapas","124","Mezcalapa","Chis.","0001","Raudales Malpaso","2017-11-15","M","Nuevo municipio"
"07","Chiapas","124","Mezcalapa","Chis.","0001","Raudales Malpaso","2017-11-15","M","Nuevo municipio"
"07","Chiapas","121","Rincon Chamula San Pedro","Chis.","0001","Rincon Chamula","2017-09-15","M","Nuevo municipio"
"07","Chiapas","121","Rincon Chamula San Pedro","Chis.","0001","Rincon Chamula","2017-09-15","M","Nuevo municipio"
"07","Chiapas","120","Capitan Luis angel Vidal","Chis.","0001","Capitan Luis angel Vidal","2017-09-15","M","Nuevo municipio"
"07","Chiapas","125","Honduras de la Sierra","Chis.","0001","Honduras de la Sierra","2020-05-15","M","Nuevo municipio"
"07","Chiapas","121","Rincon Chamula San Pedro","Chis.","0001","Rincon Chamula","2017-09-15","M","Nuevo municipio"
"07","Chiapas","124","Mezcalapa","Chis.","0001","Raudales Malpaso","2017-11-15","M","Nuevo municipio"
"07","Chiapas","123","Emiliano Zapata","Chis.","0001","20 de Noviembre","2017-11-15","M","Nuevo municipio"
"07","Chiapas","122","El Parral","Chis.","0001","El Parral","2017-11-15","M","Nuevo municipio"
"07","Chiapas","122","El Parral","Chis.","0001","El Parral","2017-11-15","M","Nuevo municipio"
"08","Chihuahua","008","Batopilas de Manuel Gomez Morin","Chih.","0001","Batopilas de Manuel Gomez Morin","2017-06-15","W","Cambio de nombre"
"08","Chihuahua","056","Valle del Rosario","Chih.","0001","Valle del Rosario","2025-07-31","W","Cambio de nombre"
"11","Guanajuato","032","San Jose de Iturbide","Gto.","0001","San Jose de Iturbide","2025-06-30","W","Cambio de nombre"
"11","Guanajuato","037","Silao de la Victoria","Gto.","0001","Silao de la Victoria","2013-05-15","W","Cambio de nombre"
"12","Guerrero","006","Apaxtla de Castrejon","Gro.","0001","Ciudad Apaxtla de Castrejon","2025-02-28","W","Cambio de nombre"
"12","Guerrero","083","Ñuu Savi","Gro.","0001","Coapinola","2022-05-31","M","Nuevo municipio"
"12","Guerrero","085","San Nicolas","Gro.","0001","San Nicolas","2022-05-31","M","Nuevo municipio"
"12","Guerrero","084","Santa Cruz del Rincon","Gro.","0001","Santa Cruz del Rincon","2022-05-31","M","Nuevo municipio"
"12","Guerrero","082","Las Vigas","Gro.","0001","Las Vigas","2022-05-31","M","Nuevo municipio"
"14","Jalisco","098","San Pedro Tlaquepaque","Jal.","0001","Tlaquepaque","2012-03-15","W","Cambio de nombre"
"15","Mexico","001","Acambay de Ruiz Castañeda","Mex.","0001","Villa de Acambay de Ruiz Castañeda","2013-01-15","W","Cambio de nombre"
"17","Morelos","013","Jonacatepec de Leandro Valle","Mor.","0001","Jonacatepec de Leandro Valle","2016-10-15","W","Cambio de nombre"
"17","Morelos","034","Coatetelco","Mor.","0001","Coatetelco Centro","2019-07-15","M","Nuevo municipio"
"17","Morelos","035","Xoxocotla","Mor.","0001","Xoxocotla Centro","2019-07-15","M","Nuevo municipio"
"17","Morelos","036","Hueyapan","Mor.","0001","Barrio de San Miguel","2020-07-15","M","Nuevo municipio"
"17","Morelos","024","Tlaltizapan de Zapata","Mor.","0001","Tlaltizapan","2011-02-19","W","Cambio de nombre"
