ejercicio,IdPeriodico,municipio,slug,fecha_publicacion,nombre_documento,pagina,seccion,edicion
2025,10367,Aguascalientes,aguascalientes,2024-12-27,"DECRETO NÚMERO 80.- SE EXPIDE LA LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES, AGUASCALIENTES, PARA EL EJERCICIO FISCAL DEL AÑO 2025",2,PRIMERA SECCION,EXTRAORDINARIO
2024,10078,Aguascalientes,aguascalientes,2023-12-29,"DECRETO 578.- SE EXPIDE LA LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES, AGUASCALIENTES, PARA EL EJERCICIO FISCAL DEL AÑO 2024",2,TERCERA SECCION,EXTRAORDINARIO
2023,9552,Aguascalientes,aguascalientes,2022-12-31,"DECRETO NÚMERO 266.- SE EXPIDE LA LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES, AGUASCALIENTES, PARA EL EJERCICIO FISCAL DEL AÑO 2023",2,CUARTA SECCION,EXTRAORDINARIO
2022,8462,Aguascalientes,aguascalientes,2021-12-29,DECRETO NÚMERO 62. – SE EXPIDE LA LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES PARA EL EJERCICIO FISCAL 2022,2,QUINTA SECCION,EXTRAORDINARIO
2021,4253,Aguascalientes,aguascalientes,2020-12-31,"DECRETO NÚMERO 454.- LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES, AGUASCALIENTES, PARA EL EJERCICIO FISCAL DEL AÑO 2021",2,PRIMERA SECCION,EXTRAORDINARIO
2020,3892,Aguascalientes,aguascalientes,2019-12-27,"DECRETO NÚMERO 277.- LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES, AGUASCALIENTES, PARA EL EJERCICIO FISCAL DEL AÑO 2020.",2,TERCERA SECCION,EXTRAORDINARIO
2019,2652,Aguascalientes,aguascalientes,2018-12-24,"DECRETO NÚMERO 66.- LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES, AGUASCALIENTES, PARA EL EJERCICIO FISCAL DEL AÑO 2019",2,TERCERA SECCION,VESPERTINA
2018,2589,Aguascalientes,aguascalientes,2017-12-22,DECRETO NÚMERO 182.- LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES PARA EL EJERCICIO FISCAL DEL AÑO 2018,2,TERCERA SECCION,EXTRAORDINARIO
2017,161,Aguascalientes,aguascalientes,2016-12-31,"DECRETO NÚMERO 22.- LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES, AGUASCALIENTES, PARA EL EJERCICIO FISCAL DEL AÑO 2017",2,TERCERA SECCION,EXTRAORDINARIO
2016,2065,Aguascalientes,aguascalientes,2015-12-31,"DECRETO NÚMERO 272.- LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES, AGS., PARA EL EJERCICIO FISCAL DEL AÑO 2016",2,CUARTA SECCION,EXTRAORDINARIO
2014,2529,Aguascalientes,aguascalientes,2013-12-31,"DECRETO NÚMERO 18.- LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES, AGS., PARA EL EJERCICIO FISCAL DEL AÑO 2014",2,PRIMERA SECCION,EXTRAORDINARIO
2013,4450,Aguascalientes,aguascalientes,2012-12-31,"DECRETO 291.- LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES, AGS., PARA EL EJERCICIO FISCAL DEL AÑO 2013",2,SEGUNDA SECCION,ORDINARIO
2012,2424,Aguascalientes,aguascalientes,2011-12-31,"DECRETO NÚMERO 30: SE EXPIDE LA LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES, AGS., PARA EL EJERCICIO FISCAL DEL AÑO 2012",2,PRIMERA SECCION,EXTRAORDINARIO
2011,2405,Aguascalientes,aguascalientes,2010-12-31,"DECRETO 30.- SE EXPIDE LA LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES, AGS., PARA EL EJERCICIO FISCAL 2011",2,DÉCIMA PRIMERA SECCIÓN,EXTRAORDINARIO
2011,3810,Aguascalientes,aguascalientes,2010-12-31,"SE EXPIDE LA LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES, AGS., PARA EL EJERCICIO FISCAL DEL AÑO 2011",2,DÉCIMA PRIMERA SECCIÓN,EXTRAORDINARIO
2010,2376,Aguascalientes,aguascalientes,2009-12-31,"DECRETO NÚMERO 347: LEY DE INGRESOS DEL MUNICIPIO DE AGUASCALIENTES, AGS., PARA EL EJERCICIO FISCAL DEL AÑO 2010",2,SEGUNDA SECCION,EXTRAORDINARIO
2025,10368,Asientos,asientos,2024-12-27,"DECRETO NÚMERO 81.- SE EXPIDE LA LEY DE INGRESOS DEL MUNICIPIO DE ASIENTOS, AGUASCALIENTES, PARA EL EJERCICIO FISCAL DEL AÑO 2025",2,SEGUNDA SECCION,EXTRAORDINARIO
2024,10079,Asientos,asientos,2023-12-29,"DECRETO 579.- SE EXPIDE LA LEY DE INGRESOS DEL MUNICIPIO DE ASIENTOS, AGUASCALIENTES, PARA EL EJERCICIO FISCAL DEL AÑO 2024",2,CUARTA SECCION,EXTRAORDINARIO
2023,9553,Asientos,asientos,2022-12-31,"DECRETO NÚMERO 267.- SE EXPIDE LA LEY DE INGRESOS DEL MUNICIPIO DE ASIENTOS, AGUASCALIENTES, PARA EL EJERCICIO FISCAL DEL AÑO 2023",2,QUINTA SECCION,EXTRAORDINARIO
2022,8463,Asientos,asientos,2021-12-29,"DECRETO NÚMERO 63. – SE EXPIDE LA LEY DE INGRESOS DEL MUNICIPIO DE ASIENTOS, AGUASCALIENTES, PARA EL EJERCICIO FISCAL DEL AÑO 2022",2,SEXTA SECCION,EXTRAORDINARIO
2021,4254,Asientos,asientos,2020-12-31,"DECRETO NÚMERO 455.- LEY DE INGRESOS DEL MUNICIPIO DE ASIENTOS, AGUASCALIENTES, PARA EL EJERCICIO FISCAL DEL AÑO 2021",2,SEGUNDA SECCION,EXTRAORDINARIO
