municipio,n_years,years_present,n_missing,years_missing
aguascalientes,15,2010;2011;2012;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2015
asientos,15,2010;2011;2012;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2015
calvillo,14,2010;2011;2012;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2,2013;2015
cosio,14,2010;2011;2012;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2,2013;2015
el_llano,13,2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2025,3,2010;2017;2024
jesus_maria,15,2010;2011;2012;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2015
pabellon_de_arteaga,15,2010;2011;2012;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2013
rincon_de_romos,15,2010;2011;2012;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2015
san_francisco_de_los_romo,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
san_jose_de_gracia,15,2010;2011;2012;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2015
tepezala,13,2010;2011;2013;2014;2016;2017;2018;2019;2020;2021;2023;2024;2025,3,2012;2015;2022
