cvegeo,estado_slug,municipio_slug,municipio_raw,anio,status,source_pdf,ley_page_start,ley_page_end,predial_found,predial_method,predial_page_start,predial_page_end,char_start,char_end,confidence,forced_end,expansion_applied,anchor_text_start,anchor_text_end,next_tax_label,txt_file,txt_chars
01001,aguascalientes,aguascalientes,Aguascalientes,2010,ok,AGS_RAW_2010_aguascalientes.pdf,,,True,capitulo_propiedad_raiz,3,5,4760,13732,1.0,False,False,CAPÍTULO I,Del Impuesto Sobre Adquisición de,,AGS_PREDIAL_2010_aguascalientes.txt,9182
01002,aguascalientes,asientos,Asientos,2010,ok,AGS_RAW_2010_asientos.pdf,,,True,capitulo_propiedad_raiz,2,3,735,6043,1.0,False,False,CAPÍTULO I,CAPÍTULO III,,AGS_PREDIAL_2010_asientos.txt,5506
01003,aguascalientes,calvillo,Calvillo,2010,ok,AGS_RAW_2010_calvillo.pdf,,,True,capitulo_propiedad_raiz,3,4,5578,8773,1.0,False,False,CAPÍTULO I,CAPÍTULO III,,AGS_PREDIAL_2010_calvillo.txt,3393
01004,aguascalientes,cosio,Cosio,2010,ok,AGS_RAW_2010_cosio.pdf,,,True,capitulo_propiedad_raiz,3,4,3520,5449,1.0,False,False,CAPÍTULO I,CAPÍTULO III,,AGS_PREDIAL_2010_cosio.txt,2121
01005,aguascalientes,jesus_maria,Jesus Maria,2010,ok,AGS_RAW_2010_jesus_maria.pdf,,,True,capitulo_propiedad_raiz,3,3,4680,6699,1.0,False,False,CAPÍTULO I,ARTÍCULO 5º.- El impuesto sobre adquisición,,AGS_PREDIAL_2010_jesus_maria.txt,2223
01006,aguascalientes,pabellon_de_arteaga,Pabellon de Arteaga,2010,ok,AGS_RAW_2010_pabellon_de_arteaga.pdf,,,True,capitulo_propiedad_raiz,2,3,779,6771,1.0,False,False,CAPÍTULO I,CAPÍTULO III,,AGS_PREDIAL_2010_pabellon_de_arteaga.txt,6212
01007,aguascalientes,rincon_de_romos,Rincon de Romos,2010,ok,AGS_RAW_2010_rincon_de_romos.pdf,,,True,capitulo_propiedad_raiz,3,4,4419,8873,1.0,False,False,CAPÍTULO I,CAPÍTULO  III,,AGS_PREDIAL_2010_rincon_de_romos.txt,4666
01011,aguascalientes,san_francisco_de_los_romo,San Francisco de los Romo,2010,ok,AGS_RAW_2010_san_francisco_de_los_romo.pdf,,,True,capitulo_propiedad_raiz,3,4,5078,7531,1.0,False,False,CAPÍTULO I,Del Impuesto sobre Adquisición de Bienes,,AGS_PREDIAL_2010_san_francisco_de_los_romo.txt,2685
01008,aguascalientes,san_jose_de_gracia,San Jose de Gracia,2010,ok,AGS_RAW_2010_san_jose_de_gracia.pdf,,,True,fallback_12pp,2,12,-1,-1,0.0,False,False,,,,AGS_PREDIAL_2010_san_jose_de_gracia.txt,37871
01009,aguascalientes,tepezala,Tepezala,2010,ok,AGS_RAW_2010_tepezala.pdf,,,True,capitulo_propiedad_raiz,3,3,3961,6605,1.0,False,False,CAPÍTULO I,CAPÍTULO III,,AGS_PREDIAL_2010_tepezala.txt,2842
