ejercicio,slug,fecha_publicacion,seccion,pagina,folio,nombre_documento,status_descarga,ruta_documento
2010,ensenada,12-31-2009,N.ESP.SECC V,3,97352,"LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL 2010.",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2009/Diciembre&nombreArchivo=Periodico-59-CXVI-20091231-NÚMERO ESPECIAL - SECCION V.pdf&descargar=false
2011,ensenada,12-31-2010,N.ESP.SECC V,3,98458,"LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL 2011.",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2010/Diciembre&nombreArchivo=Periodico-58-CXVII-20101231-NÚMERO ESPECIAL - SECCION V.pdf&descargar=false
2012,ensenada,12-31-2011,N.ESP.SECC V,3,62866,"LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL 2012.",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2011/Diciembre&nombreArchivo=Periodico-61-CXVIII-20111231-NÚMERO ESPECIAL - SECCION V.pdf&descargar=false
2013,ensenada,12-28-2012,SECC II,3,62862,"LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL 2013.",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2012/Diciembre&nombreArchivo=Periodico-58-CXIX-20121228-SECCIÓN II.pdf&descargar=false
2014,ensenada,12-31-2013,N.ESP.SECC V,3,67197,"LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL DEL 2014",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2013/Diciembre&nombreArchivo=Periodico-60-CXX-20131231-NÚMERO ESPECIAL - SECCION V.pdf&descargar=false
2015,ensenada,12-31-2014,N.ESP.SECC V,3,68790,"LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL DEL 2015.",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2014/Diciembre&nombreArchivo=Periodico-62-CXXI-20141231-NÚMERO ESPECIAL - SECCION V.pdf&descargar=false
2016,ensenada,12-31-2015,N.ESP.SECC V,3,72197,"LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL DEL 2016.",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2015/Diciembre&nombreArchivo=Periodico-60-CXXII-20151231-NÚMERO ESPECIAL - SECCION V.pdf&descargar=false
2017,ensenada,12-31-2016,N.ESP.SECC V,3,73530,"LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL DEL 2017.",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2016/Diciembre&nombreArchivo=Periodico-59-CXXIII-20161231-NÚMERO ESPECIAL - SECCION V.pdf&descargar=false
2018,ensenada,12-31-2017,N.ESP.SECC V,3,75592,"LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL DEL 2018.",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2017/Diciembre&nombreArchivo=Periodico-59-CXXIV-20171231-NÚMERO ESPECIAL - SECCION V.pdf&descargar=false
2019,ensenada,12-31-2018,N.ESP.SECC V,3,76809,"LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL DEL 2019..CONGRESO DEL ESTADO DE B.C.",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2018/Diciembre&nombreArchivo=Periodico-60-CXXV-20181231-NÚMERO ESPECIAL - SECCION V.pdf&descargar=false
2020,ensenada,12-31-2019,N.ESP.SECC V,3,94319,"LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL DEL 2020",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2019/Diciembre&nombreArchivo=Periodico-67-CXXVI-20191231-NÚMERO ESPECIAL - SECCION V.pdf&descargar=false
2021,ensenada,12-28-2020,SECC VI,3,91401,"LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL DEL 2021",ok,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2020/Diciembre&nombreArchivo=Periodico-84-CXXVII-20201228-SECCIÓN VI.pdf&descargar=false
2022,ensenada,12-31-2021,SECC V,3,57980,"LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL DEL 2022.",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2021/Diciembre&nombreArchivo=Periodico-109-CXXVIII-20211231-SECCIÓN V.pdf&descargar=false
2023,ensenada,12-28-2022,N.ESP.SECC III,3,441,"H. XXIV LEGISLATURA CONSTITUCIONAL DEL ESTADO DE BAJA CALIFORNIA LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA PARA EL EJERCICIO FISCAL 2023",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2022/Diciembre&nombreArchivo=Periodico-75-CXXIX-20221228-NÚMERO ESPECIAL - SECCIÓN III.pdf&descargar=false
2024,ensenada,12-22-2023,SECC VI,3,109236,"H. XXIV LEGISLATURA CONSTITUCIONAL DEL ESTADO DE BAJA CALIFORNIA LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA PARA EL EJERCICIO FISCAL 2024.............................",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2023/Diciembre&nombreArchivo=Periodico-72-CXXX-20231222-SECCIÓN VI.pdf&descargar=false
2025,ensenada,12-27-2024,SECC V,3,129232,"H. XXV LEGISLATURA CONSTITUCIONAL DEL ESTADO DE BAJA CALIFORNIA LEY DE INGRESOS DEL MUNICIPIO DE ENSENADA, BAJA CALIFORNIA PARA EL EJERCICIO FISCAL 2025.",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2024/Diciembre&nombreArchivo=Periodico-66-CXXXI-20241227-SECCIÓN V.pdf&descargar=false
2010,mexicali,12-31-2009,N.ESP.SECC III,3,97356,"LEY DE INGRESOS DEL MUNICIPIO DE MEXICALI, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL 2010.",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2009/Diciembre&nombreArchivo=Periodico-59-CXVI-20091231-NÚMERO ESPECIAL - SECCIÓN III.pdf&descargar=false
2011,mexicali,12-31-2010,N.ESP.SECC III,3,98454,"LEY DE INGRESOS DEL MUNICIPIO DE MEXICALI, BAJA CALIFORNIA, PARA EL EJERCICIO FISCAL 2011.",already_exists,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2010/Diciembre&nombreArchivo=Periodico-58-CXVII-20101231-NÚMERO ESPECIAL - SECCIÓN III.pdf&descargar=false
