ejercicio,input_pdf,ocr_pdf,avg_chars_per_page,decision,pages_ocr,status
2010,BC_RAW_2010_ensenada.pdf,BC_RAW_2010_ensenada_ocr.pdf,0.0,scan,55,ok
2010,BC_RAW_2010_mexicali.pdf,BC_RAW_2010_mexicali_ocr.pdf,0.0,scan,55,ok
2010,BC_RAW_2010_playas_de_rosarito.pdf,BC_RAW_2010_playas_de_rosarito_ocr.pdf,0.0,scan,55,ok
2010,BC_RAW_2010_tecate.pdf,BC_RAW_2010_tecate_ocr.pdf,0.0,scan,55,ok
2010,BC_RAW_2010_tijuana.pdf,BC_RAW_2010_tijuana_ocr.pdf,0.0,scan,55,ok
2011,BC_RAW_2011_ensenada.pdf,BC_RAW_2011_ensenada_ocr.pdf,0.0,scan,55,ok
2011,BC_RAW_2011_mexicali.pdf,BC_RAW_2011_mexicali_ocr.pdf,0.0,scan,55,ok
2011,BC_RAW_2011_playas_de_rosarito.pdf,BC_RAW_2011_playas_de_rosarito_ocr.pdf,0.0,scan,55,ok
2011,BC_RAW_2011_tecate.pdf,BC_RAW_2011_tecate_ocr.pdf,0.0,scan,55,ok
2011,BC_RAW_2011_tijuana.pdf,BC_RAW_2011_tijuana_ocr.pdf,0.0,scan,55,ok
2012,BC_RAW_2012_ensenada.pdf,BC_RAW_2012_ensenada_ocr.pdf,0.0,scan,55,ok
2012,BC_RAW_2012_mexicali.pdf,BC_RAW_2012_mexicali_ocr.pdf,0.0,scan,55,ok
2012,BC_RAW_2012_playas_de_rosarito.pdf,BC_RAW_2012_playas_de_rosarito_ocr.pdf,0.0,scan,55,ok
2012,BC_RAW_2012_tecate.pdf,BC_RAW_2012_tecate_ocr.pdf,0.0,scan,55,ok
2012,BC_RAW_2012_tijuana.pdf,BC_RAW_2012_tijuana_ocr.pdf,0.0,scan,55,ok
2013,BC_RAW_2013_ensenada.pdf,BC_RAW_2013_ensenada_ocr.pdf,0.0,scan,55,ok
2013,BC_RAW_2013_mexicali.pdf,BC_RAW_2013_mexicali_ocr.pdf,0.0,scan,55,ok
2013,BC_RAW_2013_playas_de_rosarito.pdf,BC_RAW_2013_playas_de_rosarito_ocr.pdf,0.0,scan,55,ok
2013,BC_RAW_2013_tecate.pdf,BC_RAW_2013_tecate_ocr.pdf,0.0,scan,55,ok
2013,BC_RAW_2013_tijuana.pdf,BC_RAW_2013_tijuana_ocr.pdf,0.0,scan,55,ok
2014,BC_RAW_2014_ensenada.pdf,BC_RAW_2014_ensenada_ocr.pdf,0.0,scan,55,ok
2014,BC_RAW_2014_mexicali.pdf,BC_RAW_2014_mexicali_ocr.pdf,0.0,scan,55,ok
2014,BC_RAW_2014_playas_de_rosarito.pdf,BC_RAW_2014_playas_de_rosarito_ocr.pdf,0.0,scan,55,ok
2014,BC_RAW_2014_tecate.pdf,BC_RAW_2014_tecate_ocr.pdf,0.0,scan,55,ok
2014,BC_RAW_2014_tijuana.pdf,BC_RAW_2014_tijuana_ocr.pdf,0.0,scan,55,ok
2015,BC_RAW_2015_ensenada.pdf,BC_RAW_2015_ensenada_ocr.pdf,0.0,scan,55,ok
2015,BC_RAW_2015_mexicali.pdf,BC_RAW_2015_mexicali_ocr.pdf,0.0,scan,55,ok
2015,BC_RAW_2015_playas_de_rosarito.pdf,BC_RAW_2015_playas_de_rosarito_ocr.pdf,0.0,scan,55,ok
2015,BC_RAW_2015_tecate.pdf,BC_RAW_2015_tecate_ocr.pdf,0.0,scan,55,ok
2015,BC_RAW_2015_tijuana.pdf,BC_RAW_2015_tijuana_ocr.pdf,0.0,scan,55,ok
2016,BC_RAW_2016_ensenada.pdf,BC_RAW_2016_ensenada_ocr.pdf,0.0,scan,55,ok
