cvegeo,estado_slug,municipio_slug,municipio_raw,anio,status,source_pdf,ley_page_start,ley_page_end,predial_found,predial_method,predial_page_start,predial_page_end,char_start,char_end,confidence,forced_end,expansion_applied,anchor_text_start,anchor_text_end,next_tax_label,txt_file,txt_chars
02001,bajacalifornia,ensenada,,2010,ok,BC_RAW_2010_ensenada_ocr.pdf,,,True,impuesto_predial_generico,9,24,5749,26384,1.0,False,False,1.- IMPUESTO PREDIAL,2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES,,BC_PREDIAL_2010_ensenada.txt,20835
02002,bajacalifornia,mexicali,,2010,ok,BC_RAW_2010_mexicali_ocr.pdf,,,True,impuesto_predial_generico,12,26,10367,30367,1.0,False,False,"ARTICULO --3.-+: El Impuesto Predial” se: causará y deberá ""cubrirse",,,BC_PREDIAL_2010_mexicali.txt,20202
02005,bajacalifornia,playas_de_rosarito,,2010,ok,BC_RAW_2010_playas_de_rosarito_ocr.pdf,,,True,articulo_predial_causa,6,8,3661,6103,1.0,False,False,"ARTÍCULO 2.- El Impuesto Predial, se causará de acuerdo a lo que se",2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES.,,BC_PREDIAL_2010_playas_de_rosarito.txt,2658
02003,bajacalifornia,tecate,,2010,ok,BC_RAW_2010_tecate_ocr.pdf,,,True,articulo_predial_causa,8,30,5896,34602,1.0,False,False,ARTÍCULO 2:- El Impuesto Predial se causará de-acuerdo'a lo que se,1.2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES.,,BC_PREDIAL_2010_tecate.txt,28899
02004,bajacalifornia,tijuana,,2010,ok,BC_RAW_2010_tijuana_ocr.pdf,,,True,articulo_predial_causa,11,19,9461,23481,1.0,False,False,"ARTICULO 4.- El Impuesto Predial, se causará de acuerdo a lo. que",IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES,,BC_PREDIAL_2010_tijuana.txt,14216
02001,bajacalifornia,ensenada,,2011,ok,BC_RAW_2011_ensenada_ocr.pdf,,,True,articulo_predial_causa,9,24,5697,25863,1.0,False,False,"ARTÍCULO 2.- El Impuesto Predial, se causará de acuerdo a lo que se",2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES,,BC_PREDIAL_2011_ensenada.txt,20363
02002,bajacalifornia,mexicali,,2011,ok,BC_RAW_2011_mexicali_ocr.pdf,,,True,articulo_predial_causa,9,13,5618,11658,1.0,False,False,ARTÍCULO 2.- El Impuesto Predial se causará de acuerdo a lo que se,CAPÍTULO II,,BC_PREDIAL_2011_mexicali.txt,6237
02005,bajacalifornia,playas_de_rosarito,,2011,ok,BC_RAW_2011_playas_de_rosarito_ocr.pdf,,,True,articulo_predial_causa,8,10,5870,8359,1.0,False,False,"ARTÍCULO 2.- El Impuesto Predial, se causará de acuerdo a lo que se",2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES.,,BC_PREDIAL_2011_playas_de_rosarito.txt,2706
02003,bajacalifornia,tecate,,2011,ok,BC_RAW_2011_tecate_ocr.pdf,,,True,articulo_predial_causa,10,34,7043,35798,1.0,False,False,ARTÍCULO 2.- El Impuesto Predial se causará de acuerdo a lo que se,1.2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES.,,BC_PREDIAL_2011_tecate.txt,28949
02004,bajacalifornia,tijuana,,2011,ok,BC_RAW_2011_tijuana_ocr.pdf,,,True,capitulo_i_predial_articulo,11,16,9524,18850,1.0,False,False,CAPÍTULO I,CAPÍTULO II,,BC_PREDIAL_2011_tijuana.txt,9527
02001,bajacalifornia,ensenada,,2012,ok,BC_RAW_2012_ensenada_ocr.pdf,,,True,articulo_predial_causa,9,25,5870,28725,1.0,False,False,"ARTÍCULO 2.- £l Impuesto Predial, se causará de acuerdo a lo que se",2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES,,BC_PREDIAL_2012_ensenada.txt,23052
02002,bajacalifornia,mexicali,,2012,ok,BC_RAW_2012_mexicali_ocr.pdf,,,True,capitulo_i_predial_articulo,9,13,5468,11657,1.0,False,False,CAPÍTULO I,IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES.,,BC_PREDIAL_2012_mexicali.txt,6391
02005,bajacalifornia,playas_de_rosarito,,2012,ok,BC_RAW_2012_playas_de_rosarito_ocr.pdf,,,True,articulo_predial_causa,11,12,10447,12879,1.0,False,False,"ARTÍCULO 2.- El Impuesto Predial, se causará de acuerdo a lo que se",2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES,,BC_PREDIAL_2012_playas_de_rosarito.txt,2650
02003,bajacalifornia,tecate,,2012,ok,BC_RAW_2012_tecate_ocr.pdf,,,True,articulo_predial_causa,9,29,7091,36442,1.0,False,False,ARTÍCULO 2.- El Impuesto Predial se causará de acuerdo a lo que se,1.2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES.,,BC_PREDIAL_2012_tecate.txt,29544
02004,bajacalifornia,tijuana,,2012,ok,BC_RAW_2012_tijuana_ocr.pdf,,,True,articulo_predial_causa,11,16,11361,20643,1.0,False,False,"ARTÍCULO 4.- El Impuesto Predial, se causará de acuerdo a lo",IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES,,BC_PREDIAL_2012_tijuana.txt,9478
02001,bajacalifornia,ensenada,,2013,ok,BC_RAW_2013_ensenada_ocr.pdf,,,True,articulo_predial_causa,9,25,5952,29523,1.0,False,False,"ARTÍCULO 2.- El Impuesto Predial, se causará de acuerdo a lo que se",2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES,,BC_PREDIAL_2013_ensenada.txt,23768
02002,bajacalifornia,mexicali,,2013,ok,BC_RAW_2013_mexicali_ocr.pdf,,,True,capitulo_i_predial_articulo,9,13,5536,11765,1.0,False,False,CAPÍTULO I,CAPÍTULO II,,BC_PREDIAL_2013_mexicali.txt,6431
02005,bajacalifornia,playas_de_rosarito,,2013,ok,BC_RAW_2013_playas_de_rosarito_ocr.pdf,,,True,articulo_predial_causa,11,13,10560,13056,1.0,False,False,"ARTÍCULO 2.- El Impuesto Predial, se causará de acuerdo a lo que se",2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES o,,BC_PREDIAL_2013_playas_de_rosarito.txt,2714
02003,bajacalifornia,tecate,,2013,ok,BC_RAW_2013_tecate_ocr.pdf,,,True,capitulo_i_predial_articulo,9,30,8288,37259,1.0,False,False,CAPÍTULO I,2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES.,,BC_PREDIAL_2013_tecate.txt,29169
02004,bajacalifornia,tijuana,,2013,ok,BC_RAW_2013_tijuana_ocr.pdf,,,True,capitulo_i_predial_articulo,12,16,11344,20583,1.0,False,False,CAPÍTULO I,IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES,,BC_PREDIAL_2013_tijuana.txt,9440
02001,bajacalifornia,ensenada,,2014,ok,BC_RAW_2014_ensenada_ocr.pdf,,,True,articulo_predial_causa,9,25,6024,29232,1.0,False,False,"ARTÍCULO 2.- El Impuesto Predial, se causará de acuerdo a lo que",2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES,,BC_PREDIAL_2014_ensenada.txt,23405
02002,bajacalifornia,mexicali,,2014,ok,BC_RAW_2014_mexicali_ocr.pdf,,,True,capitulo_i_predial_articulo,9,13,5907,12092,1.0,False,False,CAPÍTULO I,CAPÍTULO II,,BC_PREDIAL_2014_mexicali.txt,6387
02005,bajacalifornia,playas_de_rosarito,,2014,ok,BC_RAW_2014_playas_de_rosarito_ocr.pdf,,,True,articulo_predial_causa,11,13,10632,13123,1.0,False,False,"ARTÍCULO 2.- El Impuesto Predial, se causará de acuerdo a lo que se",2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES,,BC_PREDIAL_2014_playas_de_rosarito.txt,2709
02003,bajacalifornia,tecate,,2014,ok,BC_RAW_2014_tecate_ocr.pdf,,,True,capitulo_i_predial_articulo,9,30,8288,37635,1.0,False,False,CAPÍTULO I,2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES.,,BC_PREDIAL_2014_tecate.txt,29545
02004,bajacalifornia,tijuana,,2014,ok,BC_RAW_2014_tijuana_ocr.pdf,,,True,articulo_predial_causa,12,16,11375,20565,1.0,False,False,"ARTÍCULO 4.- El Impuesto Predial, se causará de acuerdo a lo",IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES,,BC_PREDIAL_2014_tijuana.txt,9386
02001,bajacalifornia,ensenada,,2015,ok,BC_RAW_2015_ensenada_ocr.pdf,,,True,capitulo_i_predial_articulo,13,30,10299,33913,1.0,False,False,CAPÍTULO I,CAPÍTULO II,,BC_PREDIAL_2015_ensenada.txt,23817
02002,bajacalifornia,mexicali,,2015,ok,BC_RAW_2015_mexicali_ocr.pdf,,,True,capitulo_i_predial_articulo,9,13,5473,12182,1.0,False,False,CAPÍTULO I,CAPÍTULO II,,BC_PREDIAL_2015_mexicali.txt,6911
02005,bajacalifornia,playas_de_rosarito,,2015,ok,BC_RAW_2015_playas_de_rosarito_ocr.pdf,,,True,articulo_predial_causa,12,13,11679,14075,1.0,False,False,"ARTÍCULO 2.- El Impuesto Predial, se causará de acuerdo a lo que se",2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES,,BC_PREDIAL_2015_playas_de_rosarito.txt,2614
02003,bajacalifornia,tecate,,2015,ok,BC_RAW_2015_tecate_ocr.pdf,,,True,capitulo_i_predial_articulo,10,32,8566,38956,1.0,False,False,CAPÍTULO I,2.- IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES.,,BC_PREDIAL_2015_tecate.txt,30589
02004,bajacalifornia,tijuana,,2015,ok,BC_RAW_2015_tijuana_ocr.pdf,,,True,capitulo_i_predial_articulo,13,17,11746,20878,1.0,False,False,CAPÍTULO I,IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES,,BC_PREDIAL_2015_tijuana.txt,9333
02001,bajacalifornia,ensenada,,2016,ok,BC_RAW_2016_ensenada_ocr.pdf,,,True,articulo_predial_causa,14,31,11835,36020,1.0,False,False,"ARTÍCULO 2.- El Impuesto Predial, se causará de acuerdo a lo que",IMPUESTO SOBRE ADQUISICIÓN DE INMUEBLES,,BC_PREDIAL_2016_ensenada.txt,24383
