ejercicio,cve_mun,municipio,slug,json_file,metodo
2010,001,Ahumada,ahumada,2010/CHIH_2010_ahumada.json,hardcoded_codigo_estatal
2010,002,Aldama,aldama,2010/CHIH_2010_aldama.json,hardcoded_codigo_estatal
2010,003,Allende,allende,2010/CHIH_2010_allende.json,hardcoded_codigo_estatal
2010,004,Aquiles Serdán,aquiles_serdan,2010/CHIH_2010_aquiles_serdan.json,hardcoded_codigo_estatal
2010,005,Ascensión,ascension,2010/CHIH_2010_ascension.json,hardcoded_codigo_estatal
2010,006,Bachíniva,bachiniva,2010/CHIH_2010_bachiniva.json,hardcoded_codigo_estatal
2010,007,Balleza,balleza,2010/CHIH_2010_balleza.json,hardcoded_codigo_estatal
2010,008,Batopilas de Manuel Gómez Morín,batopilas,2010/CHIH_2010_batopilas.json,hardcoded_codigo_estatal
2010,009,Bocoyna,bocoyna,2010/CHIH_2010_bocoyna.json,hardcoded_codigo_estatal
2010,010,Buenaventura,buenaventura,2010/CHIH_2010_buenaventura.json,hardcoded_codigo_estatal
2010,011,Camargo,camargo,2010/CHIH_2010_camargo.json,hardcoded_codigo_estatal
2010,012,Carichí,carichi,2010/CHIH_2010_carichi.json,hardcoded_codigo_estatal
2010,013,Casas Grandes,casas_grandes,2010/CHIH_2010_casas_grandes.json,hardcoded_codigo_estatal
2010,014,Chihuahua,chihuahua,2010/CHIH_2010_chihuahua.json,hardcoded_codigo_estatal
2010,015,Chínipas,chinipas,2010/CHIH_2010_chinipas.json,hardcoded_codigo_estatal
2010,016,Coronado,coronado,2010/CHIH_2010_coronado.json,hardcoded_codigo_estatal
2010,017,Coyame del Sotol,coyame_del_sotol,2010/CHIH_2010_coyame_del_sotol.json,hardcoded_codigo_estatal
2010,018,Cuauhtémoc,cuauhtemoc,2010/CHIH_2010_cuauhtemoc.json,hardcoded_codigo_estatal
2010,019,Cusihuiriachi,cusihuiriachi,2010/CHIH_2010_cusihuiriachi.json,hardcoded_codigo_estatal
2010,020,Delicias,delicias,2010/CHIH_2010_delicias.json,hardcoded_codigo_estatal
