municipio,anio,anomalia,json_path
abasolo,2011,cambio_esquema_tarifa_millar_a_mixto_desde_2010,data\coahuila\json_predial\2011\COAH_PREDIAL_2011_abasolo.json
francisco_i_madero,2011,cambio_esquema_mixto_a_tarifa_millar_desde_2010,data\coahuila\json_predial\2011\COAH_PREDIAL_2011_francisco_i_madero.json
general_cepeda,2011,cambio_esquema_mixto_a_tarifa_millar_desde_2010,data\coahuila\json_predial\2011\COAH_PREDIAL_2011_general_cepeda.json
matamoros,2011,cambio_esquema_tarifa_millar_a_mixto_desde_2010,data\coahuila\json_predial\2011\COAH_PREDIAL_2011_matamoros.json
cuatro_cienegas,2012,cambio_esquema_tarifa_millar_a_mixto_desde_2011,data\coahuila\json_predial\2012\COAH_PREDIAL_2012_cuatro_cienegas.json
francisco_i_madero,2012,cambio_esquema_tarifa_millar_a_mixto_desde_2011,data\coahuila\json_predial\2012\COAH_PREDIAL_2012_francisco_i_madero.json
matamoros,2012,cambio_esquema_mixto_a_tarifa_millar_desde_2011,data\coahuila\json_predial\2012\COAH_PREDIAL_2012_matamoros.json
piedras_negras,2012,cambio_esquema_tarifa_millar_a_mixto_desde_2011,data\coahuila\json_predial\2012\COAH_PREDIAL_2012_piedras_negras.json
piedras_negras,2012,tipo_mixto_sin_comentarios,data\coahuila\json_predial\2012\COAH_PREDIAL_2012_piedras_negras.json
cuatro_cienegas,2013,cambio_esquema_mixto_a_tarifa_millar_desde_2012,data\coahuila\json_predial\2013\COAH_PREDIAL_2013_cuatro_cienegas.json
jimenez,2013,cambio_esquema_tarifa_millar_a_mixto_desde_2012,data\coahuila\json_predial\2013\COAH_PREDIAL_2013_jimenez.json
general_cepeda,2014,cambio_esquema_tarifa_millar_a_mixto_desde_2013,data\coahuila\json_predial\2014\COAH_PREDIAL_2014_general_cepeda.json
jimenez,2014,cambio_esquema_mixto_a_tarifa_millar_desde_2013,data\coahuila\json_predial\2014\COAH_PREDIAL_2014_jimenez.json
juarez,2014,cambio_esquema_tarifa_millar_a_mixto_desde_2013,data\coahuila\json_predial\2014\COAH_PREDIAL_2014_juarez.json
viesca,2014,cambio_esquema_tarifa_millar_a_progresivo_desde_2013,data\coahuila\json_predial\2014\COAH_PREDIAL_2014_viesca.json
villa_union,2014,cambio_esquema_tarifa_millar_a_progresivo_desde_2013,data\coahuila\json_predial\2014\COAH_PREDIAL_2014_villa_union.json
zaragoza,2014,cambio_esquema_tarifa_millar_a_progresivo_desde_2013,data\coahuila\json_predial\2014\COAH_PREDIAL_2014_zaragoza.json
candela,2015,cambio_esquema_tarifa_millar_a_mixto_desde_2014,data\coahuila\json_predial\2015\COAH_PREDIAL_2015_candela.json
francisco_i_madero,2015,cambio_esquema_mixto_a_tarifa_millar_desde_2014,data\coahuila\json_predial\2015\COAH_PREDIAL_2015_francisco_i_madero.json
juarez,2015,cambio_esquema_mixto_a_tarifa_millar_desde_2014,data\coahuila\json_predial\2015\COAH_PREDIAL_2015_juarez.json
