municipio,n_years,years_present,n_missing,years_missing
abasolo,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
acuna,15,2010;2011;2012;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025,1,2019
allende,15,2010;2011;2012;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025,1,2019
arteaga,15,2010;2011;2012;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025,1,2019
candela,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,1,2017
castanos,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,1,2017
cuatro_cienegas,15,2010;2011;2012;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025,1,2019
escobedo,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
francisco_i_madero,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
frontera,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
general_cepeda,15,2010;2011;2012;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025,1,2019
guerrero,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
hidalgo,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
jimenez,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
juarez,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
lamadrid,14,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024,2,2017;2025
matamoros,14,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024,2,2017;2025
monclova,15,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,1,2025
morelos,14,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024,2,2017;2025
muzquiz,15,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,1,2025
nadadores,14,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024,2,2017;2025
nava,14,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024,2,2017;2025
ocampo,14,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024,2,2017;2025
parras,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,1,2017
piedras_negras,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
progreso,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,1,2017
ramos_arizpe,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,1,2017
sabinas,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,1,2017
sacramento,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,1,2017
saltillo,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
san_buenaventura,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,1,2017
san_juan_de_sabinas,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,1,2017
san_pedro,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,1,2017
sierra_mojada,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
torreon,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
viesca,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
villa_union,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
zaragoza,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
