cve_mun,nom_mun,nom_cab,ejercicio,status,municipio_en_PO,num_po,tipo_po,tomo,fecha_po,pdf_file,page_start_ley,page_end_ley
001,Abasolo,Abasolo,2010,ley_encontrada,Abasolo,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_abasolo_103-PS-25-DIC-2009.PDF,1,13
002,Acuña,Ciudad Acuña,2010,ley_encontrada,Acuna,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_acuna_103-PS-25-DIC-2009.PDF,13,40
003,Allende,Allende,2010,ley_encontrada,Allende,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_allende_103-PS-25-DIC-2009.PDF,40,61
004,Arteaga,Arteaga,2010,ley_encontrada,Arteaga,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_arteaga_103-PS-25-DIC-2009.PDF,61,90
005,Candela,Candela,2010,ley_encontrada,Candela,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_candela_103-PS-25-DIC-2009.PDF,90,107
006,Castaños,Castaños,2010,ley_encontrada,Castanos,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_castanos_103-PS-25-DIC-2009.PDF,107,131
007,Cuatro Cienegas,Cuatro Cienegas de Carranza,2010,ley_encontrada,Cuatro Cienegas,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_cuatro_cienegas_103-PS-25-DIC-2009.PDF,131,154
008,Escobedo,Escobedo,2010,ley_encontrada,Escobedo,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_escobedo_103-PS-25-DIC-2009.PDF,154,171
009,Francisco I. Madero,Francisco I. Madero,2010,ley_encontrada,Francisco I. Madero,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_francisco_i_madero_103-PS-25-DIC-2009.PDF,171,190
010,Frontera,Frontera,2010,ley_encontrada,Frontera,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_frontera_103-SS-25-DIC-2009.PDF,1,25
011,General Cepeda,General Cepeda,2010,ley_encontrada,General Cepeda,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_general_cepeda_103-SS-25-DIC-2009.PDF,25,42
012,Guerrero,Guerrero,2010,ley_encontrada,Guerrero,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_guerrero_103-SS-25-DIC-2009.PDF,42,61
013,Hidalgo,Hidalgo,2010,ley_encontrada,Hidalgo,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_hidalgo_103-SS-25-DIC-2009.PDF,61,75
014,Jimenez,Jimenez,2010,ley_encontrada,Jimenez,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_jimenez_103-SS-25-DIC-2009.PDF,75,92
015,Juarez,Juarez,2010,ley_encontrada,Juarez,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_juarez_103-SS-25-DIC-2009.PDF,92,105
016,Lamadrid,Lamadrid,2010,ley_encontrada,Lamadrid,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_lamadrid_103-SS-25-DIC-2009.PDF,105,120
017,Matamoros,Matamoros,2010,ley_encontrada,Matamoros,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_matamoros_103-SS-25-DIC-2009.PDF,120,149
018,Monclova,Monclova,2010,ley_encontrada,Monclova,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_monclova_103-SS-25-DIC-2009.PDF,149,180
019,Morelos,Morelos,2010,ley_encontrada,Morelos,104,Ordinario,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_morelos_104-ORD-29-DIC-2009.PDF,2,20
020,Muzquiz,Ciudad Melchor Muzquiz,2010,ley_encontrada,Muzquiz,104,Ordinario,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_muzquiz_104-ORD-29-DIC-2009.PDF,20,39
021,Nadadores,Nadadores,2010,ley_encontrada,Nadadores,104,Ordinario,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_nadadores_104-ORD-29-DIC-2009.PDF,39,61
022,Nava,Nava,2010,ley_encontrada,Nava,104,Ordinario,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_nava_104-ORD-29-DIC-2009.PDF,61,94
023,Ocampo,Ocampo,2010,ley_encontrada,Ocampo,104,Ordinario,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_ocampo_104-ORD-29-DIC-2009.PDF,1,2
024,Parras,Parras de la Fuente,2010,ley_encontrada,Parras,104,Ordinario,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_parras_104-ORD-29-DIC-2009.PDF,94,150
025,Piedras Negras,Piedras Negras,2010,ley_encontrada,Piedras Negras,104,Ordinario,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_piedras_negras_104-ORD-29-DIC-2009.PDF,1,2
026,Progreso,Progreso,2010,ley_encontrada,Progreso,104,Ordinario,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_progreso_104-ORD-29-DIC-2009.PDF,150,198
027,Ramos Arizpe,Ramos Arizpe,2010,ley_encontrada,Ramos Arizpe,104,Ordinario,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_ramos_arizpe_104-ORD-29-DIC-2009.PDF,1,2
028,Sabinas,Sabinas,2010,ley_encontrada,Sabinas,104,Sección 1,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_sabinas_104-PS-29-DIC-2009.PDF,1,25
029,Sacramento,Sacramento,2010,ley_encontrada,Sacramento,104,Sección 1,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_sacramento_104-PS-29-DIC-2009.PDF,25,45
030,Saltillo,Saltillo,2010,ley_encontrada,Saltillo,104,Sección 1,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_saltillo_104-PS-29-DIC-2009.PDF,45,79
031,San Buenaventura,San Buenaventura,2010,ley_encontrada,San Buenaventura,104,Sección 1,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_san_buenaventura_104-PS-29-DIC-2009.PDF,79,106
032,San Juan de Sabinas,Nueva Rosita,2010,ley_encontrada,San Juan De Sabinas,104,Sección 1,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_san_juan_de_sabinas_104-PS-29-DIC-2009.PDF,106,132
033,San Pedro,San Pedro,2010,ley_encontrada,San Pedro,104,Sección 1,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_san_pedro_104-PS-29-DIC-2009.PDF,132,162
034,Sierra Mojada,Sierra Mojada,2010,ley_encontrada,Sierra Mojada,104,Sección 2,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_sierra_mojada_104-SS-29-DIC-2009.PDF,1,15
035,Torreon,Torreon,2010,ley_encontrada,Torreon,104,Sección 2,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_torreon_104-SS-29-DIC-2009.PDF,15,52
036,Viesca,Viesca,2010,ley_encontrada,Viesca,104,Sección 2,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_viesca_104-SS-29-DIC-2009.PDF,52,69
037,Villa Union,Villa Union,2010,ley_encontrada,Villa Union,104,Sección 2,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_villa_union_104-SS-29-DIC-2009.PDF,69,85
038,Zaragoza,Zaragoza,2010,ley_encontrada,Zaragoza,104,Sección 2,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_zaragoza_104-SS-29-DIC-2009.PDF,85,100
001,Abasolo,Abasolo,2011,ley_encontrada,Abasolo,104,Ordinario,CXVII,"martes, 28 de diciembre de 2010",data\coahuila\pdf_raw\2011\COAH_RAW_2011_abasolo_104-ORD-28-DIC-2010.PDF,2,12
002,Acuña,Ciudad Acuña,2011,ley_encontrada,Acuna,104,Ordinario,CXVII,"martes, 28 de diciembre de 2010",data\coahuila\pdf_raw\2011\COAH_RAW_2011_acuna_104-ORD-28-DIC-2010.PDF,12,39
003,Allende,Allende,2011,ley_encontrada,Allende,104,Ordinario,CXVII,"martes, 28 de diciembre de 2010",data\coahuila\pdf_raw\2011\COAH_RAW_2011_allende_104-ORD-28-DIC-2010.PDF,39,58
004,Arteaga,Arteaga,2011,ley_encontrada,Arteaga,104,Ordinario,CXVII,"martes, 28 de diciembre de 2010",data\coahuila\pdf_raw\2011\COAH_RAW_2011_arteaga_104-ORD-28-DIC-2010.PDF,58,84
005,Candela,Candela,2011,ley_encontrada,Candela,104,Ordinario,CXVII,"martes, 28 de diciembre de 2010",data\coahuila\pdf_raw\2011\COAH_RAW_2011_candela_104-ORD-28-DIC-2010.PDF,84,101
006,Castaños,Castaños,2011,ley_encontrada,Castanos,104,Ordinario,CXVII,"martes, 28 de diciembre de 2010",data\coahuila\pdf_raw\2011\COAH_RAW_2011_castanos_104-ORD-28-DIC-2010.PDF,101,124
007,Cuatro Cienegas,Cuatro Cienegas de Carranza,2011,ley_encontrada,Cuatro Cienegas,104,Ordinario,CXVII,"martes, 28 de diciembre de 2010",data\coahuila\pdf_raw\2011\COAH_RAW_2011_cuatro_cienegas_104-ORD-28-DIC-2010.PDF,124,145
008,Escobedo,Escobedo,2011,ley_encontrada,Escobedo,104,Ordinario,CXVII,"martes, 28 de diciembre de 2010",data\coahuila\pdf_raw\2011\COAH_RAW_2011_escobedo_104-ORD-28-DIC-2010.PDF,145,182
009,Francisco I. Madero,Francisco I. Madero,2011,ley_encontrada,Francisco I. Madero,104,Ordinario,CXVII,"martes, 28 de diciembre de 2010",data\coahuila\pdf_raw\2011\COAH_RAW_2011_francisco_i_madero_104-ORD-28-DIC-2010.PDF,1,2
010,Frontera,Frontera,2011,ley_encontrada,Frontera,104,Sección 1,CXVII,"martes, 28 de diciembre de 2010",data\coahuila\pdf_raw\2011\COAH_RAW_2011_frontera_104-PS-28-DIC-2010.PDF,1,60
011,General Cepeda,General Cepeda,2011,ley_encontrada,General Cepeda,104,Sección 1,CXVII,"martes, 28 de diciembre de 2010",data\coahuila\pdf_raw\2011\COAH_RAW_2011_general_cepeda_104-PS-28-DIC-2010.PDF,1,60
012,Guerrero,Guerrero,2011,ley_encontrada,Guerrero,104,Sección 1,CXVII,"martes, 28 de diciembre de 2010",data\coahuila\pdf_raw\2011\COAH_RAW_2011_guerrero_104-PS-28-DIC-2010.PDF,1,60
013,Hidalgo,Hidalgo,2011,ley_encontrada,Hidalgo,104,Sección 1,CXVII,"martes, 28 de diciembre de 2010",data\coahuila\pdf_raw\2011\COAH_RAW_2011_hidalgo_104-PS-28-DIC-2010.PDF,60,88
