cve_mun,nom_mun,nom_cab,ejercicio,status,municipio_en_PO,num_po,tipo_po,tomo,fecha_po,pdf_file,page_start_ley,page_end_ley,predial_status,predial_txt_file,predial_pdf_file,predial_page_start,predial_page_end,predial_start_idx,predial_end_idx
001,Abasolo,Abasolo,2010,ley_encontrada,Abasolo,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_abasolo_103-PS-25-DIC-2009.PDF,1,13,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_abasolo.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_abasolo.pdf,2,3,4124,5455
002,Acuña,Ciudad Acuña,2010,ley_encontrada,Acuna,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_acuna_103-PS-25-DIC-2009.PDF,13,40,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_acuna.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_acuna.pdf,14,15,40978,45121
003,Allende,Allende,2010,ley_encontrada,Allende,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_allende_103-PS-25-DIC-2009.PDF,40,61,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_allende.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_allende.pdf,41,42,141181,143343
004,Arteaga,Arteaga,2010,ley_encontrada,Arteaga,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_arteaga_103-PS-25-DIC-2009.PDF,61,90,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_arteaga.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_arteaga.pdf,62,63,206263,210401
005,Candela,Candela,2010,ley_encontrada,Candela,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_candela_103-PS-25-DIC-2009.PDF,90,107,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_candela.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_candela.pdf,91,92,297940,301358
006,Castaños,Castaños,2010,ley_encontrada,Castanos,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_castanos_103-PS-25-DIC-2009.PDF,107,131,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_castanos.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_castanos.pdf,108,109,356776,360667
007,Cuatro Cienegas,Cuatro Cienegas de Carranza,2010,ley_encontrada,Cuatro Cienegas,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_cuatro_cienegas_103-PS-25-DIC-2009.PDF,131,154,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_cuatro_cienegas.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_cuatro_cienegas.pdf,132,133,441293,444659
008,Escobedo,Escobedo,2010,ley_encontrada,Escobedo,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_escobedo_103-PS-25-DIC-2009.PDF,154,171,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_escobedo.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_escobedo.pdf,155,155,522947,523848
009,Francisco I. Madero,Francisco I. Madero,2010,ley_encontrada,Francisco I. Madero,103,Sección 1,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_francisco_i_madero_103-PS-25-DIC-2009.PDF,171,190,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_francisco_i_madero.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_francisco_i_madero.pdf,172,172,580553,581662
010,Frontera,Frontera,2010,ley_encontrada,Frontera,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_frontera_103-SS-25-DIC-2009.PDF,1,25,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_frontera.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_frontera.pdf,2,3,4258,6703
011,General Cepeda,General Cepeda,2010,ley_encontrada,General Cepeda,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_general_cepeda_103-SS-25-DIC-2009.PDF,25,42,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_general_cepeda.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_general_cepeda.pdf,26,26,80723,82050
012,Guerrero,Guerrero,2010,ley_encontrada,Guerrero,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_guerrero_103-SS-25-DIC-2009.PDF,42,61,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_guerrero.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_guerrero.pdf,43,44,133592,136723
013,Hidalgo,Hidalgo,2010,ley_encontrada,Hidalgo,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_hidalgo_103-SS-25-DIC-2009.PDF,61,75,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_hidalgo.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_hidalgo.pdf,62,63,193550,195564
014,Jimenez,Jimenez,2010,ley_encontrada,Jimenez,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_jimenez_103-SS-25-DIC-2009.PDF,75,92,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_jimenez.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_jimenez.pdf,76,76,240029,242514
015,Juarez,Juarez,2010,ley_encontrada,Juarez,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_juarez_103-SS-25-DIC-2009.PDF,92,105,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_juarez.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_juarez.pdf,92,93,297461,299549
016,Lamadrid,Lamadrid,2010,ley_encontrada,Lamadrid,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_lamadrid_103-SS-25-DIC-2009.PDF,105,120,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_lamadrid.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_lamadrid.pdf,105,106,337872,340095
017,Matamoros,Matamoros,2010,ley_encontrada,Matamoros,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_matamoros_103-SS-25-DIC-2009.PDF,120,149,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_matamoros.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_matamoros.pdf,121,121,390118,393256
018,Monclova,Monclova,2010,ley_encontrada,Monclova,103,Sección 2,CXVI,"viernes, 25 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_monclova_103-SS-25-DIC-2009.PDF,149,180,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_monclova.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_monclova.pdf,150,151,486143,488842
019,Morelos,Morelos,2010,ley_encontrada,Morelos,104,Ordinario,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_morelos_104-ORD-29-DIC-2009.PDF,2,20,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_morelos.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_morelos.pdf,2,3,4765,5878
020,Muzquiz,Ciudad Melchor Muzquiz,2010,ley_encontrada,Muzquiz,104,Ordinario,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_muzquiz_104-ORD-29-DIC-2009.PDF,20,39,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_muzquiz.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_muzquiz.pdf,21,21,66633,67613
021,Nadadores,Nadadores,2010,ley_encontrada,Nadadores,104,Ordinario,CXVI,"martes, 29 de diciembre de 2009",data\coahuila\pdf_raw\2010\COAH_RAW_2010_nadadores_104-ORD-29-DIC-2009.PDF,39,61,ok_window,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_nadadores.txt,data\coahuila\focus_predial\2010\COAH_PREDIAL_2010_nadadores.pdf,40,40,130707,131796
