cvegeo,estado_slug,municipio_slug,municipio_raw,anio,status,source_pdf,ley_page_start,ley_page_end,predial_found,predial_method,predial_page_start,predial_page_end,char_start,char_end,confidence,forced_end,expansion_applied,anchor_text_start,anchor_text_end,next_tax_label,txt_file,txt_chars
05001,coahuila,abasolo,Abasolo,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_abasolo_103-PS-25-DIC-2009.PDF,,,True,ok_global,2,3,4087,5455,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_abasolo.txt,1368
05002,coahuila,acuna,Acuña,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_acuna_103-PS-25-DIC-2009.PDF,13,40,True,ok_window,14,15,3123,7303,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_acuna.txt,4180
05003,coahuila,allende,Allende,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_allende_103-PS-25-DIC-2009.PDF,40,61,True,ok_window,41,42,4506,6705,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_allende.txt,2199
05004,coahuila,arteaga,Arteaga,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_arteaga_103-PS-25-DIC-2009.PDF,61,90,True,ok_window,62,63,3199,7374,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_arteaga.txt,4175
05005,coahuila,candela,Candela,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_candela_103-PS-25-DIC-2009.PDF,90,107,True,ok_window,91,92,2693,6148,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_candela.txt,3455
05006,coahuila,castanos,Castaños,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_castanos_103-PS-25-DIC-2009.PDF,107,131,True,ok_window,108,109,3434,7362,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_castanos.txt,3928
05007,coahuila,cuatro_cienegas,Cuatro Cienegas,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_cuatro_cienegas_103-PS-25-DIC-2009.PDF,131,154,True,ok_window,132,133,2936,6339,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_cuatro_cienegas.txt,3403
05008,coahuila,escobedo,Escobedo,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_escobedo_103-PS-25-DIC-2009.PDF,154,171,True,ok_window,155,155,3295,4233,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_escobedo.txt,938
05009,coahuila,francisco_i_madero,Francisco I. Madero,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_francisco_i_madero_103-PS-25-DIC-2009.PDF,171,189,True,ok_window,172,172,3240,4386,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_francisco_i_madero.txt,1146
05010,coahuila,frontera,Frontera,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_frontera_103-SS-25-DIC-2009.PDF,,,True,ok_global,2,3,4221,6703,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_frontera.txt,2482
05011,coahuila,general_cepeda,General Cepeda,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_general_cepeda_103-SS-25-DIC-2009.PDF,25,42,True,ok_window,26,26,3328,4692,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_general_cepeda.txt,1364
05012,coahuila,guerrero,Guerrero,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_guerrero_103-SS-25-DIC-2009.PDF,42,61,True,ok_window,43,44,3483,6651,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_guerrero.txt,3168
05013,coahuila,hidalgo,Hidalgo,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_hidalgo_103-SS-25-DIC-2009.PDF,61,75,True,ok_window,62,63,3699,5750,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_hidalgo.txt,2051
05014,coahuila,jimenez,Jimenez,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_jimenez_103-SS-25-DIC-2009.PDF,75,92,True,ok_window,75,76,2497,5072,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_jimenez.txt,2575
05015,coahuila,juarez,Juarez,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_juarez_103-SS-25-DIC-2009.PDF,92,105,True,ok_window,92,93,2269,4394,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_juarez.txt,2125
05016,coahuila,lamadrid,Lamadrid,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_lamadrid_103-SS-25-DIC-2009.PDF,105,120,True,ok_window,105,106,2210,4470,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_lamadrid.txt,2260
05017,coahuila,matamoros,Matamoros,2010,ok,data\coahuila\pdf_raw\2010\COAH_RAW_2010_matamoros_103-SS-25-DIC-2009.PDF,120,149,True,ok_window,121,121,2937,6112,1.0,False,False,TITULO SEGUNDO,CAPITULO SEGUNDO,,COAH_PREDIAL_2010_matamoros.txt,3175
