ejercicio,municipio,slug,cve_mun,in_segment,segment_method,txt_chars,status
2010,Abasolo,abasolo,001,true,ok_window,,ok
2011,Abasolo,abasolo,001,true,ok_window,,ok
2012,Abasolo,abasolo,001,true,ok_window,,ok
2013,Abasolo,abasolo,001,true,ok_window,,ok
2014,Abasolo,abasolo,001,true,ok_window,,ok
2015,Abasolo,abasolo,001,true,ok_window,,ok
2016,Abasolo,abasolo,001,true,ok_window,,ok
2017,Abasolo,abasolo,001,true,ok_window,,ok
2018,Abasolo,abasolo,001,true,ok_window,,ok
2019,Abasolo,abasolo,001,true,ok_window,,ok
2020,Abasolo,abasolo,001,true,ok_window,,ok
2021,Abasolo,abasolo,001,true,ok_window,,ok
2022,Abasolo,abasolo,001,true,ok_window,,ok
2023,Abasolo,abasolo,001,true,ok_window,,ok
2024,Abasolo,abasolo,001,true,ok_window,,ok
2025,Abasolo,abasolo,001,true,ok_window,,ok
2010,Acuña,acuna,002,true,ok_window,,ok
2011,Acuña,acuna,002,true,ok_window,,ok
2012,Acuña,acuna,002,true,ok_window,,ok
2013,Acuña,acuna,002,true,ok_window,,ok
2014,Acuña,acuna,002,true,ok_window,,ok
2015,Acuña,acuna,002,true,ok_window,,ok
2016,Acuña,acuna,002,true,ok_window,,ok
2017,Acuña,acuna,002,true,ok_window,,ok
2018,Acuña,acuna,002,true,ok_window,,ok
2019,Acuña,acuna,002,true,predial_missing,,not_found
2020,Acuña,acuna,002,true,ok_window,,ok
2021,Acuña,acuna,002,true,ok_window,,ok
2022,Acuña,acuna,002,true,ok_window,,ok
2023,Acuña,acuna,002,true,ok_window,,ok
2024,Acuña,acuna,002,true,ok_window,,ok
2025,Acuña,acuna,002,true,ok_window,,ok
2010,Allende,allende,003,true,ok_window,,ok
2011,Allende,allende,003,true,ok_window,,ok
2012,Allende,allende,003,true,ok_window,,ok
2013,Allende,allende,003,true,ok_window,,ok
2014,Allende,allende,003,true,ok_window,,ok
2015,Allende,allende,003,true,ok_window,,ok
2016,Allende,allende,003,true,ok_window,,ok
2017,Allende,allende,003,true,ok_window,,ok
2018,Allende,allende,003,true,ok_window,,ok
2019,Allende,allende,003,true,no_ley,,not_found
2020,Allende,allende,003,true,ok_window,,ok
2021,Allende,allende,003,true,ok_window,,ok
2022,Allende,allende,003,true,ok_window,,ok
2023,Allende,allende,003,true,ok_window,,ok
2024,Allende,allende,003,true,ok_window,,ok
2025,Allende,allende,003,true,ok_window,,ok
2010,Arteaga,arteaga,004,true,ok_window,,ok
2011,Arteaga,arteaga,004,true,ok_window,,ok
2012,Arteaga,arteaga,004,true,ok_window,,ok
2013,Arteaga,arteaga,004,true,ok_window,,ok
2014,Arteaga,arteaga,004,true,ok_window,,ok
2015,Arteaga,arteaga,004,true,ok_window,,ok
2016,Arteaga,arteaga,004,true,ok_window,,ok
2017,Arteaga,arteaga,004,true,ok_window,,ok
2018,Arteaga,arteaga,004,true,ok_window,,ok
2019,Arteaga,arteaga,004,true,no_ley,,not_found
2020,Arteaga,arteaga,004,true,ok_window,,ok
2021,Arteaga,arteaga,004,true,ok_window,,ok
2022,Arteaga,arteaga,004,true,ok_window,,ok
2023,Arteaga,arteaga,004,true,ok_window,,ok
2024,Arteaga,arteaga,004,true,ok_window,,ok
2025,Arteaga,arteaga,004,true,ok_window,,ok
2010,Candela,candela,005,true,ok_window,,ok
2011,Candela,candela,005,true,ok_window,,ok
2012,Candela,candela,005,true,ok_window,,ok
2013,Candela,candela,005,true,ok_window,,ok
2014,Candela,candela,005,true,ok_window,,ok
2015,Candela,candela,005,true,ok_global,,ok
2016,Candela,candela,005,true,ok_window,,ok
2017,Candela,candela,005,true,no_ley,,not_found
2018,Candela,candela,005,true,ok_window,,ok
2019,Candela,candela,005,true,ok_global,,ok
2020,Candela,candela,005,true,ok_global,,ok
2021,Candela,candela,005,true,ok_window,,ok
2022,Candela,candela,005,true,ok_window,,ok
2023,Candela,candela,005,true,ok_global,,ok
2024,Candela,candela,005,true,ok_window,,ok
2025,Candela,candela,005,true,ok_window,,ok
2010,Castaños,castanos,006,true,ok_window,,ok
2011,Castaños,castanos,006,true,ok_window,,ok
2012,Castaños,castanos,006,true,ok_window,,ok
2013,Castaños,castanos,006,true,ok_window,,ok
2014,Castaños,castanos,006,true,ok_window,,ok
2015,Castaños,castanos,006,true,ok_window,,ok
2016,Castaños,castanos,006,true,ok_window,,ok
2017,Castaños,castanos,006,true,no_ley,,not_found
2018,Castaños,castanos,006,true,ok_window,,ok
2019,Castaños,castanos,006,true,ok_window,,ok
2020,Castaños,castanos,006,true,ok_window,,ok
2021,Castaños,castanos,006,true,ok_window,,ok
2022,Castaños,castanos,006,true,ok_window,,ok
2023,Castaños,castanos,006,true,ok_global,,ok
2024,Castaños,castanos,006,true,ok_window,,ok
2025,Castaños,castanos,006,true,ok_window,,ok
2010,Cuatro Cienegas,cuatro_cienegas,007,true,ok_window,,ok
2011,Cuatro Cienegas,cuatro_cienegas,007,true,ok_window,,ok
2012,Cuatro Cienegas,cuatro_cienegas,007,true,ok_window,,ok
2013,Cuatro Cienegas,cuatro_cienegas,007,true,ok_window,,ok
2014,Cuatro Cienegas,cuatro_cienegas,007,true,ok_window,,ok
2015,Cuatro Cienegas,cuatro_cienegas,007,true,ok_window,,ok
2016,Cuatro Cienegas,cuatro_cienegas,007,true,ok_global,,ok
2017,Cuatro Cienegas,cuatro_cienegas,007,true,ok_window,,ok
2018,Cuatro Cienegas,cuatro_cienegas,007,true,ok_window,,ok
2019,Cuatro Cienegas,cuatro_cienegas,007,true,no_ley,,not_found
2020,Cuatro Cienegas,cuatro_cienegas,007,true,ok_window,,ok
2021,Cuatro Cienegas,cuatro_cienegas,007,true,ok_window,,ok
2022,Cuatro Cienegas,cuatro_cienegas,007,true,ok_window,,ok
2023,Cuatro Cienegas,cuatro_cienegas,007,true,ok_global,,ok
2024,Cuatro Cienegas,cuatro_cienegas,007,true,ok_window,,ok
2025,Cuatro Cienegas,cuatro_cienegas,007,true,ok_window,,ok
2010,Escobedo,escobedo,008,true,ok_window,,ok
2011,Escobedo,escobedo,008,true,ok_window,,ok
2012,Escobedo,escobedo,008,true,ok_window,,ok
2013,Escobedo,escobedo,008,true,ok_window,,ok
2014,Escobedo,escobedo,008,true,ok_window,,ok
2015,Escobedo,escobedo,008,true,ok_global,,ok
2016,Escobedo,escobedo,008,true,ok_window,,ok
2017,Escobedo,escobedo,008,true,ok_window,,ok
2018,Escobedo,escobedo,008,true,ok_window,,ok
2019,Escobedo,escobedo,008,true,ok_window,,ok
2020,Escobedo,escobedo,008,true,ok_window,,ok
2021,Escobedo,escobedo,008,true,ok_window,,ok
2022,Escobedo,escobedo,008,true,ok_window,,ok
2023,Escobedo,escobedo,008,true,ok_window,,ok
2024,Escobedo,escobedo,008,true,ok_window,,ok
2025,Escobedo,escobedo,008,true,ok_window,,ok
2010,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2011,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2012,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2013,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2014,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2015,Francisco I. Madero,francisco_i_madero,009,true,ok_global,,ok
2016,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2017,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2018,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2019,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2020,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2021,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2022,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2023,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2024,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2025,Francisco I. Madero,francisco_i_madero,009,true,ok_window,,ok
2010,Frontera,frontera,010,true,ok_window,,ok
2011,Frontera,frontera,010,true,ok_window,,ok
2012,Frontera,frontera,010,true,ok_window,,ok
2013,Frontera,frontera,010,true,ok_window,,ok
2014,Frontera,frontera,010,true,ok_window,,ok
2015,Frontera,frontera,010,true,ok_window,,ok
2016,Frontera,frontera,010,true,ok_window,,ok
2017,Frontera,frontera,010,true,ok_window,,ok
2018,Frontera,frontera,010,true,ok_window,,ok
2019,Frontera,frontera,010,true,ok_window,,ok
2020,Frontera,frontera,010,true,ok_window,,ok
2021,Frontera,frontera,010,true,ok_window,,ok
2022,Frontera,frontera,010,true,ok_window,,ok
2023,Frontera,frontera,010,true,ok_window,,ok
2024,Frontera,frontera,010,true,ok_window,,ok
2025,Frontera,frontera,010,true,ok_window,,ok
2010,General Cepeda,general_cepeda,011,true,ok_window,,ok
2011,General Cepeda,general_cepeda,011,true,ok_window,,ok
2012,General Cepeda,general_cepeda,011,true,ok_window,,ok
2013,General Cepeda,general_cepeda,011,true,ok_window,,ok
2014,General Cepeda,general_cepeda,011,true,ok_window,,ok
2015,General Cepeda,general_cepeda,011,true,ok_window,,ok
2016,General Cepeda,general_cepeda,011,true,ok_window,,ok
2017,General Cepeda,general_cepeda,011,true,ok_window,,ok
2018,General Cepeda,general_cepeda,011,true,ok_window,,ok
2019,General Cepeda,general_cepeda,011,true,no_ley,,not_found
2020,General Cepeda,general_cepeda,011,true,ok_window,,ok
2021,General Cepeda,general_cepeda,011,true,ok_window,,ok
2022,General Cepeda,general_cepeda,011,true,ok_window,,ok
