municipio,anio,flag
acuna,2018,millar_rowcount_jump_3_to_6
candela,2023,millar_rowcount_jump_2_to_6
candela,2024,millar_rowcount_jump_6_to_2
castanos,2023,millar_rowcount_jump_3_to_6
castanos,2024,millar_rowcount_jump_6_to_2
cuatro_cienegas,2020,millar_rowcount_jump_2_to_6
cuatro_cienegas,2022,millar_rowcount_jump_7_to_2
cuatro_cienegas,2025,millar_rowcount_jump_2_to_8
parras,2018,millar_rowcount_jump_2_to_5
ramos_arizpe,2018,millar_rowcount_jump_6_to_10
saltillo,2016,millar_rowcount_jump_2_to_8
saltillo,2020,millar_rowcount_jump_8_to_4
