ejercicio,cve_mun,municipio,slug,json_file,metodo
2010,001,Armería,armeria,2010/COL_2010_armeria.json,hardcoded_ley_hacienda_municipal
2010,002,Colima,colima,2010/COL_2010_colima.json,hardcoded_ley_hacienda_municipal
2010,003,Comala,comala,2010/COL_2010_comala.json,hardcoded_ley_hacienda_municipal
2010,004,Coquimatlán,coquimatlan,2010/COL_2010_coquimatlan.json,hardcoded_ley_hacienda_municipal
2010,005,Cuauhtémoc,cuauhtemoc,2010/COL_2010_cuauhtemoc.json,hardcoded_ley_hacienda_municipal
2010,006,Ixtlahuacán,ixtlahuacan,2010/COL_2010_ixtlahuacan.json,hardcoded_ley_hacienda_municipal
2010,007,Manzanillo,manzanillo,2010/COL_2010_manzanillo.json,hardcoded_ley_hacienda_municipal
2010,008,Minatitlán,minatitlan,2010/COL_2010_minatitlan.json,hardcoded_ley_hacienda_municipal
2010,009,Tecomán,tecoman,2010/COL_2010_tecoman.json,hardcoded_ley_hacienda_municipal
2010,010,Villa de Álvarez,villa_de_alvarez,2010/COL_2010_villa_de_alvarez.json,hardcoded_ley_hacienda_municipal
2011,001,Armería,armeria,2011/COL_2011_armeria.json,hardcoded_ley_hacienda_municipal
2011,002,Colima,colima,2011/COL_2011_colima.json,hardcoded_ley_hacienda_municipal
2011,003,Comala,comala,2011/COL_2011_comala.json,hardcoded_ley_hacienda_municipal
2011,004,Coquimatlán,coquimatlan,2011/COL_2011_coquimatlan.json,hardcoded_ley_hacienda_municipal
2011,005,Cuauhtémoc,cuauhtemoc,2011/COL_2011_cuauhtemoc.json,hardcoded_ley_hacienda_municipal
2011,006,Ixtlahuacán,ixtlahuacan,2011/COL_2011_ixtlahuacan.json,hardcoded_ley_hacienda_municipal
2011,007,Manzanillo,manzanillo,2011/COL_2011_manzanillo.json,hardcoded_ley_hacienda_municipal
2011,008,Minatitlán,minatitlan,2011/COL_2011_minatitlan.json,hardcoded_ley_hacienda_municipal
2011,009,Tecomán,tecoman,2011/COL_2011_tecoman.json,hardcoded_ley_hacienda_municipal
2011,010,Villa de Álvarez,villa_de_alvarez,2011/COL_2011_villa_de_alvarez.json,hardcoded_ley_hacienda_municipal
2012,001,Armería,armeria,2012/COL_2012_armeria.json,hardcoded_ley_hacienda_municipal
2012,002,Colima,colima,2012/COL_2012_colima.json,hardcoded_ley_hacienda_municipal
2012,003,Comala,comala,2012/COL_2012_comala.json,hardcoded_ley_hacienda_municipal
2012,004,Coquimatlán,coquimatlan,2012/COL_2012_coquimatlan.json,hardcoded_ley_hacienda_municipal
2012,005,Cuauhtémoc,cuauhtemoc,2012/COL_2012_cuauhtemoc.json,hardcoded_ley_hacienda_municipal
2012,006,Ixtlahuacán,ixtlahuacan,2012/COL_2012_ixtlahuacan.json,hardcoded_ley_hacienda_municipal
2012,007,Manzanillo,manzanillo,2012/COL_2012_manzanillo.json,hardcoded_ley_hacienda_municipal
2012,008,Minatitlán,minatitlan,2012/COL_2012_minatitlan.json,hardcoded_ley_hacienda_municipal
2012,009,Tecomán,tecoman,2012/COL_2012_tecoman.json,hardcoded_ley_hacienda_municipal
2012,010,Villa de Álvarez,villa_de_alvarez,2012/COL_2012_villa_de_alvarez.json,hardcoded_ley_hacienda_municipal
2013,001,Armería,armeria,2013/COL_2013_armeria.json,hardcoded_ley_hacienda_municipal
2013,002,Colima,colima,2013/COL_2013_colima.json,hardcoded_ley_hacienda_municipal
2013,003,Comala,comala,2013/COL_2013_comala.json,hardcoded_ley_hacienda_municipal
2013,004,Coquimatlán,coquimatlan,2013/COL_2013_coquimatlan.json,hardcoded_ley_hacienda_municipal
2013,005,Cuauhtémoc,cuauhtemoc,2013/COL_2013_cuauhtemoc.json,hardcoded_ley_hacienda_municipal
2013,006,Ixtlahuacán,ixtlahuacan,2013/COL_2013_ixtlahuacan.json,hardcoded_ley_hacienda_municipal
2013,007,Manzanillo,manzanillo,2013/COL_2013_manzanillo.json,hardcoded_ley_hacienda_municipal
2013,008,Minatitlán,minatitlan,2013/COL_2013_minatitlan.json,hardcoded_ley_hacienda_municipal
2013,009,Tecomán,tecoman,2013/COL_2013_tecoman.json,hardcoded_ley_hacienda_municipal
2013,010,Villa de Álvarez,villa_de_alvarez,2013/COL_2013_villa_de_alvarez.json,hardcoded_ley_hacienda_municipal
2014,001,Armería,armeria,2014/COL_2014_armeria.json,hardcoded_ley_hacienda_municipal
2014,002,Colima,colima,2014/COL_2014_colima.json,hardcoded_ley_hacienda_municipal
2014,003,Comala,comala,2014/COL_2014_comala.json,hardcoded_ley_hacienda_municipal
2014,004,Coquimatlán,coquimatlan,2014/COL_2014_coquimatlan.json,hardcoded_ley_hacienda_municipal
2014,005,Cuauhtémoc,cuauhtemoc,2014/COL_2014_cuauhtemoc.json,hardcoded_ley_hacienda_municipal
2014,006,Ixtlahuacán,ixtlahuacan,2014/COL_2014_ixtlahuacan.json,hardcoded_ley_hacienda_municipal
2014,007,Manzanillo,manzanillo,2014/COL_2014_manzanillo.json,hardcoded_ley_hacienda_municipal
2014,008,Minatitlán,minatitlan,2014/COL_2014_minatitlan.json,hardcoded_ley_hacienda_municipal
2014,009,Tecomán,tecoman,2014/COL_2014_tecoman.json,hardcoded_ley_hacienda_municipal
2014,010,Villa de Álvarez,villa_de_alvarez,2014/COL_2014_villa_de_alvarez.json,hardcoded_ley_hacienda_municipal
