cvegeo,estado_slug,municipio_slug,municipio_raw,anio,status,source_pdf,ley_page_start,ley_page_end,predial_found,predial_method,predial_page_start,predial_page_end,char_start,char_end,confidence,forced_end,expansion_applied,anchor_text_start,anchor_text_end,next_tax_label,txt_file,txt_chars
10001,durango,canatlan,,2016,ok,DGO_RAW_2016_canatlan.pdf,,,True,articulo_predial_tasa,30,31,64057,65892,1.0,False,False,ARTÍCULO 12.- El Impuesto Predial se pagará conforme a los valores catastrales,será aplicada tratándose del Impuesto Sobre Traslación de Dominio de Bienes,,DGO_PREDIAL_2016_canatlan.txt,1993
10002,durango,canelas,,2016,ok,DGO_RAW_2016_canelas.pdf,,,True,articulo_predial_tasa,28,29,68444,70095,1.0,False,False,ARTÍCULO 12.- El Impuesto Predial se pagará conforme a los valores catastrales,será aplicada tratándose del Impuesto Sobre Traslación de Dominio de Bienes,,DGO_PREDIAL_2016_canelas.txt,1807
10003,durango,coneto_de_comonfort,,2016,ok,DGO_RAW_2016_coneto_de_comonfort.pdf,,,True,articulo_predial_tasa,18,28,40558,68265,1.0,False,False,ARTÍCULO 12.- El Impuesto Predial se causará conforme a lo establecido en la Ley de,este descuento en una sola propiedad; igual bonificación les será aplicada tratándose del,,DGO_PREDIAL_2016_coneto_de_comonfort.txt,27887
10004,durango,cuencame,,2016,ok,DGO_RAW_2016_cuencame.pdf,,,True,articulo_predial_tasa,19,29,43114,74240,1.0,False,False,ARTÍCULO 12.- El Impuesto Predial se causará conforme a lo establecido en la,propiedad; igual bonificación les será aplicada tratándose del Impuesto Sobre Traslación de,,DGO_PREDIAL_2016_cuencame.txt,31284
10005,durango,durango,,2016,ok,DGO_RAW_2016_durango.pdf,,,True,capitulo_predial_articulo,18,46,36967,84873,1.0,False,False,CAPÍTULO I,DEL IMPUESTO SOBRE TRASLACIÓN DE DOMINIO DE BIENES INMUEBLES,,DGO_PREDIAL_2016_durango.txt,48065
10018,durango,el_oro,,2016,ok,DGO_RAW_2016_el_oro.pdf,,,True,articulo_predial_tasa,17,27,39162,68140,1.0,False,False,ARTÍCULO 11.- El Impuesto Predial se causará conforme a lo establecido en la,será aplicada tratándose del Impuesto Sobre Traslación de Dominio de Bienes,,DGO_PREDIAL_2016_el_oro.txt,29132
10006,durango,general_simon_bolivar,,2016,ok,DGO_RAW_2016_general_simon_bolivar.pdf,,,True,articulo_predial_tasa,27,28,68911,70574,1.0,False,False,ARTÍCULO 12.- El Impuesto Predial se pagará conforme a los valores catastrales de los,propiedad; igual bonificación les será aplicada tratándose del Impuesto Sobre Traslación de,,DGO_PREDIAL_2016_general_simon_bolivar.txt,1847
10007,durango,gomez_palacio,,2016,ok,DGO_RAW_2016_gomez_palacio.pdf,,,True,impuesto_predial_generico,3,42,6195,90459,1.0,False,False,"más desfavorecidos económicamente, estableciendo tarifas preferentes al Impuesto",CAPÍTULO III,,DGO_PREDIAL_2016_gomez_palacio.txt,84422
10008,durango,guadalupe_victoria,,2016,ok,DGO_RAW_2016_guadalupe_victoria.pdf,,,True,articulo_predial_tasa,19,46,39927,72598,1.0,False,False,ARTÍCULO 11.- El Impuesto Predial se causará conforme a lo establecido en la,será aplicada tratándose del Impuesto Sobre Traslación de Dominio de Bienes,,DGO_PREDIAL_2016_guadalupe_victoria.txt,32849
10009,durango,guanacevi,,2016,ok,DGO_RAW_2016_guanacevi.pdf,,,True,articulo_predial_tasa,18,28,39984,68121,1.0,False,False,ARTÍCULO 12.- El Impuesto Predial se causará conforme a lo establecido en,será aplicada tratándose del Impuesto Sobre Traslación de Dominio de Bienes,,DGO_PREDIAL_2016_guanacevi.txt,28297
10010,durango,hidalgo,,2016,ok,DGO_RAW_2016_hidalgo.pdf,,,True,articulo_predial_tasa,18,28,38780,66523,1.0,False,False,ARTÍCULO 11.- El Impuesto Predial se causará conforme a lo establecido en la,será aplicada tratándose del Impuesto Sobre Traslación de Dominio de Bienes,,DGO_PREDIAL_2016_hidalgo.txt,27899
