slug,gaceta,pp,npags,predial
canatlan,50-bis-2010_ocr.pdf,43-110,68,articulo_predial_tasa
canelas,51-normal-2010_ocr.pdf,3-37,35,articulo_predial_tasa
durango,52-normal-2010_ocr.pdf,6-140,135,capitulo_predial_articulo
el_oro,50-normal-2010_ocr.pdf,274-312,39,articulo_predial_tasa
general_simon_bolivar,50-normal-2010_ocr.pdf,238-273,36,articulo_predial_tasa
gomez_palacio,50-bis-2010_ocr.pdf,111-200,90,capitulo_predial_articulo
guadalupe_victoria,53-normal-2010_ocr.pdf,262-305,44,articulo_predial_tasa
guanacevi,50-bis-2010_ocr.pdf,2-42,41,articulo_predial_tasa
hidalgo,50-normal-2010_ocr.pdf,201-237,37,articulo_predial_tasa
inde,51-normal-2010_ocr.pdf,38-110,73,articulo_predial_tasa
lerdo,52-normal-2010_ocr.pdf,141-240,100,articulo_predial_tasa
mapimi,50-normal-2010_ocr.pdf,3-41,39,articulo_predial_tasa
mezquital,52-bis-2010_ocr.pdf,3-32,30,articulo_predial_tasa
nazas,50-normal-2010_ocr.pdf,42-83,42,articulo_predial_tasa
nombre_de_dios,52-bis-2010_ocr.pdf,245-285,41,articulo_predial_tasa
nuevo_ideal,52-bis-2010_ocr.pdf,33-82,50,articulo_predial_tasa
ocampo,50-normal-2010_ocr.pdf,84-125,42,articulo_predial_tasa
otaez,50-normal-2010_ocr.pdf,126-158,33,articulo_predial_tasa
panuco_de_coronado,52-bis-2010_ocr.pdf,83-125,43,articulo_predial_tasa
penon_blanco,51-normal-2010_ocr.pdf,111-145,35,articulo_predial_tasa
poanas,51-normal-2010_ocr.pdf,216-252,37,articulo_predial_tasa
pueblo_nuevo,53-normal-2010_ocr.pdf,6-38,33,capitulo_predial_articulo
rodeo,50-normal-2010_ocr.pdf,159-200,42,articulo_predial_tasa
san_bernardo,52-bis-2010_ocr.pdf,286-320,35,articulo_predial_tasa
san_dimas,52-bis-2010_ocr.pdf,321-358,38,articulo_predial_tasa
san_juan_de_guadalupe,53-normal-2010_ocr.pdf,39-73,35,articulo_predial_tasa
san_juan_del_rio,52-bis-2010_ocr.pdf,359-400,42,articulo_predial_tasa
san_luis_del_cordero,52-bis-2010_ocr.pdf,166-200,35,articulo_predial_tasa
san_pedro_del_gallo,51-normal-2010_ocr.pdf,146-184,39,articulo_predial_tasa
santa_clara,52-bis-2010_ocr.pdf,126-165,40,articulo_predial_tasa
santiago_papasquiaro,53-normal-2010_ocr.pdf,306-360,55,articulo_predial_tasa
suchil,53-normal-2010_ocr.pdf,148-224,77,articulo_predial_tasa
tamazula,51-normal-2010_ocr.pdf,185-215,31,articulo_predial_tasa
tepehuanes,53-normal-2010_ocr.pdf,74-147,74,articulo_predial_tasa
tlahualilo,52-bis-2010_ocr.pdf,201-244,44,articulo_predial_tasa
topia,53-normal-2010_ocr.pdf,1-5,5,impuesto_predial_generico
vicente_guerrero,53-normal-2010_ocr.pdf,225-261,37,articulo_predial_tasa
