municipio,anio,anomalia,json_path
comonfort,2011,cambio_esquema_tarifa_millar_a_cuota_fija_desde_2010,data\guanajuato\json_predial\2011\GTO_PREDIAL_2011_comonfort.json
dolores_hidalgo_cuna_de_la_independencia_nacional,2011,cambio_brusco_n_filas_11_a_3,data\guanajuato\json_predial\2011\GTO_PREDIAL_2011_dolores_hidalgo_cuna_de_la_independencia_nacional.json
comonfort,2012,cambio_esquema_cuota_fija_a_tarifa_millar_desde_2011,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_comonfort.json
dolores_hidalgo_cuna_de_la_independencia_nacional,2012,cambio_brusco_n_filas_3_a_11,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_dolores_hidalgo_cuna_de_la_independencia_nacional.json
leon,2012,cambio_esquema_tarifa_millar_a_mixto_desde_2011,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_leon.json
leon,2012,mixta_row10_columnas_vacias,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_leon.json
leon,2012,mixta_row11_columnas_vacias,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_leon.json
leon,2012,mixta_row12_columnas_vacias,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_leon.json
leon,2012,mixta_row13_columnas_vacias,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_leon.json
leon,2012,mixta_row14_columnas_vacias,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_leon.json
leon,2012,mixta_row1_columnas_vacias,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_leon.json
leon,2012,mixta_row2_columnas_vacias,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_leon.json
leon,2012,mixta_row3_columnas_vacias,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_leon.json
leon,2012,mixta_row4_columnas_vacias,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_leon.json
