ejercicio,anio_publicacion,idPeriodico,municipio,municipio_api,periodico,fecha,asunto
2025,30/1,17241,Manuel Doblado,NO APLICA,Periódico Número 261 Décima Sexta Parte,30/12/2024,"DECRETO Legislativo Número 22, expedido por la Sexagésima Sexta Legislatura Constitucional del Congreso del Estado Libre y Soberano de Guanajuato, mediante el cual se emite la Ley de Ingresos para el Municipio de Manuel Doblado, Guanajuato, para el Ejercicio Fiscal 2025."
2025,30/1,17241,Moroleón,NO APLICA,Periódico Número 261 Décima Sexta Parte,30/12/2024,"DECRETO Legislativo Número 23, expedido por la Sexagésima Sexta Legislatura Constitucional del Congreso del Estado Libre y Soberano de Guanajuato, mediante el cual se emite la Ley de Ingresos para el Municipio de Moroleón, Guanajuato, para el Ejercicio Fiscal 2025."
2025,30/1,17241,Ocampo,NO APLICA,Periódico Número 261 Décima Sexta Parte,30/12/2024,"DECRETO Legislativo Número 24, expedido por la Sexagésima Sexta Legislatura Constitucional del Congreso del Estado Libre y Soberano de Guanajuato, mediante el cual se emite la Ley de Ingresos para el Municipio de Ocampo, Guanajuato, para el Ejercicio Fiscal 2025."
2025,30/1,17242,San Diego de la Unión,NO APLICA,Periódico Número 261 Décima Novena Parte,30/12/2024,"DECRETO Legislativo Número 31, expedido por la Sexagésima Sexta Legislatura Constitucional del Congreso del Estado Libre y Soberano de Guanajuato, mediante el cual se emite la Ley de Ingresos para el Municipio de San Diego de la Unión, Guanajuato, para el Ejercicio Fiscal 2025."
2025,30/1,17242,San Felipe,NO APLICA,Periódico Número 261 Décima Novena Parte,30/12/2024,"DECRETO Legislativo Número 32, expedido por la Sexagésima Sexta Legislatura Constitucional del Congreso del Estado Libre y Soberano de Guanajuato, mediante el cual se emite la Ley de Ingresos para el Municipio de San Felipe, Guanajuato, para el Ejercicio Fiscal 2025."
2025,30/1,17211,San Francisco del Rincón,NO APLICA,Periódico Número 261 Vigésima Parte,30/12/2024,"DECRETO Legislativo Número 33, expedido por la Sexagésima Sexta Legislatura Constitucional del Congreso del Estado Libre y Soberano de Guanajuato, mediante el cual se emite la Ley de Ingresos para el Municipio de San Francisco del Rincón, Guanajuato, para el Ejercicio Fiscal 2025."
2025,30/1,17211,San José Iturbide,NO APLICA,Periódico Número 261 Vigésima Parte,30/12/2024,"DECRETO Legislativo Número 34, expedido por la Sexagésima Sexta Legislatura Constitucional del Congreso del Estado Libre y Soberano de Guanajuato, mediante el cual se emite la Ley de Ingresos para el Municipio de San José Iturbide, Guanajuato, para el Ejercicio Fiscal 2025."
2025,30/1,17212,San Luis de la Paz,NO APLICA,Periódico Número 261 Vigésima Primera Parte,30/12/2024,"DECRETO Legislativo Número 35, expedido por la Sexagésima Sexta Legislatura Constitucional del Congreso del Estado Libre y Soberano de Guanajuato, mediante el cual se emite la Ley de Ingresos para el Municipio de San Luis de la Paz, Guanajuato, para el Ejercicio Fiscal 2025."
2025,30/1,17212,San Miguel de Allende,NO APLICA,Periódico Número 261 Vigésima Primera Parte,30/12/2024,"DECRETO Legislativo Número 36, expedido por la Sexagésima Sexta Legislatura Constitucional del Congreso del Estado Libre y Soberano de Guanajuato, mediante el cual se emite la Ley de Ingresos para el Municipio de San Miguel de Allende, Guanajuato, para el Ejercicio Fiscal 2025."
2025,30/1,17213,Santa Catarina,NO APLICA,Periódico Número 261 Vigésima Segunda Parte,30/12/2024,"DECRETO Legislativo Número 37, expedido por la Sexagésima Sexta Legislatura Constitucional del Congreso del Estado Libre y Soberano de Guanajuato, mediante el cual se emite la Ley de Ingresos para el Municipio de Santa Catarina, Guanajuato, para el Ejercicio Fiscal 2025."
2025,30/1,17213,Santa Cruz de Juventino Rosas,NO APLICA,Periódico Número 261 Vigésima Segunda Parte,30/12/2024,"DECRETO Legislativo Número 38, expedido por la Sexagésima Sexta Legislatura Constitucional del Congreso del Estado Libre y Soberano de Guanajuato, mediante el cual se emite la Ley de Ingresos para el Municipio de Santa Cruz de Juventino Rosas, Guanajuato, para el Ejercicio Fiscal 2025."
