municipio,n_years,years_present,n_missing,years_missing
abasolo,15,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2,2013;2016
acambaro,13,2011;2012;2014;2015;2017;2018;2020;2021;2022;2023;2024;2025;2026,4,2010;2013;2016;2019
apaseo_el_alto,15,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2,2013;2016
apaseo_el_grande,14,2010;2011;2012;2014;2015;2017;2018;2020;2021;2022;2023;2024;2025;2026,3,2013;2016;2019
atarjea,15,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2,2013;2016
celaya,12,2011;2012;2014;2015;2017;2018;2020;2021;2022;2023;2024;2026,5,2010;2013;2016;2019;2025
comonfort,15,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2,2013;2016
coroneo,10,2010;2011;2012;2014;2015;2017;2019;2020;2022;2024,7,2013;2016;2018;2021;2023;2025;2026
cortazar,15,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2,2013;2016
cueramaro,14,2010;2011;2012;2014;2015;2017;2018;2020;2021;2022;2023;2024;2025;2026,3,2013;2016;2019
doctor_mora,11,2010;2011;2012;2014;2017;2018;2019;2020;2022;2023;2024,6,2013;2015;2016;2021;2025;2026
dolores_hidalgo_cuna_de_la_independencia_nacional,14,2010;2011;2012;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025;2026,3,2013;2016;2021
guanajuato,11,2011;2012;2014;2015;2017;2018;2019;2020;2024;2025;2026,6,2010;2013;2016;2021;2022;2023
huanimaro,14,2010;2011;2012;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025;2026,3,2013;2016;2021
irapuato,13,2011;2012;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025;2026,4,2010;2013;2016;2021
jaral_del_progreso,14,2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,3,2010;2013;2016
jerecuaro,15,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2,2013;2016
leon,14,2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,3,2010;2013;2016
lrapuato,1,2019,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025;2026
manuel_doblado,13,2010;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,4,2011;2012;2013;2016
moroleon,15,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2,2013;2016
ocampo,15,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2,2013;2016
penjamo,15,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2,2013;2016
pueblo_nuevo,14,2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,3,2010;2013;2016
purisima_del_rincon,14,2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,3,2010;2013;2016
romita,14,2010;2011;2012;2014;2015;2017;2019;2020;2021;2022;2023;2024;2025;2026,3,2013;2016;2018
salamanca,15,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2,2013;2016
salvatierra,14,2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,3,2010;2013;2016
san_diego_de_la_union,14,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2025;2026,3,2013;2016;2024
san_felipe,13,2010;2011;2012;2014;2015;2017;2019;2020;2021;2022;2023;2025;2026,4,2013;2016;2018;2024
san_francisco_del_rincon,9,2011;2012;2014;2015;2017;2018;2019;2020;2021,8,2010;2013;2016;2022;2023;2024;2025;2026
san_jose_iturbide,12,2010;2011;2012;2014;2015;2018;2019;2020;2021;2022;2023;2024,5,2013;2016;2017;2025;2026
san_luis_de_la_paz,13,2010;2011;2012;2015;2017;2018;2019;2020;2021;2022;2023;2025;2026,4,2013;2014;2016;2024
san_miguel_de_allende,15,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2,2013;2016
santa_catarina,14,2010;2011;2012;2014;2015;2017;2018;2020;2021;2022;2023;2024;2025;2026,3,2013;2016;2019
santa_cruz_de_juventino_rosas,15,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2,2013;2016
santiago_maravatio,13,2010;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2025;2026,4,2011;2013;2016;2024
silao_de_la_victoria,12,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2026,5,2013;2016;2023;2024;2025
tarandacuao,15,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2,2013;2016
tarimoro,13,2010;2011;2012;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025,4,2013;2016;2021;2026
tierra_blanca,13,2010;2011;2012;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025,4,2013;2016;2021;2026
uriangato,14,2010;2011;2012;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025;2026,3,2013;2016;2021
valle_de_santiago,14,2010;2011;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025,3,2013;2016;2026
victoria,14,2010;2012;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,3,2011;2013;2016
villagran,13,2010;2012;2014;2015;2017;2019;2020;2021;2022;2023;2024;2025;2026,4,2011;2013;2016;2018
xichu,14,2010;2011;2012;2014;2015;2017;2019;2020;2021;2022;2023;2024;2025;2026,3,2013;2016;2018
yuriria,13,2010;2012;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,4,2011;2013;2014;2016
