municipio_slug,municipio_nombre,anio,tipo_esquema,esquema_valido,n_tarifa_rows,n_prog_rows,n_tasa_unica_rows,n_cuota_fija_rows,n_mixta_rows,anomalias,json_path
abasolo,Abasolo,2010,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2010\GTO_PREDIAL_2010_abasolo.json
abasolo,Abasolo,2011,tarifa_millar,True,10,0,0,0,0,,data\guanajuato\json_predial\2011\GTO_PREDIAL_2011_abasolo.json
abasolo,Abasolo,2012,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_abasolo.json
abasolo,Abasolo,2014,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2014\GTO_PREDIAL_2014_abasolo.json
abasolo,Abasolo,2015,tarifa_millar,True,9,0,0,0,0,,data\guanajuato\json_predial\2015\GTO_PREDIAL_2015_abasolo.json
abasolo,Abasolo,2017,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2017\GTO_PREDIAL_2017_abasolo.json
abasolo,Abasolo,2018,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2018\GTO_PREDIAL_2018_abasolo.json
abasolo,Abasolo,2019,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2019\GTO_PREDIAL_2019_abasolo.json
abasolo,Abasolo,2020,progresivo,True,8,15,0,0,0,cambio_brusco_n_filas_11_a_23|cambio_esquema_tarifa_millar_a_progresivo_desde_2019|prog_row10_superior_null_no_ultimo|prog_row11_hueco_con_anterior|tipo_progresivo_con_tabla_tarifa_no_vacia,data\guanajuato\json_predial\2020\GTO_PREDIAL_2020_abasolo.json
abasolo,Abasolo,2021,progresivo,True,4,15,0,0,0,tipo_progresivo_con_tabla_tarifa_no_vacia,data\guanajuato\json_predial\2021\GTO_PREDIAL_2021_abasolo.json
abasolo,Abasolo,2022,progresivo,True,8,15,0,0,0,tipo_progresivo_con_tabla_tarifa_no_vacia,data\guanajuato\json_predial\2022\GTO_PREDIAL_2022_abasolo.json
abasolo,Abasolo,2023,progresivo,True,8,15,0,0,0,tipo_progresivo_con_tabla_tarifa_no_vacia,data\guanajuato\json_predial\2023\GTO_PREDIAL_2023_abasolo.json
abasolo,Abasolo,2024,progresivo,True,8,15,0,0,0,tipo_progresivo_con_tabla_tarifa_no_vacia,data\guanajuato\json_predial\2024\GTO_PREDIAL_2024_abasolo.json
abasolo,Abasolo,2025,progresivo,True,8,15,0,0,0,tipo_progresivo_con_tabla_tarifa_no_vacia,data\guanajuato\json_predial\2025\GTO_PREDIAL_2025_abasolo.json
abasolo,Abasolo,2026,cuota_fija,True,0,0,0,16,0,cambio_esquema_progresivo_a_cuota_fija_desde_2025,data\guanajuato\json_predial\2026\GTO_PREDIAL_2026_abasolo.json
acambaro,Acambaro,2011,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2011\GTO_PREDIAL_2011_acambaro.json
acambaro,Acambaro,2012,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_acambaro.json
acambaro,Acambaro,2014,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2014\GTO_PREDIAL_2014_acambaro.json
acambaro,Acambaro,2015,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2015\GTO_PREDIAL_2015_acambaro.json
acambaro,Acambaro,2017,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2017\GTO_PREDIAL_2017_acambaro.json
acambaro,Acambaro,2018,tarifa_millar,True,8,0,0,0,0,,data\guanajuato\json_predial\2018\GTO_PREDIAL_2018_acambaro.json
acambaro,Acambaro,2020,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2020\GTO_PREDIAL_2020_acambaro.json
acambaro,Acambaro,2021,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2021\GTO_PREDIAL_2021_acambaro.json
acambaro,Acambaro,2022,tarifa_millar,True,12,0,0,0,0,,data\guanajuato\json_predial\2022\GTO_PREDIAL_2022_acambaro.json
acambaro,Acambaro,2023,tarifa_millar,True,12,0,0,0,0,,data\guanajuato\json_predial\2023\GTO_PREDIAL_2023_acambaro.json
acambaro,Acambaro,2024,tarifa_millar,True,12,0,0,0,0,,data\guanajuato\json_predial\2024\GTO_PREDIAL_2024_acambaro.json
acambaro,Acambaro,2025,tarifa_millar,True,12,0,0,0,0,,data\guanajuato\json_predial\2025\GTO_PREDIAL_2025_acambaro.json
acambaro,Acambaro,2026,tarifa_millar,True,9,0,0,0,0,,data\guanajuato\json_predial\2026\GTO_PREDIAL_2026_acambaro.json
apaseo_el_alto,Apaseo El Alto,2010,tarifa_millar,True,12,0,0,0,0,,data\guanajuato\json_predial\2010\GTO_PREDIAL_2010_apaseo_el_alto.json
apaseo_el_alto,Apaseo El Alto,2011,tarifa_millar,True,12,0,0,0,0,,data\guanajuato\json_predial\2011\GTO_PREDIAL_2011_apaseo_el_alto.json
apaseo_el_alto,Apaseo El Alto,2012,tarifa_millar,True,12,0,0,0,0,,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_apaseo_el_alto.json
apaseo_el_alto,Apaseo El Alto,2014,tarifa_millar,True,12,0,0,0,0,,data\guanajuato\json_predial\2014\GTO_PREDIAL_2014_apaseo_el_alto.json
apaseo_el_alto,Apaseo El Alto,2015,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2015\GTO_PREDIAL_2015_apaseo_el_alto.json
apaseo_el_alto,Apaseo El Alto,2017,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2017\GTO_PREDIAL_2017_apaseo_el_alto.json
apaseo_el_alto,Apaseo El Alto,2018,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2018\GTO_PREDIAL_2018_apaseo_el_alto.json
apaseo_el_alto,Apaseo El Alto,2019,tarifa_millar,True,3,0,0,0,0,cambio_brusco_n_filas_11_a_3,data\guanajuato\json_predial\2019\GTO_PREDIAL_2019_apaseo_el_alto.json
apaseo_el_alto,Apaseo El Alto,2020,tarifa_millar,True,3,0,0,0,0,,data\guanajuato\json_predial\2020\GTO_PREDIAL_2020_apaseo_el_alto.json
apaseo_el_alto,Apaseo El Alto,2021,tarifa_millar,True,11,0,0,0,0,cambio_brusco_n_filas_3_a_11,data\guanajuato\json_predial\2021\GTO_PREDIAL_2021_apaseo_el_alto.json
apaseo_el_alto,Apaseo El Alto,2022,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2022\GTO_PREDIAL_2022_apaseo_el_alto.json
apaseo_el_alto,Apaseo El Alto,2023,tarifa_millar,True,3,0,0,0,0,cambio_brusco_n_filas_11_a_3,data\guanajuato\json_predial\2023\GTO_PREDIAL_2023_apaseo_el_alto.json
apaseo_el_alto,Apaseo El Alto,2024,tarifa_millar,True,9,0,0,0,0,cambio_brusco_n_filas_3_a_9,data\guanajuato\json_predial\2024\GTO_PREDIAL_2024_apaseo_el_alto.json
apaseo_el_alto,Apaseo El Alto,2025,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2025\GTO_PREDIAL_2025_apaseo_el_alto.json
apaseo_el_alto,Apaseo El Alto,2026,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2026\GTO_PREDIAL_2026_apaseo_el_alto.json
apaseo_el_grande,Apaseo El Grande,2010,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2010\GTO_PREDIAL_2010_apaseo_el_grande.json
apaseo_el_grande,Apaseo El Grande,2011,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2011\GTO_PREDIAL_2011_apaseo_el_grande.json
apaseo_el_grande,Apaseo El Grande,2012,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2012\GTO_PREDIAL_2012_apaseo_el_grande.json
apaseo_el_grande,Apaseo El Grande,2014,tarifa_millar,True,8,0,0,0,0,,data\guanajuato\json_predial\2014\GTO_PREDIAL_2014_apaseo_el_grande.json
apaseo_el_grande,Apaseo El Grande,2015,tarifa_millar,True,11,0,0,0,0,,data\guanajuato\json_predial\2015\GTO_PREDIAL_2015_apaseo_el_grande.json
apaseo_el_grande,Apaseo El Grande,2017,tarifa_millar,True,3,0,0,0,0,cambio_brusco_n_filas_11_a_3,data\guanajuato\json_predial\2017\GTO_PREDIAL_2017_apaseo_el_grande.json
apaseo_el_grande,Apaseo El Grande,2018,tarifa_millar,True,11,0,0,0,0,cambio_brusco_n_filas_3_a_11,data\guanajuato\json_predial\2018\GTO_PREDIAL_2018_apaseo_el_grande.json
