ejercicio,input_pdf,ocr_pdf,status
2010,data\guanajuato\pdf_raw\2010\2010_1851_Periodico_Numero_18_Segunda_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_1851_Periodico_Numero_18_Segunda_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2278_Periodico_Numero_206_Primera_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2278_Periodico_Numero_206_Primera_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2279_Periodico_Numero_206_Segunda_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2279_Periodico_Numero_206_Segunda_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2280_Periodico_Numero_206_Tercera_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2280_Periodico_Numero_206_Tercera_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2281_Periodico_Numero_206_Cuarta_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2281_Periodico_Numero_206_Cuarta_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2282_Periodico_Numero_206_Quinta_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2282_Periodico_Numero_206_Quinta_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2283_Periodico_Numero_206_Sexta_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2283_Periodico_Numero_206_Sexta_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2285_Periodico_Numero_206_Septima_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2285_Periodico_Numero_206_Septima_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2286_Periodico_Numero_206_Octava_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2286_Periodico_Numero_206_Octava_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2287_Periodico_Numero_206_Novena_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2287_Periodico_Numero_206_Novena_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2288_Periodico_Numero_206_Decima_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2288_Periodico_Numero_206_Decima_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2293_Periodico_Numero_206_Decima_Quinta_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2293_Periodico_Numero_206_Decima_Quinta_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2294_Periodico_Numero_206_Decima_Sexta_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2294_Periodico_Numero_206_Decima_Sexta_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2926_Periodico_Numero_199_Segunda_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2926_Periodico_Numero_199_Segunda_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2927_Periodico_Numero_199_Tercera_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2927_Periodico_Numero_199_Tercera_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2928_Periodico_Numero_199_Cuarta_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2928_Periodico_Numero_199_Cuarta_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2929_Periodico_Numero_199_Quinta_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2929_Periodico_Numero_199_Quinta_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2932_Periodico_Numero_199_Sexta_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2932_Periodico_Numero_199_Sexta_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2933_Periodico_Numero_199_Septima_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2933_Periodico_Numero_199_Septima_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2934_Periodico_Numero_199_Octava_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2934_Periodico_Numero_199_Octava_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2948_Periodico_Numero_207_Segunda_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2948_Periodico_Numero_207_Segunda_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2949_Periodico_Numero_207_Tercera_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2949_Periodico_Numero_207_Tercera_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2950_Periodico_Numero_207_Cuarta_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2950_Periodico_Numero_207_Cuarta_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2951_Periodico_Numero_207_Quinta_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2951_Periodico_Numero_207_Quinta_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2952_Periodico_Numero_207_Sexta_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2952_Periodico_Numero_207_Sexta_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2953_Periodico_Numero_207_Septima_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2953_Periodico_Numero_207_Septima_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2954_Periodico_Numero_207_Octava_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2954_Periodico_Numero_207_Octava_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2955_Periodico_Numero_207_Novena_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2955_Periodico_Numero_207_Novena_Parte_ocr.pdf,ok
2010,data\guanajuato\pdf_raw\2010\2010_2956_Periodico_Numero_207_Decima_Parte.pdf,data\guanajuato\pdf_ocr\2010\2010_2956_Periodico_Numero_207_Decima_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_16341_Periodico_Numero_12_Segunda_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_16341_Periodico_Numero_12_Segunda_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_16458_Periodico_Numero_7_Segunda_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_16458_Periodico_Numero_7_Segunda_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_16477_Periodico_Numero_16_Segunda_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_16477_Periodico_Numero_16_Segunda_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_16482_Periodico_Numero_17_Segunda_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_16482_Periodico_Numero_17_Segunda_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17194_Periódico_Número_261_Segunda_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17194_Periódico_Número_261_Segunda_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17195_Periódico_Número_261_Tercera_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17195_Periódico_Número_261_Tercera_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17196_Periódico_Número_261_Novena_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17196_Periódico_Número_261_Novena_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17197_Periódico_Número_261_Décima_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17197_Periódico_Número_261_Décima_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17198_Periódico_Número_261_Décima_Segunda_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17198_Periódico_Número_261_Décima_Segunda_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17199_Periódico_Número_261_Décima_Tercera_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17199_Periódico_Número_261_Décima_Tercera_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17200_Periódico_Número_261_Décima_Quinta_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17200_Periódico_Número_261_Décima_Quinta_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17201_Periódico_Número_261_Décima_Séptima_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17201_Periódico_Número_261_Décima_Séptima_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17202_Periódico_Número_261_Décima_Octava_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17202_Periódico_Número_261_Décima_Octava_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17211_Periódico_Número_261_Vigésima_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17211_Periódico_Número_261_Vigésima_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17212_Periódico_Número_261_Vigésima_Primera_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17212_Periódico_Número_261_Vigésima_Primera_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17213_Periódico_Número_261_Vigésima_Segunda_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17213_Periódico_Número_261_Vigésima_Segunda_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17214_Periódico_Número_261_Vigésima_Tercera_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17214_Periódico_Número_261_Vigésima_Tercera_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17215_Periódico_Número_261_Vigésima_Cuarta_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17215_Periódico_Número_261_Vigésima_Cuarta_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17216_Periódico_Número_261_Vigésima_Quinta_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17216_Periódico_Número_261_Vigésima_Quinta_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17222_Periódico_Número_260_Octava_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17222_Periódico_Número_260_Octava_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17223_Periódico_Número_261_Cuarta_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17223_Periódico_Número_261_Cuarta_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17224_Periódico_Número_261_Quinta_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17224_Periódico_Número_261_Quinta_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17225_Periódico_Número_261_Sexta_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17225_Periódico_Número_261_Sexta_Parte_ocr.pdf,ok
2025,data\guanajuato\pdf_raw\2025\2025_17226_Periódico_Número_261_Séptima_Parte.pdf,data\guanajuato\pdf_ocr\2025\2025_17226_Periódico_Número_261_Séptima_Parte_ocr.pdf,ok
