ejercicio,municipio,slug,cve_mun,in_segment,segment_method,txt_chars,status
2010,Abasolo,abasolo,001,true,capitulo_predial,7464,ok
2011,Abasolo,abasolo,001,true,capitulo_predial,7387,ok
2012,Abasolo,abasolo,001,true,capitulo_predial,7557,ok
2013,Abasolo,abasolo,001,false,,,not_segmented
2014,Abasolo,abasolo,001,true,seccion_predial,7688,ok
2015,Abasolo,abasolo,001,true,seccion_predial,7677,ok
2016,Abasolo,abasolo,001,false,,,not_segmented
2017,Abasolo,abasolo,001,true,seccion_predial,7668,ok
2018,Abasolo,abasolo,001,true,seccion_predial,7769,ok
2019,Abasolo,abasolo,001,true,seccion_predial,7546,ok
2020,Abasolo,abasolo,001,true,seccion_predial,8782,ok
2021,Abasolo,abasolo,001,true,seccion_predial,9203,ok
2022,Abasolo,abasolo,001,true,seccion_predial,9408,ok
2023,Abasolo,abasolo,001,true,seccion_predial,9195,ok
2024,Abasolo,abasolo,001,true,seccion_predial,10086,ok
2025,Abasolo,abasolo,001,true,seccion_predial,9877,ok
2010,Acambaro,acambaro,002,false,,,not_segmented
2011,Acambaro,acambaro,002,true,seccion_predial,7515,ok
2012,Acambaro,acambaro,002,true,seccion_predial,7366,ok
2013,Acambaro,acambaro,002,false,,,not_segmented
2014,Acambaro,acambaro,002,true,seccion_predial,7525,ok
2015,Acambaro,acambaro,002,true,seccion_predial,7540,ok
2016,Acambaro,acambaro,002,false,,,not_segmented
2017,Acambaro,acambaro,002,true,seccion_predial,7233,ok
2018,Acambaro,acambaro,002,true,seccion_predial,7456,ok
2019,Acambaro,acambaro,002,true,seccion_predial,7475,ok
2020,Acambaro,acambaro,002,true,seccion_predial,7402,ok
2021,Acambaro,acambaro,002,true,seccion_predial,7289,ok
2022,Acambaro,acambaro,002,true,seccion_predial,7986,ok
2023,Acambaro,acambaro,002,true,seccion_predial,8065,ok
2024,Acambaro,acambaro,002,true,seccion_predial,8250,ok
2025,Acambaro,acambaro,002,true,seccion_predial,8347,ok
2010,Apaseo el Alto,apaseo_el_alto,004,true,seccion_predial,7784,ok
2011,Apaseo el Alto,apaseo_el_alto,004,true,seccion_predial,7804,ok
2012,Apaseo el Alto,apaseo_el_alto,004,true,seccion_predial,7669,ok
2013,Apaseo el Alto,apaseo_el_alto,004,false,,,not_segmented
2014,Apaseo el Alto,apaseo_el_alto,004,true,seccion_predial,7648,ok
2015,Apaseo el Alto,apaseo_el_alto,004,true,seccion_predial,7753,ok
2016,Apaseo el Alto,apaseo_el_alto,004,false,,,not_segmented
2017,Apaseo el Alto,apaseo_el_alto,004,true,seccion_predial,7908,ok
2018,Apaseo el Alto,apaseo_el_alto,004,true,seccion_predial,7978,ok
2019,Apaseo el Alto,apaseo_el_alto,004,true,seccion_predial,7813,ok
2020,Apaseo el Alto,apaseo_el_alto,004,true,seccion_predial,7797,ok
2021,Apaseo el Alto,apaseo_el_alto,004,true,seccion_predial,7810,ok
2022,Apaseo el Alto,apaseo_el_alto,004,true,seccion_predial,7854,ok
2023,Apaseo el Alto,apaseo_el_alto,004,true,seccion_predial,7911,ok
2024,Apaseo el Alto,apaseo_el_alto,004,true,seccion_predial,8143,ok
2025,Apaseo el Alto,apaseo_el_alto,004,true,seccion_predial,8146,ok
2010,Apaseo el Grande,apaseo_el_grande,005,true,seccion_predial,7696,ok
2011,Apaseo el Grande,apaseo_el_grande,005,true,seccion_predial,7306,ok
2012,Apaseo el Grande,apaseo_el_grande,005,true,seccion_predial,6804,ok
2013,Apaseo el Grande,apaseo_el_grande,005,false,,,not_segmented
2014,Apaseo el Grande,apaseo_el_grande,005,true,seccion_predial,7306,ok
2015,Apaseo el Grande,apaseo_el_grande,005,true,seccion_predial,7490,ok
2016,Apaseo el Grande,apaseo_el_grande,005,false,,,not_segmented
2017,Apaseo el Grande,apaseo_el_grande,005,true,seccion_predial,6605,ok
2018,Apaseo el Grande,apaseo_el_grande,005,true,seccion_predial,7656,ok
2019,Apaseo el Grande,apaseo_el_grande,005,true,fallback_18pp,564,fallback
2020,Apaseo el Grande,apaseo_el_grande,005,true,seccion_predial,7451,ok
2021,Apaseo el Grande,apaseo_el_grande,005,true,seccion_predial,7914,ok
2022,Apaseo el Grande,apaseo_el_grande,005,true,seccion_predial,8131,ok
2023,Apaseo el Grande,apaseo_el_grande,005,true,seccion_predial,7923,ok
2024,Apaseo el Grande,apaseo_el_grande,005,true,seccion_predial,8340,ok
2025,Apaseo el Grande,apaseo_el_grande,005,true,seccion_predial,8230,ok
2010,Atarjea,atarjea,006,true,seccion_predial,5903,ok
2011,Atarjea,atarjea,006,true,seccion_predial,5841,ok
2012,Atarjea,atarjea,006,true,seccion_predial,5911,ok
2013,Atarjea,atarjea,006,false,,,not_segmented
2014,Atarjea,atarjea,006,true,seccion_predial,5801,ok
2015,Atarjea,atarjea,006,true,seccion_predial,5827,ok
2016,Atarjea,atarjea,006,false,,,not_segmented
2017,Atarjea,atarjea,006,true,seccion_predial,5878,ok
2018,Atarjea,atarjea,006,true,seccion_predial,5783,ok
2019,Atarjea,atarjea,006,true,seccion_predial,5839,ok
2020,Atarjea,atarjea,006,true,seccion_predial,5894,ok
2021,Atarjea,atarjea,006,true,seccion_predial,6424,ok
2022,Atarjea,atarjea,006,true,seccion_predial,6237,ok
2023,Atarjea,atarjea,006,true,seccion_predial,5999,ok
2024,Atarjea,atarjea,006,true,seccion_predial,6092,ok
2025,Atarjea,atarjea,006,true,seccion_predial,6122,ok
2010,Celaya,celaya,007,false,,,not_segmented
2011,Celaya,celaya,007,true,seccion_predial,11324,ok
2012,Celaya,celaya,007,true,seccion_predial,11009,ok
2013,Celaya,celaya,007,false,,,not_segmented
2014,Celaya,celaya,007,true,seccion_predial,11121,ok
2015,Celaya,celaya,007,true,seccion_predial,11173,ok
2016,Celaya,celaya,007,false,,,not_segmented
2017,Celaya,celaya,007,true,seccion_predial,8617,ok
2018,Celaya,celaya,007,true,seccion_predial,5853,ok
2019,Celaya,celaya,007,false,,,not_segmented
2020,Celaya,celaya,007,true,seccion_predial,11465,ok
2021,Celaya,celaya,007,true,seccion_predial,10463,ok
2022,Celaya,celaya,007,true,seccion_predial,31782,ok
2023,Celaya,celaya,007,true,seccion_predial,54154,ok
2024,Celaya,celaya,007,true,seccion_predial,15243,ok
2025,Celaya,celaya,007,false,,,not_segmented
2010,Comonfort,comonfort,009,true,seccion_predial,8120,ok
2011,Comonfort,comonfort,009,true,seccion_predial,8137,ok
2012,Comonfort,comonfort,009,true,seccion_predial,8200,ok
2013,Comonfort,comonfort,009,false,,,not_segmented
2014,Comonfort,comonfort,009,true,seccion_predial,7986,ok
2015,Comonfort,comonfort,009,true,seccion_predial,7968,ok
2016,Comonfort,comonfort,009,false,,,not_segmented
2017,Comonfort,comonfort,009,true,seccion_predial,5210,ok
2018,Comonfort,comonfort,009,true,seccion_predial,7457,ok
2019,Comonfort,comonfort,009,true,seccion_predial,8244,ok
2020,Comonfort,comonfort,009,true,seccion_predial,8264,ok
2021,Comonfort,comonfort,009,true,seccion_predial,8404,ok
2022,Comonfort,comonfort,009,true,seccion_predial,8495,ok
2023,Comonfort,comonfort,009,true,seccion_predial,8455,ok
2024,Comonfort,comonfort,009,true,seccion_predial,8485,ok
2025,Comonfort,comonfort,009,true,seccion_predial,8701,ok
2010,Coroneo,coroneo,010,true,seccion_predial,7673,ok
2011,Coroneo,coroneo,010,true,seccion_predial,7674,ok
2012,Coroneo,coroneo,010,true,seccion_predial,7812,ok
2013,Coroneo,coroneo,010,false,,,not_segmented
2014,Coroneo,coroneo,010,true,seccion_predial,7480,ok
2015,Coroneo,coroneo,010,true,seccion_predial,7482,ok
2016,Coroneo,coroneo,010,false,,,not_segmented
2017,Coroneo,coroneo,010,true,seccion_predial,7287,ok
2018,Coroneo,coroneo,010,false,,,not_segmented
2019,Coroneo,coroneo,010,false,,,not_segmented
2020,Coroneo,coroneo,010,true,seccion_predial,7571,ok
2021,Coroneo,coroneo,010,false,,,not_segmented
2022,Coroneo,coroneo,010,true,seccion_predial,7167,ok
2023,Coroneo,coroneo,010,false,,,not_segmented
2024,Coroneo,coroneo,010,false,,,not_segmented
2025,Coroneo,coroneo,010,false,,,not_segmented
2010,Cortazar,cortazar,011,true,seccion_predial,7883,ok
2011,Cortazar,cortazar,011,true,seccion_predial,7812,ok
2012,Cortazar,cortazar,011,true,seccion_predial,7821,ok
2013,Cortazar,cortazar,011,false,,,not_segmented
2014,Cortazar,cortazar,011,true,seccion_predial,7897,ok
2015,Cortazar,cortazar,011,true,seccion_predial,7928,ok
2016,Cortazar,cortazar,011,false,,,not_segmented
2017,Cortazar,cortazar,011,true,seccion_predial,5729,ok
2018,Cortazar,cortazar,011,true,seccion_predial,5592,ok
2019,Cortazar,cortazar,011,true,seccion_predial,6582,ok
2020,Cortazar,cortazar,011,true,seccion_predial,7198,ok
2021,Cortazar,cortazar,011,true,seccion_predial,6937,ok
2022,Cortazar,cortazar,011,true,seccion_predial,6376,ok
2023,Cortazar,cortazar,011,true,seccion_predial,5731,ok
2024,Cortazar,cortazar,011,true,seccion_predial,6521,ok
