municipio,anio,flag
apaseo_el_alto,2014,millar_rowcount_jump_12_to_3
apaseo_el_alto,2015,millar_rowcount_jump_3_to_11
apaseo_el_alto,2019,millar_rowcount_jump_11_to_3
apaseo_el_alto,2022,millar_rowcount_jump_3_to_11
apaseo_el_alto,2023,millar_rowcount_jump_11_to_3
apaseo_el_alto,2024,millar_rowcount_jump_3_to_9
apaseo_el_grande,2014,millar_rowcount_jump_11_to_8
apaseo_el_grande,2015,millar_rowcount_jump_8_to_11
apaseo_el_grande,2017,millar_rowcount_jump_11_to_3
apaseo_el_grande,2018,millar_rowcount_jump_3_to_11
atarjea,2024,millar_rowcount_jump_12_to_9
atarjea,2025,millar_rowcount_jump_9_to_12
atarjea,2026,millar_rowcount_jump_12_to_3
comonfort,2017,millar_rowcount_jump_11_to_8
comonfort,2018,millar_rowcount_jump_8_to_11
cueramaro,2025,millar_rowcount_jump_12_to_9
cueramaro,2026,millar_rowcount_jump_9_to_12
dolores_hidalgo_cuna_de_la_independencia_nacional,2011,millar_rowcount_jump_11_to_3
dolores_hidalgo_cuna_de_la_independencia_nacional,2012,millar_rowcount_jump_3_to_11
huanimaro,2022,millar_rowcount_jump_9_to_12
huanimaro,2025,millar_rowcount_jump_12_to_3
huanimaro,2026,millar_rowcount_jump_3_to_12
jerecuaro,2023,millar_rowcount_jump_12_to_9
jerecuaro,2024,millar_rowcount_jump_9_to_12
jerecuaro,2025,millar_rowcount_jump_12_to_9
jerecuaro,2026,millar_rowcount_jump_9_to_12
moroleon,2019,millar_rowcount_jump_11_to_8
ocampo,2017,millar_rowcount_jump_9_to_3
ocampo,2018,millar_rowcount_jump_3_to_11
ocampo,2026,millar_rowcount_jump_12_to_8
romita,2012,millar_rowcount_jump_11_to_3
romita,2014,millar_rowcount_jump_3_to_11
san_diego_de_la_union,2011,millar_rowcount_jump_6_to_11
san_jose_iturbide,2018,millar_rowcount_jump_11_to_6
san_jose_iturbide,2019,millar_rowcount_jump_6_to_12
san_miguel_de_allende,2014,millar_rowcount_jump_12_to_9
san_miguel_de_allende,2019,millar_rowcount_jump_9_to_5
tarandacuao,2012,millar_rowcount_jump_9_to_6
tarandacuao,2014,millar_rowcount_jump_6_to_11
tarandacuao,2020,millar_rowcount_jump_11_to_3
tarandacuao,2022,millar_rowcount_jump_3_to_12
tarandacuao,2023,millar_rowcount_jump_12_to_3
tarandacuao,2024,millar_rowcount_jump_3_to_12
tarimoro,2024,millar_rowcount_jump_12_to_3
tarimoro,2025,millar_rowcount_jump_3_to_12
uriangato,2026,millar_rowcount_jump_8_to_12
victoria,2023,millar_rowcount_jump_12_to_9
victoria,2024,millar_rowcount_jump_9_to_12
villagran,2023,millar_rowcount_jump_9_to_12
xichu,2011,millar_rowcount_jump_8_to_11
xichu,2019,millar_rowcount_jump_11_to_8
xichu,2022,millar_rowcount_jump_9_to_3
xichu,2023,millar_rowcount_jump_3_to_11
yuriria,2024,millar_rowcount_jump_8_to_12
acambaro,2018,millar_rowcount_jump_11_to_8
acambaro,2026,millar_rowcount_jump_12_to_9
guanajuato,2018,millar_rowcount_jump_9_to_6
irapuato,2024,prog_rowcount_jump_24_to_58
jaral_del_progreso,2015,millar_rowcount_jump_9_to_12
jaral_del_progreso,2018,millar_rowcount_jump_12_to_3
jaral_del_progreso,2019,millar_rowcount_jump_3_to_12
pueblo_nuevo,2015,millar_rowcount_jump_11_to_8
pueblo_nuevo,2026,millar_rowcount_jump_12_to_9
purisima_del_rincon,2025,millar_rowcount_jump_12_to_9
purisima_del_rincon,2026,millar_rowcount_jump_9_to_3
salvatierra,2015,millar_rowcount_jump_11_to_3
salvatierra,2017,millar_rowcount_jump_3_to_9
salvatierra,2022,millar_rowcount_jump_9_to_12
