ejercicio,slug,cve_mun,source_pdf,focus_file,tipo_esquema,esquema_valido,fuente,segment_method,error_class,error_detail,issues,auditado,notas,paginas_pdf,pdf_override
2010,abasolo,001,2010_2278_Periodico_Numero_206_Primera_Parte_ocr.pdf,data\guanajuato\focus_predial\2010\GTO_PREDIAL_2010_abasolo.txt,tarifa_millar,True,txt,capitulo_predial,none,,,ok,,,
2011,abasolo,001,2010_2926_Periodico_Numero_199_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2010\GTO_PREDIAL_2011_abasolo.txt,tarifa_millar,True,txt,capitulo_predial,none,,,ok,,,
2012,abasolo,001,2011_3450_Periodico_Numero_204_Septima_Parte_ocr.pdf,data\guanajuato\focus_predial\2011\GTO_PREDIAL_2012_abasolo.txt,tarifa_millar,True,pdf_vision,capitulo_predial,none,,,ok,,,
2013,abasolo,001,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
2014,abasolo,001,2013_4923_Periodico_Numero_207_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2013\GTO_PREDIAL_2014_abasolo.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2015,abasolo,001,2014_5517_Periodico_Numero_206_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2014\GTO_PREDIAL_2015_abasolo.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2016,abasolo,001,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
2017,abasolo,001,2016_10815_Periodico_Numero_205_Tercera_Parte_ocr.pdf,data\guanajuato\focus_predial\2016\GTO_PREDIAL_2017_abasolo.txt,tarifa_millar,True,pdf_vision,seccion_predial,none,,,ok,,,
2018,abasolo,001,2017_11505_Periodico_Numero_224_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2017\GTO_PREDIAL_2018_abasolo.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2019,abasolo,001,2018_12474_Periodico_Numero_259_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2018\GTO_PREDIAL_2019_abasolo.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2020,abasolo,001,2019_13191_Periodico_Numero_259_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2019\GTO_PREDIAL_2020_abasolo.txt,progresivo,True,txt,seccion_predial,none,,,ok,,,
2021,abasolo,001,2020_13864_Periodico_Numero_261_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2020\GTO_PREDIAL_2021_abasolo.txt,progresivo,True,txt,seccion_predial,none,,,ok,,,
2022,abasolo,001,2021_14619_Periodico_Numero_260_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2021\GTO_PREDIAL_2022_abasolo.txt,progresivo,True,txt,seccion_predial,none,,,ok,,,
2023,abasolo,001,2022_15541_Periodico_Numero_260_Quinta_Parte_ocr.pdf,data\guanajuato\focus_predial\2022\GTO_PREDIAL_2023_abasolo.txt,progresivo,True,txt,seccion_predial,none,,,ok,,,
2024,abasolo,001,2023_16390_Periodico_Numero_261_Decima_Cuarta_Parte_ocr.pdf,data\guanajuato\focus_predial\2023\GTO_PREDIAL_2024_abasolo.txt,progresivo,True,txt,seccion_predial,none,,,ok,,,
2025,abasolo,001,2024_17194_Periódico_Número_261_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2024\GTO_PREDIAL_2025_abasolo.txt,progresivo,True,txt,seccion_predial,none,,,ok,,,
2010,acambaro,002,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
2011,acambaro,002,2010_2948_Periodico_Numero_207_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2010\GTO_PREDIAL_2011_acambaro.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2012,acambaro,002,2011_3456_Periodico_Numero_204_Decima_Tercera_Parte_ocr.pdf,data\guanajuato\focus_predial\2011\GTO_PREDIAL_2012_acambaro.txt,tarifa_millar,True,pdf_vision,seccion_predial,none,,,ok,,,
2013,acambaro,002,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
2014,acambaro,002,2013_4923_Periodico_Numero_207_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2013\GTO_PREDIAL_2014_acambaro.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2015,acambaro,002,2014_5517_Periodico_Numero_206_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2014\GTO_PREDIAL_2015_acambaro.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2016,acambaro,002,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
2017,acambaro,002,2016_10815_Periodico_Numero_205_Tercera_Parte_ocr.pdf,data\guanajuato\focus_predial\2016\GTO_PREDIAL_2017_acambaro.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2018,acambaro,002,2017_11505_Periodico_Numero_224_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2017\GTO_PREDIAL_2018_acambaro.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2019,acambaro,002,2018_12474_Periodico_Numero_259_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2018\GTO_PREDIAL_2019_acambaro.txt,,,,seccion_predial,schema,"Esquema , valido=False",json_parse_error,pendiente,,,
2020,acambaro,002,2019_13191_Periodico_Numero_259_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2019\GTO_PREDIAL_2020_acambaro.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2021,acambaro,002,2020_13864_Periodico_Numero_261_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2020\GTO_PREDIAL_2021_acambaro.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2022,acambaro,002,2021_14619_Periodico_Numero_260_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2021\GTO_PREDIAL_2022_acambaro.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2023,acambaro,002,2022_15506_Periodico_Numero_260_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2022\GTO_PREDIAL_2023_acambaro.txt,tarifa_millar,True,pdf_vision,seccion_predial,none,,,ok,,,
2024,acambaro,002,2023_16356_Periodico_Numero_261_Primera_Parte_ocr.pdf,data\guanajuato\focus_predial\2023\GTO_PREDIAL_2024_acambaro.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2025,acambaro,002,2024_17194_Periódico_Número_261_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2024\GTO_PREDIAL_2025_acambaro.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2010,apaseo_el_alto,004,2010_2278_Periodico_Numero_206_Primera_Parte_ocr.pdf,data\guanajuato\focus_predial\2010\GTO_PREDIAL_2010_apaseo_el_alto.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2011,apaseo_el_alto,004,2010_2948_Periodico_Numero_207_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2010\GTO_PREDIAL_2011_apaseo_el_alto.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2012,apaseo_el_alto,004,2011_3452_Periodico_Numero_204_Novena_Parte_ocr.pdf,data\guanajuato\focus_predial\2011\GTO_PREDIAL_2012_apaseo_el_alto.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2013,apaseo_el_alto,004,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
2014,apaseo_el_alto,004,2013_4923_Periodico_Numero_207_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2013\GTO_PREDIAL_2014_apaseo_el_alto.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2015,apaseo_el_alto,004,2014_5517_Periodico_Numero_206_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2014\GTO_PREDIAL_2015_apaseo_el_alto.txt,tarifa_millar,True,pdf_vision,seccion_predial,none,,,ok,,,
2016,apaseo_el_alto,004,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
2017,apaseo_el_alto,004,2016_10815_Periodico_Numero_205_Tercera_Parte_ocr.pdf,data\guanajuato\focus_predial\2016\GTO_PREDIAL_2017_apaseo_el_alto.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2018,apaseo_el_alto,004,2017_11505_Periodico_Numero_224_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2017\GTO_PREDIAL_2018_apaseo_el_alto.txt,tarifa_millar,True,pdf_vision,seccion_predial,none,,,ok,,,
2019,apaseo_el_alto,004,2018_12474_Periodico_Numero_259_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2018\GTO_PREDIAL_2019_apaseo_el_alto.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2020,apaseo_el_alto,004,2019_13191_Periodico_Numero_259_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2019\GTO_PREDIAL_2020_apaseo_el_alto.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2021,apaseo_el_alto,004,2020_13864_Periodico_Numero_261_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2020\GTO_PREDIAL_2021_apaseo_el_alto.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2022,apaseo_el_alto,004,2021_14619_Periodico_Numero_260_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2021\GTO_PREDIAL_2022_apaseo_el_alto.txt,tarifa_millar,True,pdf_vision,seccion_predial,none,,,ok,,,
2023,apaseo_el_alto,004,2022_15541_Periodico_Numero_260_Quinta_Parte_ocr.pdf,data\guanajuato\focus_predial\2022\GTO_PREDIAL_2023_apaseo_el_alto.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2024,apaseo_el_alto,004,2023_16390_Periodico_Numero_261_Decima_Cuarta_Parte_ocr.pdf,data\guanajuato\focus_predial\2023\GTO_PREDIAL_2024_apaseo_el_alto.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2025,apaseo_el_alto,004,2024_17195_Periódico_Número_261_Tercera_Parte_ocr.pdf,data\guanajuato\focus_predial\2024\GTO_PREDIAL_2025_apaseo_el_alto.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2010,apaseo_el_grande,005,2010_2279_Periodico_Numero_206_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2010\GTO_PREDIAL_2010_apaseo_el_grande.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2011,apaseo_el_grande,005,2010_2948_Periodico_Numero_207_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2010\GTO_PREDIAL_2011_apaseo_el_grande.txt,tarifa_millar,True,pdf_vision,seccion_predial,none,,,ok,,,
2012,apaseo_el_grande,005,2011_3451_Periodico_Numero_204_Octava_Parte_ocr.pdf,data\guanajuato\focus_predial\2011\GTO_PREDIAL_2012_apaseo_el_grande.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2013,apaseo_el_grande,005,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
2014,apaseo_el_grande,005,2013_4924_Periodico_Numero_207_Tercera_Parte_ocr.pdf,data\guanajuato\focus_predial\2013\GTO_PREDIAL_2014_apaseo_el_grande.txt,tarifa_millar,True,pdf_vision,seccion_predial,none,,,ok,,,
2015,apaseo_el_grande,005,2014_5518_Periodico_Numero_206_Tercera_Parte_ocr.pdf,data\guanajuato\focus_predial\2014\GTO_PREDIAL_2015_apaseo_el_grande.txt,tarifa_millar,True,pdf_vision,seccion_predial,none,,,ok,,,
2016,apaseo_el_grande,005,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
2017,apaseo_el_grande,005,2016_10815_Periodico_Numero_205_Tercera_Parte_ocr.pdf,data\guanajuato\focus_predial\2016\GTO_PREDIAL_2017_apaseo_el_grande.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2018,apaseo_el_grande,005,2017_11492_Periodico_Número_228_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2017\GTO_PREDIAL_2018_apaseo_el_grande.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2019,apaseo_el_grande,005,2018_12477_Periodico_Numero_259_Octava_Parte_ocr.pdf,data\guanajuato\focus_predial\2018\GTO_PREDIAL_2019_apaseo_el_grande.txt,,,,fallback_18pp,segment,Segmentacion fallback: fallback_18pp,json_parse_error,pendiente,,,
2020,apaseo_el_grande,005,2019_13220_Periodico_Numero_260_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2019\GTO_PREDIAL_2020_apaseo_el_grande.txt,tarifa_millar,True,pdf_vision,seccion_predial,none,,,ok,,,
2021,apaseo_el_grande,005,2020_13867_Periodico_Numero_261_Tercera_Parte_ocr.pdf,data\guanajuato\focus_predial\2020\GTO_PREDIAL_2021_apaseo_el_grande.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2022,apaseo_el_grande,005,2021_14620_Periodico_Numero_260_Tercera_Parte_ocr.pdf,data\guanajuato\focus_predial\2021\GTO_PREDIAL_2022_apaseo_el_grande.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2023,apaseo_el_grande,005,2022_15506_Periodico_Numero_260_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2022\GTO_PREDIAL_2023_apaseo_el_grande.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2024,apaseo_el_grande,005,2023_16392_Periodico_Numero_261_Decima_Quinta_Parte_ocr.pdf,data\guanajuato\focus_predial\2023\GTO_PREDIAL_2024_apaseo_el_grande.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2025,apaseo_el_grande,005,2024_17195_Periódico_Número_261_Tercera_Parte_ocr.pdf,data\guanajuato\focus_predial\2024\GTO_PREDIAL_2025_apaseo_el_grande.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2010,atarjea,006,2010_2279_Periodico_Numero_206_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2010\GTO_PREDIAL_2010_atarjea.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2011,atarjea,006,2010_2926_Periodico_Numero_199_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2010\GTO_PREDIAL_2011_atarjea.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2012,atarjea,006,2011_3444_Periodico_Numero_204_Segunda_Parte_ocr.pdf,data\guanajuato\focus_predial\2011\GTO_PREDIAL_2012_atarjea.txt,tarifa_millar,True,txt,seccion_predial,none,,,ok,,,
2013,atarjea,006,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
2014,atarjea,006,2013_4924_Periodico_Numero_207_Tercera_Parte_ocr.pdf,data\guanajuato\focus_predial\2013\GTO_PREDIAL_2014_atarjea.txt,tarifa_millar,True,pdf_vision,seccion_predial,none,,,ok,,,
2015,atarjea,006,2014_5518_Periodico_Numero_206_Tercera_Parte_ocr.pdf,data\guanajuato\focus_predial\2014\GTO_PREDIAL_2015_atarjea.txt,cuota_fija,True,txt,seccion_predial,none,,,ok,,,
2016,atarjea,006,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
