municipio,anio,anomalia,json_path
arandas,2011,cambio_brusco_n_filas_12_a_3,data\jalisco\json_predial\2011\JAL_PREDIAL_2011_arandas.json
cocula,2011,cambio_brusco_n_filas_12_a_4,data\jalisco\json_predial\2011\JAL_PREDIAL_2011_cocula.json
juanacatlan,2011,cambio_brusco_n_filas_12_a_4,data\jalisco\json_predial\2011\JAL_PREDIAL_2011_juanacatlan.json
tonala,2011,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2010,data\jalisco\json_predial\2011\JAL_PREDIAL_2011_tonala.json
tonala,2011,tasa_unica_row1_unidad_no_reconocida,data\jalisco\json_predial\2011\JAL_PREDIAL_2011_tonala.json
tonala,2011,tasa_unica_row2_unidad_no_reconocida,data\jalisco\json_predial\2011\JAL_PREDIAL_2011_tonala.json
tonala,2011,tasa_unica_row3_unidad_no_reconocida,data\jalisco\json_predial\2011\JAL_PREDIAL_2011_tonala.json
la_manzanilla_de_la_paz,2012,cambio_brusco_n_filas_12_a_5,data\jalisco\json_predial\2012\JAL_PREDIAL_2012_la_manzanilla_de_la_paz.json
techaluta_de_montenegro,2012,cambio_brusco_n_filas_4_a_12,data\jalisco\json_predial\2012\JAL_PREDIAL_2012_techaluta_de_montenegro.json
tonala,2012,cambio_esquema_tasa_unica_a_tarifa_millar_desde_2011,data\jalisco\json_predial\2012\JAL_PREDIAL_2012_tonala.json
atenguillo,2013,cambio_brusco_n_filas_12_a_3,data\jalisco\json_predial\2013\JAL_PREDIAL_2013_atenguillo.json
tonala,2013,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2012,data\jalisco\json_predial\2013\JAL_PREDIAL_2013_tonala.json
tonala,2013,tasa_unica_row1_unidad_no_reconocida,data\jalisco\json_predial\2013\JAL_PREDIAL_2013_tonala.json
tonala,2013,tasa_unica_row2_unidad_no_reconocida,data\jalisco\json_predial\2013\JAL_PREDIAL_2013_tonala.json
tonala,2013,tasa_unica_row3_unidad_no_reconocida,data\jalisco\json_predial\2013\JAL_PREDIAL_2013_tonala.json
tonala,2013,tipo_tasa_unica_con_otras_tablas_no_vacias,data\jalisco\json_predial\2013\JAL_PREDIAL_2013_tonala.json
chapala,2014,cambio_brusco_n_filas_12_a_3,data\jalisco\json_predial\2014\JAL_PREDIAL_2014_chapala.json
el_grullo,2014,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2013,data\jalisco\json_predial\2014\JAL_PREDIAL_2014_el_grullo.json
el_grullo,2014,tasa_unica_row1_unidad_no_reconocida,data\jalisco\json_predial\2014\JAL_PREDIAL_2014_el_grullo.json
el_grullo,2014,tasa_unica_row2_unidad_no_reconocida,data\jalisco\json_predial\2014\JAL_PREDIAL_2014_el_grullo.json
el_grullo,2014,tasa_unica_row3_unidad_no_reconocida,data\jalisco\json_predial\2014\JAL_PREDIAL_2014_el_grullo.json
el_grullo,2014,tasa_unica_row4_unidad_no_reconocida,data\jalisco\json_predial\2014\JAL_PREDIAL_2014_el_grullo.json
el_grullo,2014,tipo_tasa_unica_con_otras_tablas_no_vacias,data\jalisco\json_predial\2014\JAL_PREDIAL_2014_el_grullo.json
san_gabriel,2014,cambio_brusco_n_filas_12_a_3,data\jalisco\json_predial\2014\JAL_PREDIAL_2014_san_gabriel.json
tonala,2014,cambio_esquema_tasa_unica_a_tarifa_millar_desde_2013,data\jalisco\json_predial\2014\JAL_PREDIAL_2014_tonala.json
el_grullo,2015,cambio_esquema_tasa_unica_a_tarifa_millar_desde_2014,data\jalisco\json_predial\2015\JAL_PREDIAL_2015_el_grullo.json
lagos_de_moreno,2017,tipo_tarifa_millar_con_tabla_tasa_unica_no_vacia,data\jalisco\json_predial\2017\JAL_PREDIAL_2017_lagos_de_moreno.json
san_gabriel,2017,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2016,data\jalisco\json_predial\2017\JAL_PREDIAL_2017_san_gabriel.json
san_gabriel,2017,tasa_unica_row1_unidad_no_reconocida,data\jalisco\json_predial\2017\JAL_PREDIAL_2017_san_gabriel.json
san_gabriel,2017,tasa_unica_row2_unidad_no_reconocida,data\jalisco\json_predial\2017\JAL_PREDIAL_2017_san_gabriel.json
san_gabriel,2017,tasa_unica_row3_unidad_no_reconocida,data\jalisco\json_predial\2017\JAL_PREDIAL_2017_san_gabriel.json
tuxcueca,2017,cambio_brusco_n_filas_12_a_3,data\jalisco\json_predial\2017\JAL_PREDIAL_2017_tuxcueca.json
cabo_corrientes,2018,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2017,data\jalisco\json_predial\2018\JAL_PREDIAL_2018_cabo_corrientes.json
cabo_corrientes,2018,tasa_unica_row1_unidad_no_reconocida,data\jalisco\json_predial\2018\JAL_PREDIAL_2018_cabo_corrientes.json
cabo_corrientes,2018,tasa_unica_row2_unidad_no_reconocida,data\jalisco\json_predial\2018\JAL_PREDIAL_2018_cabo_corrientes.json
cabo_corrientes,2018,tasa_unica_row3_unidad_no_reconocida,data\jalisco\json_predial\2018\JAL_PREDIAL_2018_cabo_corrientes.json
jamay,2018,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2017,data\jalisco\json_predial\2018\JAL_PREDIAL_2018_jamay.json
lagos_de_moreno,2018,tipo_tarifa_millar_con_tabla_tasa_unica_no_vacia,data\jalisco\json_predial\2018\JAL_PREDIAL_2018_lagos_de_moreno.json
san_gabriel,2018,cambio_esquema_tasa_unica_a_tarifa_millar_desde_2017,data\jalisco\json_predial\2018\JAL_PREDIAL_2018_san_gabriel.json
tonala,2018,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2017,data\jalisco\json_predial\2018\JAL_PREDIAL_2018_tonala.json
ayutla,2019,cambio_brusco_n_filas_12_a_4,data\jalisco\json_predial\2019\JAL_PREDIAL_2019_ayutla.json
cabo_corrientes,2019,cambio_esquema_tasa_unica_a_tarifa_millar_desde_2018,data\jalisco\json_predial\2019\JAL_PREDIAL_2019_cabo_corrientes.json
guadalajara,2019,cambio_brusco_n_filas_3_a_10,data\jalisco\json_predial\2019\JAL_PREDIAL_2019_guadalajara.json
guadalajara,2019,cambio_esquema_tarifa_millar_a_progresivo_desde_2018,data\jalisco\json_predial\2019\JAL_PREDIAL_2019_guadalajara.json
guadalajara,2019,prog_row2_hueco_con_anterior,data\jalisco\json_predial\2019\JAL_PREDIAL_2019_guadalajara.json
guadalajara,2019,prog_row6_hueco_con_anterior,data\jalisco\json_predial\2019\JAL_PREDIAL_2019_guadalajara.json
guadalajara,2019,prog_row8_hueco_con_anterior,data\jalisco\json_predial\2019\JAL_PREDIAL_2019_guadalajara.json
jamay,2019,cambio_esquema_tasa_unica_a_tarifa_millar_desde_2018,data\jalisco\json_predial\2019\JAL_PREDIAL_2019_jamay.json
teocuitatlan_de_corona,2019,tasa_unica_row1_unidad_no_reconocida,data\jalisco\json_predial\2019\JAL_PREDIAL_2019_teocuitatlan_de_corona.json
teocuitatlan_de_corona,2019,tasa_unica_row2_unidad_no_reconocida,data\jalisco\json_predial\2019\JAL_PREDIAL_2019_teocuitatlan_de_corona.json
teocuitatlan_de_corona,2019,tasa_unica_row3_unidad_no_reconocida,data\jalisco\json_predial\2019\JAL_PREDIAL_2019_teocuitatlan_de_corona.json
teocuitatlan_de_corona,2019,tasa_unica_row4_unidad_no_reconocida,data\jalisco\json_predial\2019\JAL_PREDIAL_2019_teocuitatlan_de_corona.json
tonala,2019,cambio_esquema_tasa_unica_a_tarifa_millar_desde_2018,data\jalisco\json_predial\2019\JAL_PREDIAL_2019_tonala.json
ayutla,2020,cambio_brusco_n_filas_4_a_12,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_ayutla.json
el_salto,2020,cambio_esquema_tarifa_millar_a_progresivo_desde_2019,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_el_salto.json
puerto_vallarta,2020,cambio_esquema_tarifa_millar_a_mixto_desde_2019,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_puerto_vallarta.json
puerto_vallarta,2020,mixta_row10_columnas_vacias,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_puerto_vallarta.json
puerto_vallarta,2020,mixta_row1_columnas_vacias,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_puerto_vallarta.json
puerto_vallarta,2020,mixta_row2_columnas_vacias,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_puerto_vallarta.json
puerto_vallarta,2020,mixta_row3_columnas_vacias,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_puerto_vallarta.json
puerto_vallarta,2020,mixta_row4_columnas_vacias,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_puerto_vallarta.json
puerto_vallarta,2020,mixta_row5_columnas_vacias,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_puerto_vallarta.json
puerto_vallarta,2020,mixta_row6_columnas_vacias,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_puerto_vallarta.json
puerto_vallarta,2020,mixta_row7_columnas_vacias,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_puerto_vallarta.json
puerto_vallarta,2020,mixta_row8_columnas_vacias,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_puerto_vallarta.json
puerto_vallarta,2020,mixta_row9_columnas_vacias,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_puerto_vallarta.json
san_cristobal_de_la_barranca,2020,cambio_brusco_n_filas_5_a_12,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_san_cristobal_de_la_barranca.json
tecolotlan,2020,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2019,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_tecolotlan.json
teocuitatlan_de_corona,2020,tipo_tasa_unica_sin_filas,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_teocuitatlan_de_corona.json
tequila,2020,cambio_brusco_n_filas_3_a_10,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_tequila.json
tequila,2020,cambio_esquema_tarifa_millar_a_progresivo_desde_2019,data\jalisco\json_predial\2020\JAL_PREDIAL_2020_tequila.json
