municipio,n_years,years_present,n_missing,years_missing
acatic,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
acatlan_de_juarez,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
ahualulco_de_mercado,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
amacueca,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
amatitan,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
ameca,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
arandas,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
atemajac_de_brizuela,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
atengo,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
atenguillo,15,2010;2011;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2012
atotonilco_el_alto,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
atoyac,15,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2023;2024;2025,1,2022
autlan_de_navarro,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
ayotlan,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
ayutla,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
bolanos,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
cabo_corrientes,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
canadas_de_obregon,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
casimiro_castillo,15,2010;2011;2012;2013;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2014
chapala,15,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2023;2024;2025,1,2022
