municipio,anio,input_pdf,ocr_pdf,force_pdf,status_ocr_skip,status_ocr_force
Acatic,2010,data\jalisco\pdf_raw\acatic\2010\JAL_RAW_2010_acatic.pdf,data\jalisco\pdf_raw\acatic\2010\JAL_RAW_2010_acatic_ocr.pdf,data\jalisco\pdf_raw\acatic\2010\JAL_RAW_2010_acatic_forceocr.pdf,ok,not_needed
Acatic,2011,data\jalisco\pdf_raw\acatic\2011\JAL_RAW_2011_acatic.pdf,data\jalisco\pdf_raw\acatic\2011\JAL_RAW_2011_acatic_ocr.pdf,data\jalisco\pdf_raw\acatic\2011\JAL_RAW_2011_acatic_forceocr.pdf,ok,not_needed
Acatlán de Juárez,2010,data\jalisco\pdf_raw\acatlan_de_juarez\2010\JAL_RAW_2010_acatlan_de_juarez.pdf,data\jalisco\pdf_raw\acatlan_de_juarez\2010\JAL_RAW_2010_acatlan_de_juarez_ocr.pdf,data\jalisco\pdf_raw\acatlan_de_juarez\2010\JAL_RAW_2010_acatlan_de_juarez_forceocr.pdf,ok,not_needed
Acatlán de Juárez,2011,data\jalisco\pdf_raw\acatlan_de_juarez\2011\JAL_RAW_2011_acatlan_de_juarez.pdf,data\jalisco\pdf_raw\acatlan_de_juarez\2011\JAL_RAW_2011_acatlan_de_juarez_ocr.pdf,data\jalisco\pdf_raw\acatlan_de_juarez\2011\JAL_RAW_2011_acatlan_de_juarez_forceocr.pdf,ok,not_needed
Ahualulco de Mercado,2010,data\jalisco\pdf_raw\ahualulco_de_mercado\2010\JAL_RAW_2010_ahualulco_de_mercado.pdf,data\jalisco\pdf_raw\ahualulco_de_mercado\2010\JAL_RAW_2010_ahualulco_de_mercado_ocr.pdf,data\jalisco\pdf_raw\ahualulco_de_mercado\2010\JAL_RAW_2010_ahualulco_de_mercado_forceocr.pdf,ok,not_needed
Ahualulco de Mercado,2011,data\jalisco\pdf_raw\ahualulco_de_mercado\2011\JAL_RAW_2011_ahualulco_de_mercado.pdf,data\jalisco\pdf_raw\ahualulco_de_mercado\2011\JAL_RAW_2011_ahualulco_de_mercado_ocr.pdf,data\jalisco\pdf_raw\ahualulco_de_mercado\2011\JAL_RAW_2011_ahualulco_de_mercado_forceocr.pdf,ok,not_needed
Amacueca,2010,data\jalisco\pdf_raw\amacueca\2010\JAL_RAW_2010_amacueca.pdf,data\jalisco\pdf_raw\amacueca\2010\JAL_RAW_2010_amacueca_ocr.pdf,data\jalisco\pdf_raw\amacueca\2010\JAL_RAW_2010_amacueca_forceocr.pdf,ok,not_needed
Amacueca,2011,data\jalisco\pdf_raw\amacueca\2011\JAL_RAW_2011_amacueca.pdf,data\jalisco\pdf_raw\amacueca\2011\JAL_RAW_2011_amacueca_ocr.pdf,data\jalisco\pdf_raw\amacueca\2011\JAL_RAW_2011_amacueca_forceocr.pdf,ok,not_needed
Amatitán,2010,data\jalisco\pdf_raw\amatitan\2010\JAL_RAW_2010_amatitan.pdf,data\jalisco\pdf_raw\amatitan\2010\JAL_RAW_2010_amatitan_ocr.pdf,data\jalisco\pdf_raw\amatitan\2010\JAL_RAW_2010_amatitan_forceocr.pdf,ok,not_needed
Amatitán,2011,data\jalisco\pdf_raw\amatitan\2011\JAL_RAW_2011_amatitan.pdf,data\jalisco\pdf_raw\amatitan\2011\JAL_RAW_2011_amatitan_ocr.pdf,data\jalisco\pdf_raw\amatitan\2011\JAL_RAW_2011_amatitan_forceocr.pdf,ok,not_needed
Ameca,2010,data\jalisco\pdf_raw\ameca\2010\JAL_RAW_2010_ameca.pdf,data\jalisco\pdf_raw\ameca\2010\JAL_RAW_2010_ameca_ocr.pdf,data\jalisco\pdf_raw\ameca\2010\JAL_RAW_2010_ameca_forceocr.pdf,ok,not_needed
Ameca,2011,data\jalisco\pdf_raw\ameca\2011\JAL_RAW_2011_ameca.pdf,data\jalisco\pdf_raw\ameca\2011\JAL_RAW_2011_ameca_ocr.pdf,data\jalisco\pdf_raw\ameca\2011\JAL_RAW_2011_ameca_forceocr.pdf,ok,not_needed
Arandas,2010,data\jalisco\pdf_raw\arandas\2010\JAL_RAW_2010_arandas.pdf,data\jalisco\pdf_raw\arandas\2010\JAL_RAW_2010_arandas_ocr.pdf,data\jalisco\pdf_raw\arandas\2010\JAL_RAW_2010_arandas_forceocr.pdf,ok,not_needed
Arandas,2011,data\jalisco\pdf_raw\arandas\2011\JAL_RAW_2011_arandas.pdf,data\jalisco\pdf_raw\arandas\2011\JAL_RAW_2011_arandas_ocr.pdf,data\jalisco\pdf_raw\arandas\2011\JAL_RAW_2011_arandas_forceocr.pdf,ok,not_needed
Atemajac de Brizuela,2010,data\jalisco\pdf_raw\atemajac_de_brizuela\2010\JAL_RAW_2010_atemajac_de_brizuela.pdf,data\jalisco\pdf_raw\atemajac_de_brizuela\2010\JAL_RAW_2010_atemajac_de_brizuela_ocr.pdf,data\jalisco\pdf_raw\atemajac_de_brizuela\2010\JAL_RAW_2010_atemajac_de_brizuela_forceocr.pdf,ok,not_needed
Atemajac de Brizuela,2011,data\jalisco\pdf_raw\atemajac_de_brizuela\2011\JAL_RAW_2011_atemajac_de_brizuela.pdf,data\jalisco\pdf_raw\atemajac_de_brizuela\2011\JAL_RAW_2011_atemajac_de_brizuela_ocr.pdf,data\jalisco\pdf_raw\atemajac_de_brizuela\2011\JAL_RAW_2011_atemajac_de_brizuela_forceocr.pdf,ok,not_needed
Atengo,2010,data\jalisco\pdf_raw\atengo\2010\JAL_RAW_2010_atengo.pdf,data\jalisco\pdf_raw\atengo\2010\JAL_RAW_2010_atengo_ocr.pdf,data\jalisco\pdf_raw\atengo\2010\JAL_RAW_2010_atengo_forceocr.pdf,ok,not_needed
Atengo,2011,data\jalisco\pdf_raw\atengo\2011\JAL_RAW_2011_atengo.pdf,data\jalisco\pdf_raw\atengo\2011\JAL_RAW_2011_atengo_ocr.pdf,data\jalisco\pdf_raw\atengo\2011\JAL_RAW_2011_atengo_forceocr.pdf,ok,not_needed
Atenguillo,2010,data\jalisco\pdf_raw\atenguillo\2010\JAL_RAW_2010_atenguillo.pdf,data\jalisco\pdf_raw\atenguillo\2010\JAL_RAW_2010_atenguillo_ocr.pdf,data\jalisco\pdf_raw\atenguillo\2010\JAL_RAW_2010_atenguillo_forceocr.pdf,ok,not_needed
Atenguillo,2011,data\jalisco\pdf_raw\atenguillo\2011\JAL_RAW_2011_atenguillo.pdf,data\jalisco\pdf_raw\atenguillo\2011\JAL_RAW_2011_atenguillo_ocr.pdf,data\jalisco\pdf_raw\atenguillo\2011\JAL_RAW_2011_atenguillo_forceocr.pdf,ok,not_needed
Atotonilco el Alto,2010,data\jalisco\pdf_raw\atotonilco_el_alto\2010\JAL_RAW_2010_atotonilco_el_alto.pdf,data\jalisco\pdf_raw\atotonilco_el_alto\2010\JAL_RAW_2010_atotonilco_el_alto_ocr.pdf,data\jalisco\pdf_raw\atotonilco_el_alto\2010\JAL_RAW_2010_atotonilco_el_alto_forceocr.pdf,ok,not_needed
Atotonilco el Alto,2011,data\jalisco\pdf_raw\atotonilco_el_alto\2011\JAL_RAW_2011_atotonilco_el_alto.pdf,data\jalisco\pdf_raw\atotonilco_el_alto\2011\JAL_RAW_2011_atotonilco_el_alto_ocr.pdf,data\jalisco\pdf_raw\atotonilco_el_alto\2011\JAL_RAW_2011_atotonilco_el_alto_forceocr.pdf,ok,not_needed
Atoyac,2010,data\jalisco\pdf_raw\atoyac\2010\JAL_RAW_2010_atoyac.pdf,data\jalisco\pdf_raw\atoyac\2010\JAL_RAW_2010_atoyac_ocr.pdf,data\jalisco\pdf_raw\atoyac\2010\JAL_RAW_2010_atoyac_forceocr.pdf,ok,not_needed
Atoyac,2011,data\jalisco\pdf_raw\atoyac\2011\JAL_RAW_2011_atoyac.pdf,data\jalisco\pdf_raw\atoyac\2011\JAL_RAW_2011_atoyac_ocr.pdf,data\jalisco\pdf_raw\atoyac\2011\JAL_RAW_2011_atoyac_forceocr.pdf,ok,not_needed
Autlán de Navarro,2010,data\jalisco\pdf_raw\autlan_de_navarro\2010\JAL_RAW_2010_autlan_de_navarro.pdf,data\jalisco\pdf_raw\autlan_de_navarro\2010\JAL_RAW_2010_autlan_de_navarro_ocr.pdf,data\jalisco\pdf_raw\autlan_de_navarro\2010\JAL_RAW_2010_autlan_de_navarro_forceocr.pdf,ok,not_needed
Autlán de Navarro,2011,data\jalisco\pdf_raw\autlan_de_navarro\2011\JAL_RAW_2011_autlan_de_navarro.pdf,data\jalisco\pdf_raw\autlan_de_navarro\2011\JAL_RAW_2011_autlan_de_navarro_ocr.pdf,data\jalisco\pdf_raw\autlan_de_navarro\2011\JAL_RAW_2011_autlan_de_navarro_forceocr.pdf,ok,not_needed
Ayotlán,2010,data\jalisco\pdf_raw\ayotlan\2010\JAL_RAW_2010_ayotlan.pdf,data\jalisco\pdf_raw\ayotlan\2010\JAL_RAW_2010_ayotlan_ocr.pdf,data\jalisco\pdf_raw\ayotlan\2010\JAL_RAW_2010_ayotlan_forceocr.pdf,ok,not_needed
Ayotlán,2011,data\jalisco\pdf_raw\ayotlan\2011\JAL_RAW_2011_ayotlan.pdf,data\jalisco\pdf_raw\ayotlan\2011\JAL_RAW_2011_ayotlan_ocr.pdf,data\jalisco\pdf_raw\ayotlan\2011\JAL_RAW_2011_ayotlan_forceocr.pdf,ok,not_needed
Ayutla,2010,data\jalisco\pdf_raw\ayutla\2010\JAL_RAW_2010_ayutla.pdf,data\jalisco\pdf_raw\ayutla\2010\JAL_RAW_2010_ayutla_ocr.pdf,data\jalisco\pdf_raw\ayutla\2010\JAL_RAW_2010_ayutla_forceocr.pdf,ok,not_needed
