municipio,anio,pdf_used,n_pages,page_start_predial,page_end_predial,page_start_next_tax,next_tax_label,forced_end
Acatic,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_acatic_ocr.pdf,60,7,10,11,transmisiones_patrimoniales,False
Acatic,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_acatic_ocr.pdf,64,10,12,13,transmisiones_patrimoniales,False
Acatlán de Juárez,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_acatlan_de_juarez_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Acatlán de Juárez,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_acatlan_de_juarez_ocr.pdf,80,13,17,,,True
Ahualulco de Mercado,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_ahualulco_de_mercado_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Ahualulco de Mercado,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_ahualulco_de_mercado_ocr.pdf,64,8,9,10,transmisiones_patrimoniales,False
Amacueca,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_amacueca_ocr.pdf,60,7,10,11,transmisiones_patrimoniales,False
Amacueca,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_amacueca_ocr.pdf,60,8,9,10,transmisiones_patrimoniales,False
Amatitán,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_amatitan_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Amatitán,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_amatitan_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Ameca,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_ameca_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Ameca,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_ameca_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Arandas,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_arandas_ocr.pdf,60,8,11,12,transmisiones_patrimoniales,False
Arandas,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_arandas_ocr.pdf,60,8,9,10,transmisiones_patrimoniales,False
Atemajac de Brizuela,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_atemajac_de_brizuela_ocr.pdf,60,10,10,11,transmisiones_patrimoniales,False
Atemajac de Brizuela,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_atemajac_de_brizuela_ocr.pdf,60,10,11,12,transmisiones_patrimoniales,False
Atengo,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_atengo_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Atengo,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_atengo_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Atenguillo,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_atenguillo_ocr.pdf,60,8,11,12,transmisiones_patrimoniales,False
Atenguillo,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_atenguillo_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Atotonilco el Alto,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_atotonilco_el_alto_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Atotonilco el Alto,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_atotonilco_el_alto_ocr.pdf,60,7,10,11,transmisiones_patrimoniales,False
Atoyac,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_atoyac_ocr.pdf,60,8,11,12,transmisiones_patrimoniales,False
Atoyac,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_atoyac_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Autlán de Navarro,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_autlan_de_navarro_ocr.pdf,68,8,10,11,transmisiones_patrimoniales,False
Autlán de Navarro,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_autlan_de_navarro_ocr.pdf,68,8,10,11,transmisiones_patrimoniales,False
Ayotlán,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_ayotlan_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Ayotlán,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_ayotlan_ocr.pdf,60,10,10,11,transmisiones_patrimoniales,False
Ayutla,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_ayutla_ocr.pdf,60,8,11,12,transmisiones_patrimoniales,False
Ayutla,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_ayutla_ocr.pdf,60,7,11,12,transmisiones_patrimoniales,False
Bolaños,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_bolanos_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Bolaños,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_bolanos_ocr.pdf,60,9,11,12,transmisiones_patrimoniales,False
Cabo Corrientes,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_cabo_corrientes_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Cabo Corrientes,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_cabo_corrientes_ocr.pdf,60,10,11,12,transmisiones_patrimoniales,False
Casimiro Castillo,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_casimiro_castillo_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Casimiro Castillo,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_casimiro_castillo_ocr.pdf,64,10,11,12,transmisiones_patrimoniales,False
Cañadas de Obregón,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_canadas_de_obregon_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
Cañadas de Obregón,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_canadas_de_obregon_ocr.pdf,60,8,10,11,transmisiones_patrimoniales,False
