municipio,anio,pdf_used,n_pages,predial_page_start,predial_page_end,page_start_next_tax,next_tax_label,char_start,char_end,confidence,forced_end,expansion_applied,anchor_text_start,anchor_text_end
Acatic,2010,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_acatic_ocr.pdf,60,7,10,11,transmisiones_patrimoniales,-1,-1,1.0,False,False,a) Impuesto predial: Beneficio del impuesto predial del inmueble en que se encuentren asentadas,Del impuesto sobre transmisiones patrimoniales
Acatic,2011,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_acatic_ocr.pdf,64,10,12,13,transmisiones_patrimoniales,-1,-1,1.0,False,False,Del impuesto predial,Del impuesto sobre transmisiones patrimoniales
Acatic,2012,data\jalisco\pdf_ocr\2012\JAL_RAW_2012_acatic_ocr.pdf,72,13,17,,,-1,-1,0.3,True,True,"En los casos que el contribuyente del impuesto predial, acredite el derecho a más de un",
Acatic,2013,data\jalisco\pdf_ocr\2013\JAL_RAW_2013_acatic_ocr.pdf,64,13,17,,,-1,-1,0.3,True,True,"En los casos que el contribuyente del impuesto predial, acredite el derecho a más de un",
Acatic,2014,data\jalisco\pdf_ocr\2014\JAL_RAW_2014_acatic_ocr.pdf,72,10,12,13,transmisiones_patrimoniales,-1,-1,1.0,False,False,Del impuesto predial,Del impuesto sobre transmisiones patrimoniales
Acatic,2015,data\jalisco\pdf_ocr\2015\JAL_RAW_2015_acatic_ocr.pdf,68,13,17,,,-1,-1,0.3,True,True,"En los casos que el contribuyente del impuesto predial, acredite el derecho a más de un",
Acatic,2016,data\jalisco\pdf_ocr\2016\JAL_RAW_2016_acatic_ocr.pdf,72,10,12,13,transmisiones_patrimoniales,-1,-1,1.0,False,False,Del impuesto predial,Del impuesto sobre transmisiones patrimoniales
Acatic,2017,data\jalisco\pdf_ocr\2017\JAL_RAW_2017_acatic_ocr.pdf,72,13,17,,,-1,-1,0.3,True,True,"En los casos que el contribuyente del impuesto predial, acredite el derecho a más de un",
Acatic,2018,data\jalisco\pdf_ocr\2018\JAL_RAW_2018_acatic_ocr.pdf,72,10,12,13,transmisiones_patrimoniales,-1,-1,1.0,False,False,Del impuesto predial,Del impuesto sobre transmisiones patrimoniales
Acatic,2019,data\jalisco\pdf_ocr\2019\JAL_RAW_2019_acatic_ocr.pdf,80,15,17,18,transmisiones_patrimoniales,-1,-1,1.0,False,False,Del impuesto predial,Del impuesto sobre transmisiones patrimoniales
Acatic,2020,data\jalisco\pdf_ocr\2020\JAL_RAW_2020_acatic_ocr.pdf,92,,,,,-1,-1,0.0,False,False,,
