ejercicio,municipio,slug,cve_mun,in_segment,segment_method,txt_chars,status
2010,Acatic,acatic,001,true,page_based,,ok
2011,Acatic,acatic,001,true,page_based,,ok
2012,Acatic,acatic,001,true,forced_end,,ok
2013,Acatic,acatic,001,true,forced_end,,ok
2014,Acatic,acatic,001,true,page_based,,ok
2015,Acatic,acatic,001,true,forced_end,,ok
2016,Acatic,acatic,001,true,page_based,,ok
2017,Acatic,acatic,001,true,forced_end,,ok
2018,Acatic,acatic,001,true,page_based,,ok
2019,Acatic,acatic,001,true,page_based,,ok
2020,Acatic,acatic,001,true,page_based,,not_found
2021,Acatic,acatic,001,true,page_based,,ok
2022,Acatic,acatic,001,true,page_based,,ok
2023,Acatic,acatic,001,true,page_based,,ok
2024,Acatic,acatic,001,true,page_based,,ok
2025,Acatic,acatic,001,true,page_based,,not_found
2010,Acatlan de Juarez,acatlan_de_juarez,002,true,page_based,,ok
2011,Acatlan de Juarez,acatlan_de_juarez,002,true,forced_end,,ok
2012,Acatlan de Juarez,acatlan_de_juarez,002,true,forced_end,,ok
2013,Acatlan de Juarez,acatlan_de_juarez,002,true,page_based,,ok
2014,Acatlan de Juarez,acatlan_de_juarez,002,true,forced_end,,ok
2015,Acatlan de Juarez,acatlan_de_juarez,002,true,forced_end,,ok
2016,Acatlan de Juarez,acatlan_de_juarez,002,true,page_based,,ok
2017,Acatlan de Juarez,acatlan_de_juarez,002,true,page_based,,ok
2018,Acatlan de Juarez,acatlan_de_juarez,002,true,page_based,,ok
2019,Acatlan de Juarez,acatlan_de_juarez,002,true,page_based,,ok
2020,Acatlan de Juarez,acatlan_de_juarez,002,true,page_based,,ok
2021,Acatlan de Juarez,acatlan_de_juarez,002,true,page_based,,ok
2022,Acatlan de Juarez,acatlan_de_juarez,002,true,page_based,,ok
2023,Acatlan de Juarez,acatlan_de_juarez,002,true,page_based,,ok
2024,Acatlan de Juarez,acatlan_de_juarez,002,true,page_based,,ok
2025,Acatlan de Juarez,acatlan_de_juarez,002,true,page_based,,ok
2010,Ahualulco de Mercado,ahualulco_de_mercado,003,true,page_based,,ok
2011,Ahualulco de Mercado,ahualulco_de_mercado,003,true,page_based,,ok
2012,Ahualulco de Mercado,ahualulco_de_mercado,003,true,page_based,,ok
2013,Ahualulco de Mercado,ahualulco_de_mercado,003,true,page_based,,ok
2014,Ahualulco de Mercado,ahualulco_de_mercado,003,true,page_based,,ok
2015,Ahualulco de Mercado,ahualulco_de_mercado,003,true,page_based,,ok
2016,Ahualulco de Mercado,ahualulco_de_mercado,003,true,page_based,,ok
2017,Ahualulco de Mercado,ahualulco_de_mercado,003,true,page_based,,ok
2018,Ahualulco de Mercado,ahualulco_de_mercado,003,true,page_based,,ok
2019,Ahualulco de Mercado,ahualulco_de_mercado,003,true,page_based,,ok
2020,Ahualulco de Mercado,ahualulco_de_mercado,003,true,page_based,,ok
2021,Ahualulco de Mercado,ahualulco_de_mercado,003,true,page_based,,ok
