municipio,anio,flag
ahualulco_de_mercado,2019,millar_rowcount_jump_4_to_1
ahualulco_de_mercado,2020,millar_rowcount_jump_1_to_4
arandas,2011,millar_rowcount_jump_12_to_3
atenguillo,2013,millar_rowcount_jump_12_to_3
ayutla,2019,millar_rowcount_jump_12_to_4
ayutla,2020,millar_rowcount_jump_4_to_12
cabo_corrientes,2011,millar_rowcount_jump_6_to_3
chapala,2014,millar_rowcount_jump_12_to_3
cocula,2011,millar_rowcount_jump_12_to_4
el_limon,2012,millar_rowcount_jump_12_to_9
huejuquilla_el_alto,2016,millar_rowcount_jump_12_to_9
huejuquilla_el_alto,2017,millar_rowcount_jump_9_to_12
juanacatlan,2011,millar_rowcount_jump_12_to_4
la_manzanilla_de_la_paz,2012,millar_rowcount_jump_12_to_5
san_cristobal_de_la_barranca,2020,millar_rowcount_jump_5_to_12
san_gabriel,2014,millar_rowcount_jump_12_to_3
techaluta_de_montenegro,2012,millar_rowcount_jump_4_to_12
tizapan_el_alto,2012,millar_rowcount_jump_10_to_5
tizapan_el_alto,2013,millar_rowcount_jump_5_to_9
tizapan_el_alto,2024,millar_rowcount_jump_10_to_4
tizapan_el_alto,2025,millar_rowcount_jump_4_to_10
tuxcueca,2017,millar_rowcount_jump_12_to_3
zapotiltic,2022,millar_rowcount_jump_5_to_2
zapotiltic,2023,millar_rowcount_jump_2_to_5
zapotiltic,2024,millar_rowcount_jump_5_to_2
zapotiltic,2025,millar_rowcount_jump_2_to_5
zapotlan_el_grande,2015,millar_rowcount_jump_6_to_3
zapotlan_el_grande,2016,millar_rowcount_jump_3_to_7
