ejercicio,slug,cve_mun,source_pdf,focus_file,tipo_esquema,esquema_valido,fuente,segment_method,error_class,error_detail,issues,auditado,notas,paginas_pdf,pdf_override
2010,acatic,001,data\jalisco\pdf_ocr\2010\JAL_RAW_2010_acatic_ocr.pdf,data\jalisco\focus_predial\2010\JAL_PREDIAL_2010_acatic.txt,tarifa_millar,True,txt,page_based,none,,,ok,,,
2011,acatic,001,data\jalisco\pdf_ocr\2011\JAL_RAW_2011_acatic_ocr.pdf,data\jalisco\focus_predial\2011\JAL_PREDIAL_2011_acatic.txt,tarifa_millar,True,txt,page_based,none,,,ok,,,
2012,acatic,001,data\jalisco\pdf_ocr\2012\JAL_RAW_2012_acatic_ocr.pdf,data\jalisco\focus_predial\2012\JAL_PREDIAL_2012_acatic.txt,tarifa_millar,True,txt,forced_end,none,,,ok,,,
2013,acatic,001,data\jalisco\pdf_ocr\2013\JAL_RAW_2013_acatic_ocr.pdf,data\jalisco\focus_predial\2013\JAL_PREDIAL_2013_acatic.txt,tarifa_millar,True,txt,forced_end,none,,,ok,,,
2014,acatic,001,data\jalisco\pdf_ocr\2014\JAL_RAW_2014_acatic_ocr.pdf,data\jalisco\focus_predial\2014\JAL_PREDIAL_2014_acatic.txt,tarifa_millar,True,txt,page_based,none,,,ok,,,
2015,acatic,001,data\jalisco\pdf_ocr\2015\JAL_RAW_2015_acatic_ocr.pdf,data\jalisco\focus_predial\2015\JAL_PREDIAL_2015_acatic.txt,tarifa_millar,True,txt,forced_end,none,,,ok,,,
2016,acatic,001,data\jalisco\pdf_ocr\2016\JAL_RAW_2016_acatic_ocr.pdf,data\jalisco\focus_predial\2016\JAL_PREDIAL_2016_acatic.txt,tarifa_millar,True,txt,page_based,none,,,ok,,,
2017,acatic,001,data\jalisco\pdf_ocr\2017\JAL_RAW_2017_acatic_ocr.pdf,data\jalisco\focus_predial\2017\JAL_PREDIAL_2017_acatic.txt,tarifa_millar,True,txt,forced_end,none,,,ok,,,
2018,acatic,001,data\jalisco\pdf_ocr\2018\JAL_RAW_2018_acatic_ocr.pdf,data\jalisco\focus_predial\2018\JAL_PREDIAL_2018_acatic.txt,tarifa_millar,True,txt,page_based,none,,,ok,,,
2019,acatic,001,data\jalisco\pdf_ocr\2019\JAL_RAW_2019_acatic_ocr.pdf,data\jalisco\focus_predial\2019\JAL_PREDIAL_2019_acatic.txt,tarifa_millar,True,txt,page_based,none,,,ok,,,
2020,acatic,001,data\jalisco\pdf_ocr\2020\JAL_RAW_2020_acatic_ocr.pdf,,tarifa_millar,True,pdf_vision,page_based,none,,,ok,,,
