year_query,ejercicio_fiscal,municipio,distrito,fecha_publicacion,href_pdf,sumario,tipo_publicacion,tipo_documento
2014,2015,OAXACA DE JUÃREZ,CENTRO,31/Dic/2014,files/2014/12/EXT-DEC672-2014-12-31.pdf,"DECRETO NÃM. 672.- MEDIANTE EL CUAL SE APRUEBA LA LEY DE INGRESOS DEL MUNICIPIO DE OAXACA DE JUÃREZ, CENTRO, OAXACA, PARA EL EJERCICIO FISCAL 2015.",Extraordinario,Decretos
2014,2015,,,27/Dic/2014,files/2014/12/SEC52-05TA-2014-12-27.pdf,"DECRETO NÃM. 670.- Mediante el cual la SexagÃ©sima Segunda Legislatura Constitucional del Estado Libre y Soberano de Oaxaca, expide la Ley de Ingresos del Estado de Oaxaca para el Ejercicio Fiscal 2015.",Secciones,Decretos
2014,2015,,,27/Dic/2014,files/2014/12/SEC52-05TA-2014-12-27.pdf,"DECRETO NÃM. 671.- Mediante el cual la SexagÃ©sima Segunda Legislatura Constitucional del Estado Libre y Soberano de Oaxaca, aprueba la Ley General de Ingresos Municipales del Estado de Oaxaca para el Ejercicio Fiscal 2015.",Secciones,Decretos
2014,2014,,,20/Dic/2014,files/2014/12/SEC51-06TA-2014-12-20.pdf,"Decreto nÃºm 652.- mediante el cual se reforman los artÃ­culos 1,2 y 3 de la Ley de Ingresos del Honorable Ayuntamiento de Santo Domingo Yodohino, Huajuapan, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,,,20/Oct/2014,files/2014/10/EXT-DECRETO625-2014-10-20.pdf,"Decreto nÃºm 625.- mediante el cual se reforman y adicionan diversas disposiciones de la Ley de Ingresos del Ejercicio fiscal 2014 del Municipio de Santa Lucia del Camino, Centro, Oaxaca.",Extraordinario,Decretos
2014,2014,San Miguel Achiutla,Tlaxiaco,30/Ago/2014,files/2014/08/SEC35-08VA-2014-08-30.pdf,"Decreto nÃºm 601.- mediante el cual se reforman y adicionan diversas disposiciones a la Ley de Ingresos del Municipio de San Miguel Achiutla, Tlaxiaco, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,Santa MarÃ­a Guienagati,Tehuantepec,30/Ago/2014,files/2014/08/SEC35-08VA-2014-08-30.pdf,"Decreto nÃºm 602.- mediante el cual se reforman y adicionan diversas disposiciones a la Ley de Ingresos del Municipio de Santa MarÃ­a Guienagati, Tehuantepec, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,San Marcial Ozolotepec,MiahuatlÃ¡n de Porfirio DÃ­az,30/Ago/2014,files/2014/08/SEC35-08VA-2014-08-30.pdf,"Decreto nÃºm 603.- mediante el cual se reforman y adicionan diversas disposiciones a la Ley de Ingresos del Municipio de San Marcial Ozolotepec, MiahuatlÃ¡n de Porfirio DÃ­az, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,San Lorenzo Albarradas,Tlacolula,12/Jul/2014,files/2014/07/SEC28-03RA-2014-07-12.pdf,"Decreto nÃºm 491.- mediante el cual se aprueba la Ley de Ingresos del Municipio de San Lorenzo Albarradas, Tlacolula, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,Santiago Yaveo,ChoapÃ¡m,12/Jul/2014,files/2014/07/SEC28-03RA-2014-07-12.pdf,"Decreto nÃºm 495.- mediante el cual se aprueba la Ley de Ingresos del Municipio de Santiago Yaveo, ChoapÃ¡m, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,San JosÃ© del Progreso,OcotlÃ¡n,12/Jul/2014,files/2014/07/SEC28-04TA-2014-07-12.pdf,"Decreto nÃºm 517.- mediante el cual se aprueba la Ley de Ingresos del Municipio de San JosÃ© del Progreso, OcotlÃ¡n,Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,Santo Domingo Ingenio,JuchitÃ¡n,12/Jul/2014,files/2014/07/SEC28-04TA-2014-07-12.pdf,"Decreto nÃºm 559.- mediante el cual se aprueba la Ley de Ingresos del Municipio de Santo Domingo Ingenio, JuchitÃ¡n, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,Magdalena PeÃ±asco,Tlaxiaco,12/Jul/2014,files/2014/07/SEC28-04TA-2014-07-12.pdf,"Decreto nÃºm 567.- mediante el cual se aprueba la Ley de Ingresos del Municipio de Magdalena PeÃ±asco, Tlaxiaco, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,San Antonio Sinicahua,Tlaxiaco,12/Jul/2014,files/2014/07/SEC28-04TA-2014-07-12.pdf,"Decreto nÃºm 568.- mediante el cual se aprueba la Ley de Ingresos del Municipio de San Antonio Sinicahua, Tlaxiaco, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,San AndrÃ©s Zautla,Etla,12/Jul/2014,files/2014/07/SEC28-05TA-2014-07-12.pdf,"Decreto nÃºm 570.- mediante el cual se aprueba la Ley de Ingresos del Municipio de San AndrÃ©s Zautla, Etla, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,la Heroica Ciudad de Tlaxiaco,,12/Jul/2014,files/2014/07/SEC28-05TA-2014-07-12.pdf,"Decreto nÃºm 573.- mediante el cual se aprueba la Ley de Ingresos del Municipio de la Heroica Ciudad de Tlaxiaco, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,,,12/Jul/2014,files/2014/07/SEC28-06TA-2014-07-12.pdf,"Decreto nÃºm 574.- mediante el cual se aprueba la Ley de Ingresos reformada del Municipio de Yutanduchi de Guerrero, NochixtlÃ¡n, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,San Miguel Piedras,NochixtlÃ¡n,12/Jul/2014,files/2014/07/SEC28-06TA-2014-07-12.pdf,"Decreto nÃºm 575.- mediante el cual se aprueba el anteproyecto de modificaciÃ³n a la Ley de Ingresos del Municipio de San Miguel Piedras, NochixtlÃ¡n, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,Huautepec,TeotitlÃ¡n,28/Jun/2014,files/2014/06/SEC26-03RA-2014-06-28.pdf,"Decreto nÃºm 490.- mediante el cual se aprueba la Ley de Ingresos del Municipio de Huautepec, TeotitlÃ¡n, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,Pluma Hidalgo,Pochutla,21/Jun/2014,files/2014/06/SEC25-03RA-2014-06-21.pdf,"Decreto nÃºm 525.- mediante el cual se aprueba la Ley de Ingresos del Municipio de Pluma Hidalgo, Pochutla, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,Magdalena Tlacotepec,Tehuantepec,21/Jun/2014,files/2014/06/SEC25-03RA-2014-06-21.pdf,"Decreto nÃºm 526.- mediante el cual se aprueba la Ley de Ingresos del Municipio de Magdalena Tlacotepec, Tehuantepec, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,San AndrÃ©s YaÃ¡,Villa Alta,21/Jun/2014,files/2014/06/SEC25-03RA-2014-06-21.pdf,"Decreto nÃºm 528.- mediante el cual se aprueba la Ley de Ingresos del Municipio de San AndrÃ©s YaÃ¡, Villa Alta, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,San Idelfonso Villa Alta,Villa Alta,21/Jun/2014,files/2014/06/SEC25-03RA-2014-06-21.pdf,"Decreto nÃºm 529.- mediante el cual se aprueba la Ley de Ingresos del Municipio de San Idelfonso Villa Alta, Villa Alta, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,San Pablo Yaganiza,Villa Alta,21/Jun/2014,files/2014/06/SEC25-03RA-2014-06-21.pdf,"Decreto nÃºm 530.- mediante el cual se aprueba la Ley de Ingresos del Municipio de San Pablo Yaganiza, Villa Alta, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,Tepelmeme Villa de Morelos,Coixtlahuaca,21/Jun/2014,files/2014/06/SEC25-04TA-2014-06-21.pdf,"Decreto nÃºm 541.- mediante el cual se aprueba la Ley de Ingresos del Municipio de Tepelmeme Villa de Morelos, Coixtlahuaca, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,San Pedro Huamelula,Tehuantepec,21/Jun/2014,files/2014/06/SEC25-04TA-2014-06-21.pdf,"Decreto nÃºm 542.- mediante el cual se aprueba la Ley de Ingresos del Municipio de San Pedro Huamelula, Tehuantepec, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,UniÃ³n Hidalgo JuchitÃ¡n,,21/Jun/2014,files/2014/06/SEC25-04TA-2014-06-21.pdf,"Decreto nÃºm 558.- mediante el cual se aprueba la Ley de Ingresos del Municipio de UniÃ³n Hidalgo JuchitÃ¡n, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,Santiago Minas,Sola de Vega,21/Jun/2014,files/2014/06/SEC25-04TA-2014-06-21.pdf,"Decreto nÃºm 560.- mediante el cual se aprueba la Ley de Ingresos del Municipio de Santiago Minas, Sola de Vega, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,San Juan Bautista Guelache Etla Oaxaca,,21/Jun/2014,files/2014/06/SEC25-05TA-2014-06-21.pdf,"Decreto nÃºm 561.- mediante el cual se aprueba la Ley de Ingresos del Municipio de San Juan Bautista Guelache Etla Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,San Juan CotzocÃ³n,Mixe,21/Jun/2014,files/2014/06/SEC25-05TA-2014-06-21.pdf,"Decreto nÃºm 562.- mediante el cual se aprueba la Ley de Ingresos del Municipio de San Juan CotzocÃ³n, Mixe, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,Santo Domingo IxcatlÃ¡n,Tlaxiaco,21/Jun/2014,files/2014/06/SEC25-05TA-2014-06-21.pdf,"Decreto nÃºm 563.- mediante el cual se aprueba la Ley de Ingresos del Municipio de Santo Domingo IxcatlÃ¡n, Tlaxiaco, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,San AgustÃ­n Loxicha,Pochutla,21/Jun/2014,files/2014/06/SEC25-05TA-2014-06-21.pdf,"Decreto nÃºm 564.- mediante el cual se aprueba la Ley de Ingresos del Municipio de San AgustÃ­n Loxicha, Pochutla, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
2014,2014,San Mateo PiÃ±as,Pochutla,21/Jun/2014,files/2014/06/SEC25-05TA-2014-06-21.pdf,"Decreto nÃºm 565.- mediante el cual se aprueba la Ley de Ingresos del Municipio de San Mateo PiÃ±as, Pochutla, Oaxaca, para el ejercicio fiscal 2014.",Secciones,Decretos
