municipio_slug,municipio_nombre,anio,tipo_esquema,esquema_valido,n_tarifa_rows,n_prog_rows,n_tasa_unica_rows,n_cuota_fija_rows,n_mixta_rows,anomalias,json_path
34_bartolome_ayautla,34 Bartolome Ayautla,2013,tasa_unica,True,0,0,1,0,0,,data\oaxaca\json_predial\2013\OAX_PREDIAL_2013_34_bartolome_ayautla.json
34n_yicente_nunu,34n Yicente Nunu,2017,tasa_unica,True,0,0,1,0,0,,data\oaxaca\json_predial\2017\OAX_PREDIAL_2017_34n_yicente_nunu.json
4h_peor_martir,4h Peor Martir,2016,desconocido,False,0,0,0,0,0,,data\oaxaca\json_predial\2016\OAX_PREDIAL_2016_4h_peor_martir.json
520_antonio_de_la_cal,520 Antonio De La Cal,2012,desconocido,False,0,0,0,0,0,,data\oaxaca\json_predial\2012\OAX_PREDIAL_2012_520_antonio_de_la_cal.json
545_pedro_comitancillo,545 Pedro Comitancillo,2016,tasa_unica,True,0,0,1,0,0,,data\oaxaca\json_predial\2016\OAX_PREDIAL_2016_545_pedro_comitancillo.json
54_antomicosinicahda,54 Antomicosinicahda,2016,desconocido,False,0,0,0,0,0,,data\oaxaca\json_predial\2016\OAX_PREDIAL_2016_54_antomicosinicahda.json
54_de_vega,54 De Vega,2016,desconocido,False,0,0,0,0,0,,data\oaxaca\json_predial\2016\OAX_PREDIAL_2016_54_de_vega.json
54h_a4gustin_tlacotepec,54h A4gustin Tlacotepec,2016,tasa_unica,True,0,0,1,0,0,,data\oaxaca\json_predial\2016\OAX_PREDIAL_2016_54h_a4gustin_tlacotepec.json
54n_jose_independencia,54n Jose Independencia,2015,tasa_unica,True,0,0,1,0,0,,data\oaxaca\json_predial\2015\OAX_PREDIAL_2015_54n_jose_independencia.json
54n_pedro_teutila,54n Pedro Teutila,2013,tasa_unica,True,0,0,1,0,0,,data\oaxaca\json_predial\2013\OAX_PREDIAL_2013_54n_pedro_teutila.json
54n_pedro_yucunama,54n Pedro Yucunama,2014,tasa_unica,True,0,0,1,0,0,,data\oaxaca\json_predial\2014\OAX_PREDIAL_2014_54n_pedro_yucunama.json
