ejercicio,input_pdf,ocr_pdf,status
2010,data\oaxaca\pdf_raw\2010\02\SEC06-03RA-2010-02-06.pdf,data\oaxaca\pdf_ocr\2010\02\SEC06-03RA-2010-02-06_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC10-05TA-2010-03-06.pdf,data\oaxaca\pdf_ocr\2010\03\SEC10-05TA-2010-03-06_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC10-06TA-2010-03-06.pdf,data\oaxaca\pdf_ocr\2010\03\SEC10-06TA-2010-03-06_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC10-07MA-2010-03-06.pdf,data\oaxaca\pdf_ocr\2010\03\SEC10-07MA-2010-03-06_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC10-08VA-2010-03-06.pdf,data\oaxaca\pdf_ocr\2010\03\SEC10-08VA-2010-03-06_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC10-09NA-2010-03-06.pdf,data\oaxaca\pdf_ocr\2010\03\SEC10-09NA-2010-03-06_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC10-10MA-2010-03-06.pdf,data\oaxaca\pdf_ocr\2010\03\SEC10-10MA-2010-03-06_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC10-11VA-2010-03-06.pdf,data\oaxaca\pdf_ocr\2010\03\SEC10-11VA-2010-03-06_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC11-05TA-2010-03-13.pdf,data\oaxaca\pdf_ocr\2010\03\SEC11-05TA-2010-03-13_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC11-06TA-2010-03-13.pdf,data\oaxaca\pdf_ocr\2010\03\SEC11-06TA-2010-03-13_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC11-07MA-2010-03-13.pdf,data\oaxaca\pdf_ocr\2010\03\SEC11-07MA-2010-03-13_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC11-08VA-2010-03-13.pdf,data\oaxaca\pdf_ocr\2010\03\SEC11-08VA-2010-03-13_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC13-02DA-2010-03-27.pdf,data\oaxaca\pdf_ocr\2010\03\SEC13-02DA-2010-03-27_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC13-06TA-2010-03-27.pdf,data\oaxaca\pdf_ocr\2010\03\SEC13-06TA-2010-03-27_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC13-07MA-2010-03-27.pdf,data\oaxaca\pdf_ocr\2010\03\SEC13-07MA-2010-03-27_ocr.pdf,already_exists
2010,data\oaxaca\pdf_raw\2010\03\SEC13-08VA-2010-03-27.pdf,data\oaxaca\pdf_ocr\2010\03\SEC13-08VA-2010-03-27_ocr.pdf,already_exists
