cvegeo,estado_slug,municipio_slug,municipio_raw,anio,status,source_pdf,ley_page_start,ley_page_end,predial_found,predial_method,predial_page_start,predial_page_end,char_start,char_end,confidence,forced_end,expansion_applied,anchor_text_start,anchor_text_end,next_tax_label,txt_file,txt_chars
20397,oaxaca,heroica_ciudad_de_tlaxiaco,LA HEROICA CIUDAD DE TLAXIACO,2010,ok,SEC06-03RA-2010-02-06_ocr.pdf,2,54,True,,,,-1,-1,0.0,False,False,,,,OAX_PREDIAL_2010_heroica_ciudad_de_tlaxiaco.txt,2779
20386,oaxaca,santa_cruz_zenzontepec,SANTA CRUZ ZENZONTEPEC,2010,ok,SEC10-05TA-2010-03-06_ocr.pdf,2,4,True,,,,-1,-1,0.0,False,False,,,,OAX_PREDIAL_2010_santa_cruz_zenzontepec.txt,11153
20363,oaxaca,santa_catarina_ixtepeji,SANTA CATARINA IXTEPEJI,2010,ok,SEC10-05TA-2010-03-06_ocr.pdf,5,5,True,,,,-1,-1,0.0,False,False,,,,OAX_PREDIAL_2010_santa_catarina_ixtepeji.txt,3313
20480,oaxaca,santiago_nundiche,SANTIAGO NUNDICHE,2010,ok,SEC10-05TA-2010-03-06_ocr.pdf,6,9,True,,,,-1,-1,0.0,False,False,,,,OAX_PREDIAL_2010_santiago_nundiche.txt,12760
20563,oaxaca,yogana,YOGANA,2010,ok,SEC10-05TA-2010-03-06_ocr.pdf,10,26,True,,,,-1,-1,0.0,False,False,,,,OAX_PREDIAL_2010_yogana.txt,2075
20132,oaxaca,san_dionisio_ocotlan,SAN DIONISIO OCOTLAN,2010,ok,SEC10-05TA-2010-03-06_ocr.pdf,27,27,True,,,,-1,-1,0.0,False,False,,,,OAX_PREDIAL_2010_san_dionisio_ocotlan.txt,4182
20093,oaxaca,san_andres_lagunas,SAN ANDRES LAGUNAS,2010,ok,SEC10-05TA-2010-03-06_ocr.pdf,28,32,True,,,,-1,-1,0.0,False,False,,,,OAX_PREDIAL_2010_san_andres_lagunas.txt,12742
20491,oaxaca,santiago_textitlan,SANTIAGO TEXTITLAN,2010,ok,SEC10-06TA-2010-03-06_ocr.pdf,2,4,True,,,,-1,-1,0.0,False,False,,,,OAX_PREDIAL_2010_santiago_textitlan.txt,29910
20026,oaxaca,chalcatongo_de_hidalgo,CHALCATONGO DE HIDALGO,2010,ok,SEC10-06TA-2010-03-06_ocr.pdf,5,10,True,,,,-1,-1,0.0,False,False,,,,OAX_PREDIAL_2010_chalcatongo_de_hidalgo.txt,3824
20317,oaxaca,san_pedro_martir_yucuxaco,SAN PEDRO MARTIR YUCUXACO,2010,ok,SEC10-06TA-2010-03-06_ocr.pdf,11,20,True,,,,-1,-1,0.0,False,False,,,,OAX_PREDIAL_2010_san_pedro_martir_yucuxaco.txt,3433
20120,oaxaca,san_bartolome_zoogocho,SAN BARTOLOME ZOOGOCHO,2010,ok,SEC10-06TA-2010-03-06_ocr.pdf,21,21,True,,,,-1,-1,0.0,False,False,,,,OAX_PREDIAL_2010_san_bartolome_zoogocho.txt,4172
20345,oaxaca,san_sebastian_ixcapa,SAN SEBASTIAN IXCAPA,2010,ok,SEC10-06TA-2010-03-06_ocr.pdf,22,30,True,,,,-1,-1,0.0,False,False,,,,OAX_PREDIAL_2010_san_sebastian_ixcapa.txt,31601
20489,oaxaca,santiago_tetepec,SANTIAGO TETEPEC,2010,ok,SEC10-07MA-2010-03-06_ocr.pdf,2,19,True,,,,-1,-1,0.0,False,False,,,,OAX_PREDIAL_2010_santiago_tetepec.txt,1230
20207,oaxaca,san_juan_mazatlan,SAN JUAN MAZATLAN,2010,ok,SEC10-07MA-2010-03-06_ocr.pdf,20,20,True,,,,-1,-1,0.0,False,False,,,,OAX_PREDIAL_2010_san_juan_mazatlan.txt,3973
