ejercicio,municipio,slug,cve_mun,in_segment,segment_method,txt_chars,status
2010,Abejones,abejones,001,true,impuesto_predial,7471,ok
2011,Abejones,abejones,001,false,,,not_segmented
2012,Abejones,abejones,001,false,,,not_segmented
2013,Abejones,abejones,001,false,,,not_segmented
2014,Abejones,abejones,001,true,capitulo_patrimonio,7305,ok
2015,Abejones,abejones,001,false,,,not_segmented
2016,Abejones,abejones,001,false,,,not_segmented
2017,Abejones,abejones,001,true,fallback_ley_completa,23246,fallback
2018,Abejones,abejones,001,true,seccion_predial,10379,ok
2019,Abejones,abejones,001,true,impuesto_predial,6126,ok
2020,Abejones,abejones,001,true,fallback_ley_completa,11344,fallback
2021,Abejones,abejones,001,true,seccion_predial,2868,ok
2022,Abejones,abejones,001,true,seccion_predial,2290,ok
2023,Abejones,abejones,001,true,fallback_ley_completa,12944,fallback
2024,Abejones,abejones,001,true,fallback_ley_completa,16695,fallback
2025,Abejones,abejones,001,true,fallback_ley_completa,12968,fallback
2010,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,fallback_ley_completa,3825,fallback
2011,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,impuesto_predial,1738,ok
2012,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,impuesto_predial,12233,ok
2013,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,capitulo_patrimonio,5035,ok
2014,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,impuesto_predial,36234,ok
2015,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,capitulo_patrimonio,7133,ok
2016,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,false,,,not_segmented
2017,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,impuesto_predial,6609,ok
2018,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,impuesto_predial,12234,ok
2019,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,impuesto_predial,16245,ok
2020,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,seccion_predial,5701,ok
2021,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,seccion_predial,12234,ok
2022,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,seccion_predial,12232,ok
2023,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,seccion_predial,2296,ok
2024,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,impuesto_predial,5594,ok
2025,Acatlan de Perez Figueroa,acatlan_de_perez_figueroa,002,true,seccion_predial,7172,ok
2010,animas Trujano,animas_trujano,174,true,impuesto_predial,12222,ok
2011,animas Trujano,animas_trujano,174,true,impuesto_predial,12219,ok
2012,animas Trujano,animas_trujano,174,false,,,not_segmented
2013,animas Trujano,animas_trujano,174,true,fallback_ley_completa,7009,fallback
2014,animas Trujano,animas_trujano,174,true,capitulo_patrimonio,4224,ok
2015,animas Trujano,animas_trujano,174,true,capitulo_patrimonio,4697,ok
2016,animas Trujano,animas_trujano,174,true,impuesto_predial,3665,ok
2017,animas Trujano,animas_trujano,174,false,,,not_segmented
2018,animas Trujano,animas_trujano,174,true,impuesto_predial,12218,ok
2019,animas Trujano,animas_trujano,174,true,fallback_ley_completa,14501,fallback
2020,animas Trujano,animas_trujano,174,true,fallback_ley_completa,16939,fallback
2021,animas Trujano,animas_trujano,174,true,seccion_predial,12221,ok
2022,animas Trujano,animas_trujano,174,true,fallback_ley_completa,15972,fallback
2023,animas Trujano,animas_trujano,174,true,impuesto_predial,2744,ok
2024,animas Trujano,animas_trujano,174,true,impuesto_predial,8289,ok
2025,animas Trujano,animas_trujano,174,false,,,not_segmented
2010,Asuncion Cacalotepec,asuncion_cacalotepec,003,true,fallback_ley_completa,12044,fallback
2011,Asuncion Cacalotepec,asuncion_cacalotepec,003,false,,,not_segmented
2012,Asuncion Cacalotepec,asuncion_cacalotepec,003,false,,,not_segmented
2013,Asuncion Cacalotepec,asuncion_cacalotepec,003,false,,,not_segmented
2014,Asuncion Cacalotepec,asuncion_cacalotepec,003,false,,,not_segmented
2015,Asuncion Cacalotepec,asuncion_cacalotepec,003,true,capitulo_patrimonio,6491,ok
2016,Asuncion Cacalotepec,asuncion_cacalotepec,003,false,,,not_segmented
2017,Asuncion Cacalotepec,asuncion_cacalotepec,003,true,impuesto_predial,7503,ok
2018,Asuncion Cacalotepec,asuncion_cacalotepec,003,false,,,not_segmented
2019,Asuncion Cacalotepec,asuncion_cacalotepec,003,false,,,not_segmented
2020,Asuncion Cacalotepec,asuncion_cacalotepec,003,true,seccion_predial,3106,ok
2021,Asuncion Cacalotepec,asuncion_cacalotepec,003,false,,,not_segmented
