ejercicio,slug,cve_mun,source_pdf,focus_file,tipo_esquema,esquema_valido,fuente,segment_method,error_class,error_detail,issues,auditado,notas,paginas_pdf,pdf_override
2010,abejones,001,SEC14-08VA-2010-04-03_ocr.pdf,data\oaxaca\focus_predial\2010\OAX_PREDIAL_2010_abejones.txt,tasa_unica,True,txt,impuesto_predial,none,,,ok,,,
2011,abejones,001,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
2012,abejones,001,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
2013,abejones,001,,,tasa_unica,True,pdf_vision,,none,,,ok,,,
2014,abejones,001,SEC05-09NA-2014-02-01_ocr.pdf,data\oaxaca\focus_predial\2014\OAX_PREDIAL_2014_abejones.txt,tasa_unica,True,txt,capitulo_patrimonio,none,,,ok,,,
2015,abejones,001,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
2016,abejones,001,,,,,,,missing,No hay TXT/JSON — no se segmentó o extrajo,,pendiente,,,
2017,abejones,001,SEC21-07MA-2017-05-27_ocr.pdf,data\oaxaca\focus_predial\2017\OAX_PREDIAL_2017_abejones.txt,tasa_unica,True,txt_extendido,fallback_ley_completa,segment,Segmentacion fallback: fallback_ley_completa,segment_fallback:fallback_ley_completa,pendiente,,,
2018,abejones,001,SEC10-10MA-2018-03-10_ocr.pdf,data\oaxaca\focus_predial\2018\OAX_PREDIAL_2018_abejones.txt,tasa_unica,True,txt,seccion_predial,none,,,ok,,,
2019,abejones,001,SEC08-06TA-2019-02-23_ocr.pdf,data\oaxaca\focus_predial\2019\OAX_PREDIAL_2019_abejones.txt,desconocido,False,txt,impuesto_predial,schema,"Esquema desconocido, valido=False",esquema_invalido; tipo_desconocido,pendiente,,,
2020,abejones,001,SEC34-26TA-2020-08-22_ocr.pdf,data\oaxaca\focus_predial\2020\OAX_PREDIAL_2020_abejones.txt,tasa_unica,True,txt_extendido,fallback_ley_completa,segment,Segmentacion fallback: fallback_ley_completa,segment_fallback:fallback_ley_completa,pendiente,,,
2021,abejones,001,SEC09-08VA-2021-02-27_ocr.pdf,data\oaxaca\focus_predial\2021\OAX_PREDIAL_2021_abejones.txt,,,,seccion_predial,schema,"Esquema , valido=False",,pendiente,,,
