municipio,anio,anomalia,json_path
corregidora,2014,cambio_brusco_n_filas_5_a_25,data\queretaro\json_predial\2014\QRO_PREDIAL_2014_corregidora.json
corregidora,2014,cambio_esquema_tarifa_millar_a_progresivo_desde_2013,data\queretaro\json_predial\2014\QRO_PREDIAL_2014_corregidora.json
queretaro,2016,cambio_brusco_n_filas_6_a_25,data\queretaro\json_predial\2016\QRO_PREDIAL_2016_queretaro.json
queretaro,2016,cambio_esquema_tarifa_millar_a_progresivo_desde_2015,data\queretaro\json_predial\2016\QRO_PREDIAL_2016_queretaro.json
colon,2017,cambio_brusco_n_filas_7_a_26,data\queretaro\json_predial\2017\QRO_PREDIAL_2017_colon.json
colon,2017,cambio_esquema_tarifa_millar_a_progresivo_desde_2016,data\queretaro\json_predial\2017\QRO_PREDIAL_2017_colon.json
colon,2017,tipo_progresivo_con_tabla_tarifa_no_vacia,data\queretaro\json_predial\2017\QRO_PREDIAL_2017_colon.json
el_marques,2017,cambio_brusco_n_filas_7_a_25,data\queretaro\json_predial\2017\QRO_PREDIAL_2017_el_marques.json
el_marques,2017,cambio_esquema_tarifa_millar_a_progresivo_desde_2014,data\queretaro\json_predial\2017\QRO_PREDIAL_2017_el_marques.json
huimilpan,2017,cambio_brusco_n_filas_6_a_25,data\queretaro\json_predial\2017\QRO_PREDIAL_2017_huimilpan.json
huimilpan,2017,cambio_esquema_tarifa_millar_a_progresivo_desde_2016,data\queretaro\json_predial\2017\QRO_PREDIAL_2017_huimilpan.json
jalpan_de_serra,2017,cambio_brusco_n_filas_6_a_25,data\queretaro\json_predial\2017\QRO_PREDIAL_2017_jalpan_de_serra.json
jalpan_de_serra,2017,cambio_esquema_tarifa_millar_a_progresivo_desde_2016,data\queretaro\json_predial\2017\QRO_PREDIAL_2017_jalpan_de_serra.json
pedro_escobedo,2017,cambio_brusco_n_filas_6_a_25,data\queretaro\json_predial\2017\QRO_PREDIAL_2017_pedro_escobedo.json
pedro_escobedo,2017,cambio_esquema_tarifa_millar_a_progresivo_desde_2016,data\queretaro\json_predial\2017\QRO_PREDIAL_2017_pedro_escobedo.json
san_juan_del_rio,2017,cambio_brusco_n_filas_6_a_25,data\queretaro\json_predial\2017\QRO_PREDIAL_2017_san_juan_del_rio.json
san_juan_del_rio,2017,cambio_esquema_tarifa_millar_a_progresivo_desde_2016,data\queretaro\json_predial\2017\QRO_PREDIAL_2017_san_juan_del_rio.json
huimilpan,2022,prog_row14_solape_con_anterior,data\queretaro\json_predial\2022\QRO_PREDIAL_2022_huimilpan.json
colon,2023,tipo_progresivo_con_tabla_tarifa_no_vacia,data\queretaro\json_predial\2023\QRO_PREDIAL_2023_colon.json
tequisquiapan,2026,cambio_brusco_n_filas_6_a_25,data\queretaro\json_predial\2026\QRO_PREDIAL_2026_tequisquiapan.json
tequisquiapan,2026,cambio_esquema_tarifa_millar_a_progresivo_desde_2025,data\queretaro\json_predial\2026\QRO_PREDIAL_2026_tequisquiapan.json
