municipio,n_years,years_present,n_missing,years_missing
amealco_de_bonfil,17,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,0,
arroyo_seco,17,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,0,
cadereyta,1,2015,16,2010;2011;2012;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
cadereyta_de_montes,16,2010;2011;2012;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,1,2015
cadereyta_de_montes__dup1,1,2017,16,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025;2026
cadereyta_de_montes__dup24,1,2016,16,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
colon,16,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,1,2016
corregidora,17,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,0,
el_marques,14,2010;2011;2012;2013;2014;2017;2018;2019;2021;2022;2023;2024;2025;2026,3,2015;2016;2020
ezequiel_montes,17,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,0,
huimilpan,17,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,0,
jalpan_de_serra,17,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,0,
landa_de_matamoros,17,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,0,
pedro_escobedo,16,2010;2011;2012;2013;2014;2015;2016;2017;2019;2020;2021;2022;2023;2024;2025;2026,1,2018
pedro_escobedo_queretaro,1,2018,16,2010;2011;2012;2013;2014;2015;2016;2017;2019;2020;2021;2022;2023;2024;2025;2026
penamiller,17,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,0,
pinal_de_amoles,17,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,0,
queretaro,17,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,0,
san_joaquin,17,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,0,
san_juan_del_rio,15,2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2,2010;2016
san_juan_del_rio_queretaro,1,2016,16,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
tequisquiapan,17,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,0,
toliman,17,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,0,
