anio_indice,ejemplar,fecha_str,municipio_texto,ejercicio
2012,78,19 de diciembre de 2012,Amealco de Bonfil,2013
2012,78,19 de diciembre de 2012,Arroyo Seco,2013
2012,78,19 de diciembre de 2012,Cadereyta de Montes,2013
2012,78,19 de diciembre de 2012,Colón,2013
2012,78,19 de diciembre de 2012,Corregidora,2013
2012,78,19 de diciembre de 2012,El Marqués,2013
2012,78,19 de diciembre de 2012,Ezequiel Montes,2013
2012,78,19 de diciembre de 2012,Huimilpan,2013
2012,78,19 de diciembre de 2012,Jalpan de Serra,2013
2012,78,19 de diciembre de 2012,Landa de Matamoros,2013
2012,78,19 de diciembre de 2012,Pedro Escobedo,2013
2012,78,19 de diciembre de 2012,Peñamiller,2013
2012,78,19 de diciembre de 2012,Pinal de Amoles,2013
2012,78,19 de diciembre de 2012,Querétaro,2013
2012,78,19 de diciembre de 2012,San Joaquín,2013
2012,78,19 de diciembre de 2012,San Juan del Río,2013
2012,78,19 de diciembre de 2012,Tequisquiapan,2013
2012,78,19 de diciembre de 2012,Tolimán,2013
2013,66,27 de diciembre de 2013,Amealco de Bonfil,2014
2013,66,27 de diciembre de 2013,Arroyo Seco,2014
2013,66,27 de diciembre de 2013,Cadereyta de Montes,2014
2013,66,27 de diciembre de 2013,Colón,2014
2013,66,27 de diciembre de 2013,Corregidora,2014
2013,66,27 de diciembre de 2013,El Marqués,2014
2013,66,27 de diciembre de 2013,Ezequiel Montes,2014
2013,66,27 de diciembre de 2013,Huimilpan,2014
2013,66,27 de diciembre de 2013,Jalpan de Serra,2014
2013,66,27 de diciembre de 2013,Landa de Matamoros,2014
2013,66,27 de diciembre de 2013,Pedro Escobedo,2014
2013,66,27 de diciembre de 2013,Peñamiller,2014
2013,66,27 de diciembre de 2013,Pinal de Amoles,2014
2013,66,27 de diciembre de 2013,Querétaro,2014
2013,66,27 de diciembre de 2013,San Joaquín,2014
2013,66,27 de diciembre de 2013,San Juan del Río,2014
2013,66,27 de diciembre de 2013,Tequisquiapan,2014
2013,66,27 de diciembre de 2013,Tolimán,2014
2014,22,11 de abril de 2014,San Juan del Río,2014
2014,78,24 de diciembre de 2014,Amealco de Bonfil,2015
2014,78,24 de diciembre de 2014,Arroyo Seco,2015
2014,78,24 de diciembre de 2014,Cadereyta de Montes,2015
2014,78,24 de diciembre de 2014,Colón,2015
2014,78,24 de diciembre de 2014,Corregidora,2015
2014,78,24 de diciembre de 2014,El Marqués,2015
2014,78,24 de diciembre de 2014,Ezequiel Montes,2015
2014,78,24 de diciembre de 2014,Huimilpan,2015
2014,78,24 de diciembre de 2014,Jalpan de Serra,2015
2014,78,24 de diciembre de 2014,Landa de Matamoros,2015
2014,78,24 de diciembre de 2014,Pedro Escobedo,2015
2014,78,24 de diciembre de 2014,Peñamiller,2015
2014,78,24 de diciembre de 2014,Pinal de Amoles,2015
2014,78,24 de diciembre de 2014,Querétaro,2015
2014,78,24 de diciembre de 2014,San Joaquín,2015
2014,78,24 de diciembre de 2014,San Juan del Río,2015
2014,78,24 de diciembre de 2014,Tequisquiapan,2015
2014,78,24 de diciembre de 2014,Tolimán,2015
2015,8,13 de febrero de 2015,Cadereyta de Montes,2015
2015,98,24 de diciembre de 2015,Amealco de Bonfil,2016
