municipio,municipio_slug,ejercicio,doc_id,ley_lines,predial_lines,predial_chars,status,predial_articulo,parts
Amealco de Bonfil,amealco_de_bonfil,2010,2009/QRO_RAW_20091295,227-2712,468-490,793,ok,11,QRO_RAW_20091295-01.pdf;QRO_RAW_20091295-02.pdf;QRO_RAW_20091295-03.pdf;QRO_RAW_20091295-04.pdf
Amealco de Bonfil,amealco_de_bonfil,2010,2009/QRO_RAW_20091295,2713-2816,,0,no_predial_found,,
Arroyo Seco,arroyo_seco,2010,2009/QRO_RAW_20091295,2817-4731,3057-4580,40852,ok,11,QRO_RAW_20091295-01.pdf;QRO_RAW_20091295-02.pdf;QRO_RAW_20091295-03.pdf;QRO_RAW_20091295-04.pdf
Arroyo Seco,arroyo_seco,2010,2009/QRO_RAW_20091295,4732-4839,,0,no_predial_found,,
Cadereyta de Montes,cadereyta_de_montes,2010,2009/QRO_RAW_20091295,4840-7647,5086-5108,792,ok,11,QRO_RAW_20091295-01.pdf;QRO_RAW_20091295-02.pdf;QRO_RAW_20091295-03.pdf;QRO_RAW_20091295-04.pdf
Cadereyta de Montes,cadereyta_de_montes,2010,2009/QRO_RAW_20091295,7648-7756,,0,no_predial_found,,
Colon,colon,2010,2009/QRO_RAW_20091295,7757-10732,7987-10732,72441,ok,11,QRO_RAW_20091295-01.pdf;QRO_RAW_20091295-02.pdf;QRO_RAW_20091295-03.pdf;QRO_RAW_20091295-04.pdf
Colon,colon,2010,2009/QRO_RAW_20091295,10733-10839,,0,no_predial_found,,
Corregidora,corregidora,2010,2009/QRO_RAW_20091295,10840-16061,11083-11105,783,ok,11,QRO_RAW_20091295-01.pdf;QRO_RAW_20091295-02.pdf;QRO_RAW_20091295-03.pdf;QRO_RAW_20091295-04.pdf
Corregidora,corregidora,2010,2009/QRO_RAW_20091295,16062-16174,,0,no_predial_found,,
El Marqués,el_marques,2010,2009/QRO_RAW_20091295,16175-21215,16417-16443,842,ok,11,QRO_RAW_20091295-01.pdf;QRO_RAW_20091295-02.pdf;QRO_RAW_20091295-03.pdf;QRO_RAW_20091295-04.pdf
El Marqués,el_marques,2010,2009/QRO_RAW_20091295,21216-21317,,0,no_predial_found,,
Ezequiel Montes,ezequiel_montes,2010,2009/QRO_RAW_20091295,21318-23998,21566-21588,799,ok,11,QRO_RAW_20091295-01.pdf;QRO_RAW_20091295-02.pdf;QRO_RAW_20091295-03.pdf;QRO_RAW_20091295-04.pdf
Ezequiel Montes,ezequiel_montes,2010,2009/QRO_RAW_20091295,23999-24108,,0,no_predial_found,,
Huimilpan,huimilpan,2010,2009/QRO_RAW_20091295,24109-27872,24355-24377,782,ok,11,QRO_RAW_20091295-01.pdf;QRO_RAW_20091295-02.pdf;QRO_RAW_20091295-03.pdf;QRO_RAW_20091295-04.pdf
Huimilpan,huimilpan,2010,2009/QRO_RAW_20091295,27873-27976,,0,no_predial_found,,
Jalpan de Serra,jalpan_de_serra,2010,2009/QRO_RAW_20091295,27977-30774,28210-28235,865,ok,11,QRO_RAW_20091295-01.pdf;QRO_RAW_20091295-02.pdf;QRO_RAW_20091295-03.pdf;QRO_RAW_20091295-04.pdf
Jalpan de Serra,jalpan_de_serra,2010,2009/QRO_RAW_20091295,30775-30882,,0,no_predial_found,,
Landa de Matamoros,landa_de_matamoros,2010,2009/QRO_RAW_20091295,30883-33844,31181-31202,782,ok,11,QRO_RAW_20091295-01.pdf;QRO_RAW_20091295-02.pdf;QRO_RAW_20091295-03.pdf;QRO_RAW_20091295-04.pdf
