YYYY,MM,ejemplar,parte,url,status,file,hardcoded
2012,12,78,01,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20121278-01.pdf,ok,QRO_RAW_20121278-01.pdf,
2012,12,78,02,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20121278-02.pdf,ok,QRO_RAW_20121278-02.pdf,
2012,12,78,03,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20121278-03.pdf,http_error,,
2012,12,78,04,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20121278-04.pdf,http_error,,
2012,12,78,05,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20121278-05.pdf,http_error,,
2012,12,78,06,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20121278-06.pdf,http_error,,
2013,12,66,01,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20131266-01.pdf,ok,QRO_RAW_20131266-01.pdf,
2013,12,66,02,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20131266-02.pdf,ok,QRO_RAW_20131266-02.pdf,
2013,12,66,03,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20131266-03.pdf,http_error,,
2013,12,66,04,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20131266-04.pdf,http_error,,
2013,12,66,05,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20131266-05.pdf,http_error,,
2013,12,66,06,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20131266-06.pdf,http_error,,
2014,04,22,01,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20140422-01.pdf,ok,QRO_RAW_20140422-01.pdf,
2014,04,22,02,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20140422-02.pdf,http_error,,
2014,04,22,03,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20140422-03.pdf,http_error,,
2014,04,22,04,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20140422-04.pdf,http_error,,
2014,04,22,05,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20140422-05.pdf,http_error,,
2014,04,22,06,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20140422-06.pdf,http_error,,
2014,12,78,01,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20141278-01.pdf,ok,QRO_RAW_20141278-01.pdf,
2014,12,78,02,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20141278-02.pdf,ok,QRO_RAW_20141278-02.pdf,
2014,12,78,03,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20141278-03.pdf,ok,QRO_RAW_20141278-03.pdf,
2014,12,78,04,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20141278-04.pdf,http_error,,
2014,12,78,05,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20141278-05.pdf,http_error,,
2014,12,78,06,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20141278-06.pdf,http_error,,
2015,02,8,01,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=2015028-01.pdf,http_error,,
2015,02,8,02,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=2015028-02.pdf,http_error,,
2015,02,8,03,https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=2015028-03.pdf,http_error,,
