cvegeo,estado_slug,municipio_slug,municipio_raw,anio,status,source_pdf,ley_page_start,ley_page_end,predial_found,predial_method,predial_page_start,predial_page_end,char_start,char_end,confidence,forced_end,expansion_applied,anchor_text_start,anchor_text_end,next_tax_label,txt_file,txt_chars
22001,queretaro,amealco_de_bonfil,Amealco de Bonfil,2010,ok,2009/QRO_RAW_20091295,,,True,articulo_predial,,,-1,-1,0.0,False,False,,,,QRO_PREDIAL_2010_amealco_de_bonfil.txt,793
22003,queretaro,arroyo_seco,Arroyo Seco,2010,ok,2009/QRO_RAW_20091295,,,True,articulo_predial,,,-1,-1,0.0,False,False,,,,QRO_PREDIAL_2010_arroyo_seco.txt,40852
22004,queretaro,cadereyta_de_montes,Cadereyta de Montes,2010,ok,2009/QRO_RAW_20091295,,,True,articulo_predial,,,-1,-1,0.0,False,False,,,,QRO_PREDIAL_2010_cadereyta_de_montes.txt,792
22005,queretaro,colon,Colon,2010,ok,2009/QRO_RAW_20091295,,,True,articulo_predial,,,-1,-1,0.0,False,False,,,,QRO_PREDIAL_2010_colon.txt,72441
22006,queretaro,corregidora,Corregidora,2010,ok,2009/QRO_RAW_20091295,,,True,articulo_predial,,,-1,-1,0.0,False,False,,,,QRO_PREDIAL_2010_corregidora.txt,783
22011,queretaro,el_marques,El Marqués,2010,ok,2009/QRO_RAW_20091295,,,True,articulo_predial,,,-1,-1,0.0,False,False,,,,QRO_PREDIAL_2010_el_marques.txt,842
22007,queretaro,ezequiel_montes,Ezequiel Montes,2010,ok,2009/QRO_RAW_20091295,,,True,articulo_predial,,,-1,-1,0.0,False,False,,,,QRO_PREDIAL_2010_ezequiel_montes.txt,799
22008,queretaro,huimilpan,Huimilpan,2010,ok,2009/QRO_RAW_20091295,,,True,articulo_predial,,,-1,-1,0.0,False,False,,,,QRO_PREDIAL_2010_huimilpan.txt,782
22009,queretaro,jalpan_de_serra,Jalpan de Serra,2010,ok,2009/QRO_RAW_20091295,,,True,articulo_predial,,,-1,-1,0.0,False,False,,,,QRO_PREDIAL_2010_jalpan_de_serra.txt,865
22010,queretaro,landa_de_matamoros,Landa de Matamoros,2010,ok,2009/QRO_RAW_20091295,,,True,articulo_predial,,,-1,-1,0.0,False,False,,,,QRO_PREDIAL_2010_landa_de_matamoros.txt,782
22012,queretaro,pedro_escobedo,Pedro Escobedo,2010,ok,2009/QRO_RAW_20091295,,,True,articulo_predial,,,-1,-1,0.0,False,False,,,,QRO_PREDIAL_2010_pedro_escobedo.txt,802
22013,queretaro,penamiller,Peñamiller,2010,ok,2009/QRO_RAW_20091295,,,True,articulo_predial,,,-1,-1,0.0,False,False,,,,QRO_PREDIAL_2010_penamiller.txt,780
22002,queretaro,pinal_de_amoles,Pinal de Amoles,2010,ok,2009/QRO_RAW_20091295,,,True,articulo_predial,,,-1,-1,0.0,False,False,,,,QRO_PREDIAL_2010_pinal_de_amoles.txt,793
22014,queretaro,queretaro,Querétaro,2010,ok,2009/QRO_RAW_20091295,,,True,articulo_predial,,,-1,-1,0.0,False,False,,,,QRO_PREDIAL_2010_queretaro.txt,1691
