ejercicio,municipio,slug,cve_mun,in_segment,segment_method,txt_chars,status
2010,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,793,ok
2011,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,1845,ok
2012,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,1924,ok
2013,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,1924,ok
2014,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,2177,ok
2015,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,2281,ok
2016,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,2230,ok
2017,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,2268,ok
2018,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,2265,ok
2019,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,2267,ok
2020,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,790,ok
2021,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,851,ok
2022,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,791,ok
2023,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,849,ok
2024,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,791,ok
2025,Amealco de Bonfil,amealco_de_bonfil,001,true,ok,847,ok
2010,Arroyo Seco,arroyo_seco,003,true,ok,40852,ok
2011,Arroyo Seco,arroyo_seco,003,true,ok,1844,ok
2012,Arroyo Seco,arroyo_seco,003,true,ok,1914,ok
2013,Arroyo Seco,arroyo_seco,003,true,ok,2644,ok
2014,Arroyo Seco,arroyo_seco,003,true,ok,2277,ok
2015,Arroyo Seco,arroyo_seco,003,true,ok,2476,ok
2016,Arroyo Seco,arroyo_seco,003,true,ok,2225,ok
2017,Arroyo Seco,arroyo_seco,003,true,ok,2280,ok
2018,Arroyo Seco,arroyo_seco,003,true,ok,2228,ok
2019,Arroyo Seco,arroyo_seco,003,true,ok,2223,ok
2020,Arroyo Seco,arroyo_seco,003,true,ok,2286,ok
2021,Arroyo Seco,arroyo_seco,003,true,ok,2225,ok
2022,Arroyo Seco,arroyo_seco,003,true,ok,2224,ok
2023,Arroyo Seco,arroyo_seco,003,true,ok,2205,ok
2024,Arroyo Seco,arroyo_seco,003,true,ok,2261,ok
2025,Arroyo Seco,arroyo_seco,003,true,ok,2265,ok
2010,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,792,ok
2011,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,1815,ok
2012,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,1911,ok
2013,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,1920,ok
2014,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,2279,ok
2015,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,2219,ok
2016,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,2219,ok
2017,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,2280,ok
2018,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,2220,ok
2019,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,2206,ok
2020,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,2109,ok
2021,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,2109,ok
2022,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,2166,ok
2023,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,9562,ok
2024,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,9519,ok
2025,Cadereyta de Montes,cadereyta_de_montes,004,true,ok,9714,ok
2010,Colon,colon,005,true,ok,72441,ok
2011,Colon,colon,005,true,ok,82149,ok
2012,Colon,colon,005,true,ok,87086,ok
2013,Colon,colon,005,true,ok,78581,ok
2014,Colon,colon,005,true,ok,1852,ok
2015,Colon,colon,005,true,ok,112880,ok
2016,Colon,colon,005,true,no_predial_found,0,not_found
2017,Colon,colon,005,true,ok,9658,ok
2018,Colon,colon,005,true,ok,9884,ok
2019,Colon,colon,005,true,ok,9915,ok
2020,Colon,colon,005,true,ok,9213,ok
2021,Colon,colon,005,true,ok,10992,ok
2022,Colon,colon,005,true,ok,10932,ok
2023,Colon,colon,005,true,ok,9081,ok
2024,Colon,colon,005,true,ok,9972,ok
2025,Colon,colon,005,true,ok,9294,ok
2010,Corregidora,corregidora,006,true,ok,783,ok
2011,Corregidora,corregidora,006,true,ok,1832,ok
2012,Corregidora,corregidora,006,true,ok,1858,ok
2013,Corregidora,corregidora,006,true,ok,918,ok
2014,Corregidora,corregidora,006,true,ok,4912,ok
2015,Corregidora,corregidora,006,true,ok,7932,ok
2016,Corregidora,corregidora,006,true,ok,7934,ok
2017,Corregidora,corregidora,006,true,ok,7898,ok
2018,Corregidora,corregidora,006,true,ok,8077,ok
2019,Corregidora,corregidora,006,true,ok,8113,ok
2020,Corregidora,corregidora,006,true,ok,7772,ok
2021,Corregidora,corregidora,006,true,ok,7890,ok
2022,Corregidora,corregidora,006,true,ok,7906,ok
2023,Corregidora,corregidora,006,true,ok,10442,ok
2024,Corregidora,corregidora,006,true,ok,10030,ok
2025,Corregidora,corregidora,006,true,ok,10216,ok
2010,El Marques,el_marques,011,true,ok,842,ok
2011,El Marques,el_marques,011,true,ok,1760,ok
2012,El Marques,el_marques,011,true,ok,1901,ok
2013,El Marques,el_marques,011,true,ok,143917,ok
2014,El Marques,el_marques,011,true,ok,135063,ok
2015,El Marques,el_marques,011,true,no_predial_found,0,not_found
2016,El Marques,el_marques,011,true,no_predial_found,0,not_found
2017,El Marques,el_marques,011,true,ok,9363,ok
2018,El Marques,el_marques,011,true,ok,9533,ok
2019,El Marques,el_marques,011,true,ok,8860,ok
2020,El Marques,el_marques,011,true,no_predial_found,0,not_found
2021,El Marques,el_marques,011,true,ok,8820,ok
2022,El Marques,el_marques,011,true,ok,10394,ok
2023,El Marques,el_marques,011,true,ok,9684,ok
2024,El Marques,el_marques,011,true,ok,9784,ok
2025,El Marques,el_marques,011,true,ok,10374,ok
2010,Ezequiel Montes,ezequiel_montes,007,true,ok,799,ok
2011,Ezequiel Montes,ezequiel_montes,007,true,ok,1746,ok
2012,Ezequiel Montes,ezequiel_montes,007,true,ok,1920,ok
2013,Ezequiel Montes,ezequiel_montes,007,true,ok,1859,ok
2014,Ezequiel Montes,ezequiel_montes,007,true,ok,1959,ok
2015,Ezequiel Montes,ezequiel_montes,007,true,ok,1896,ok
2016,Ezequiel Montes,ezequiel_montes,007,true,ok,1898,ok
2017,Ezequiel Montes,ezequiel_montes,007,true,ok,1960,ok
2018,Ezequiel Montes,ezequiel_montes,007,true,ok,1951,ok
2019,Ezequiel Montes,ezequiel_montes,007,true,ok,1950,ok
2020,Ezequiel Montes,ezequiel_montes,007,true,ok,1897,ok
2021,Ezequiel Montes,ezequiel_montes,007,true,ok,783,ok
2022,Ezequiel Montes,ezequiel_montes,007,true,ok,785,ok
2023,Ezequiel Montes,ezequiel_montes,007,true,ok,783,ok
2024,Ezequiel Montes,ezequiel_montes,007,true,ok,842,ok
2025,Ezequiel Montes,ezequiel_montes,007,true,ok,783,ok
2010,Huimilpan,huimilpan,008,true,ok,782,ok
2011,Huimilpan,huimilpan,008,true,ok,1831,ok
2012,Huimilpan,huimilpan,008,true,ok,1916,ok
2013,Huimilpan,huimilpan,008,true,ok,1921,ok
2014,Huimilpan,huimilpan,008,true,ok,2279,ok
2015,Huimilpan,huimilpan,008,true,ok,2287,ok
2016,Huimilpan,huimilpan,008,true,ok,2278,ok
2017,Huimilpan,huimilpan,008,true,ok,4508,ok
2018,Huimilpan,huimilpan,008,true,ok,5287,ok
2019,Huimilpan,huimilpan,008,true,ok,5675,ok
2020,Huimilpan,huimilpan,008,true,ok,6722,ok
