ejercicio,slug,cve_mun,source_pdf,focus_file,tipo_esquema,esquema_valido,fuente,segment_method,error_class,error_detail,issues,auditado,notas,paginas_pdf,pdf_override
2010,amealco_de_bonfil,001,,data\queretaro\focus_predial\2010\QRO_PREDIAL_2010_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2011,amealco_de_bonfil,001,,data\queretaro\focus_predial\2011\QRO_PREDIAL_2011_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2012,amealco_de_bonfil,001,,data\queretaro\focus_predial\2012\QRO_PREDIAL_2012_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2013,amealco_de_bonfil,001,,data\queretaro\focus_predial\2013\QRO_PREDIAL_2013_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2014,amealco_de_bonfil,001,,data\queretaro\focus_predial\2014\QRO_PREDIAL_2014_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2015,amealco_de_bonfil,001,,data\queretaro\focus_predial\2015\QRO_PREDIAL_2015_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2016,amealco_de_bonfil,001,,data\queretaro\focus_predial\2016\QRO_PREDIAL_2016_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2017,amealco_de_bonfil,001,,data\queretaro\focus_predial\2017\QRO_PREDIAL_2017_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2018,amealco_de_bonfil,001,,data\queretaro\focus_predial\2018\QRO_PREDIAL_2018_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2019,amealco_de_bonfil,001,,data\queretaro\focus_predial\2019\QRO_PREDIAL_2019_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2020,amealco_de_bonfil,001,,data\queretaro\focus_predial\2020\QRO_PREDIAL_2020_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2021,amealco_de_bonfil,001,,data\queretaro\focus_predial\2021\QRO_PREDIAL_2021_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2022,amealco_de_bonfil,001,,data\queretaro\focus_predial\2022\QRO_PREDIAL_2022_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2023,amealco_de_bonfil,001,,data\queretaro\focus_predial\2023\QRO_PREDIAL_2023_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2024,amealco_de_bonfil,001,,data\queretaro\focus_predial\2024\QRO_PREDIAL_2024_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2025,amealco_de_bonfil,001,,data\queretaro\focus_predial\2025\QRO_PREDIAL_2025_amealco_de_bonfil.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2010,arroyo_seco,003,,data\queretaro\focus_predial\2010\QRO_PREDIAL_2010_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2011,arroyo_seco,003,,data\queretaro\focus_predial\2011\QRO_PREDIAL_2011_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2012,arroyo_seco,003,,data\queretaro\focus_predial\2012\QRO_PREDIAL_2012_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2013,arroyo_seco,003,,data\queretaro\focus_predial\2013\QRO_PREDIAL_2013_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2014,arroyo_seco,003,,data\queretaro\focus_predial\2014\QRO_PREDIAL_2014_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2015,arroyo_seco,003,,data\queretaro\focus_predial\2015\QRO_PREDIAL_2015_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2016,arroyo_seco,003,,data\queretaro\focus_predial\2016\QRO_PREDIAL_2016_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2017,arroyo_seco,003,,data\queretaro\focus_predial\2017\QRO_PREDIAL_2017_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2018,arroyo_seco,003,,data\queretaro\focus_predial\2018\QRO_PREDIAL_2018_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2019,arroyo_seco,003,,data\queretaro\focus_predial\2019\QRO_PREDIAL_2019_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2020,arroyo_seco,003,,data\queretaro\focus_predial\2020\QRO_PREDIAL_2020_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2021,arroyo_seco,003,,data\queretaro\focus_predial\2021\QRO_PREDIAL_2021_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2022,arroyo_seco,003,,data\queretaro\focus_predial\2022\QRO_PREDIAL_2022_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2023,arroyo_seco,003,,data\queretaro\focus_predial\2023\QRO_PREDIAL_2023_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2024,arroyo_seco,003,,data\queretaro\focus_predial\2024\QRO_PREDIAL_2024_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2025,arroyo_seco,003,,data\queretaro\focus_predial\2025\QRO_PREDIAL_2025_arroyo_seco.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2010,cadereyta_de_montes,004,,data\queretaro\focus_predial\2010\QRO_PREDIAL_2010_cadereyta_de_montes.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2011,cadereyta_de_montes,004,,data\queretaro\focus_predial\2011\QRO_PREDIAL_2011_cadereyta_de_montes.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2012,cadereyta_de_montes,004,,data\queretaro\focus_predial\2012\QRO_PREDIAL_2012_cadereyta_de_montes.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2013,cadereyta_de_montes,004,,data\queretaro\focus_predial\2013\QRO_PREDIAL_2013_cadereyta_de_montes.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2014,cadereyta_de_montes,004,,data\queretaro\focus_predial\2014\QRO_PREDIAL_2014_cadereyta_de_montes.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2015,cadereyta_de_montes,004,,data\queretaro\focus_predial\2015\QRO_PREDIAL_2015_cadereyta_de_montes.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2016,cadereyta_de_montes,004,,data\queretaro\focus_predial\2016\QRO_PREDIAL_2016_cadereyta_de_montes.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2017,cadereyta_de_montes,004,,data\queretaro\focus_predial\2017\QRO_PREDIAL_2017_cadereyta_de_montes.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2018,cadereyta_de_montes,004,,data\queretaro\focus_predial\2018\QRO_PREDIAL_2018_cadereyta_de_montes.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2019,cadereyta_de_montes,004,,data\queretaro\focus_predial\2019\QRO_PREDIAL_2019_cadereyta_de_montes.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
2020,cadereyta_de_montes,004,,data\queretaro\focus_predial\2020\QRO_PREDIAL_2020_cadereyta_de_montes.txt,tarifa_millar,True,txt,ok,none,,,ok,,,
