municipio,anio,anomalia,json_path
armadillo_de_los_infante,2013,cambio_esquema_tarifa_millar_a_cuota_fija_escalonada_desde_2012,data\sanluispotosi\json_predial\2013\SLP_PREDIAL_2013_armadillo_de_los_infante.json
armadillo_de_los_infante,2013,reclasificado_de_progresivo_a_cuota_fija_escalonada,data\sanluispotosi\json_predial\2013\SLP_PREDIAL_2013_armadillo_de_los_infante.json
armadillo_de_los_infante,2014,cambio_esquema_cuota_fija_escalonada_a_tarifa_millar_desde_2013,data\sanluispotosi\json_predial\2014\SLP_PREDIAL_2014_armadillo_de_los_infante.json
tamazunchale,2014,otro_no_clasificado_segmento_vacio,data\sanluispotosi\json_predial\2014\SLP_PREDIAL_2014_tamazunchale.json
ahualulco_del_sonido_13,2017,otro_no_clasificado_estructura_no_estandar,data\sanluispotosi\json_predial\2017\SLP_PREDIAL_2017_ahualulco_del_sonido_13.json
san_antonio,2017,otro_no_clasificado_estructura_no_estandar,data\sanluispotosi\json_predial\2017\SLP_PREDIAL_2017_san_antonio.json
tierra_nueva,2017,cambio_brusco_n_filas_7_a_3,data\sanluispotosi\json_predial\2017\SLP_PREDIAL_2017_tierra_nueva.json
ahualulco_del_sonido_13,2018,otro_no_clasificado_estructura_no_estandar,data\sanluispotosi\json_predial\2018\SLP_PREDIAL_2018_ahualulco_del_sonido_13.json
tierra_nueva,2018,cambio_brusco_n_filas_3_a_7,data\sanluispotosi\json_predial\2018\SLP_PREDIAL_2018_tierra_nueva.json
ahualulco_del_sonido_13,2019,otro_no_clasificado_estructura_no_estandar,data\sanluispotosi\json_predial\2019\SLP_PREDIAL_2019_ahualulco_del_sonido_13.json
tampamolon_corona,2019,cambio_brusco_n_filas_7_a_1,data\sanluispotosi\json_predial\2019\SLP_PREDIAL_2019_tampamolon_corona.json
san_antonio,2020,otro_no_clasificado_estructura_no_estandar,data\sanluispotosi\json_predial\2020\SLP_PREDIAL_2020_san_antonio.json
san_vicente_tancuayalab,2020,otro_no_clasificado_segmento_vacio,data\sanluispotosi\json_predial\2020\SLP_PREDIAL_2020_san_vicente_tancuayalab.json
tampamolon_corona,2020,cambio_brusco_n_filas_1_a_5,data\sanluispotosi\json_predial\2020\SLP_PREDIAL_2020_tampamolon_corona.json
villa_de_arista,2020,otro_no_clasificado_estructura_no_estandar,data\sanluispotosi\json_predial\2020\SLP_PREDIAL_2020_villa_de_arista.json
san_luis_potosi,2022,cambio_esquema_tarifa_millar_a_progresivo_desde_2020,data\sanluispotosi\json_predial\2022\SLP_PREDIAL_2022_san_luis_potosi.json
san_luis_potosi,2025,cambio_brusco_n_filas_21_a_8,data\sanluispotosi\json_predial\2025\SLP_PREDIAL_2025_san_luis_potosi.json
san_luis_potosi,2025,cambio_esquema_progresivo_a_tarifa_millar_desde_2024,data\sanluispotosi\json_predial\2025\SLP_PREDIAL_2025_san_luis_potosi.json
san_luis_potosi,2025,reclasificado_de_progresivo_a_tarifa_millar,data\sanluispotosi\json_predial\2025\SLP_PREDIAL_2025_san_luis_potosi.json
