municipio,n_years,years_present,n_missing,years_missing
ahualulco_del_sonido_13,10,2012;2015;2017;2018;2019;2020;2022;2023;2024;2025,4,2013;2014;2016;2021
alaquines,11,2012;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025,3,2013;2016;2021
aquismon,7,2012;2019;2020;2022;2023;2024;2025,7,2013;2014;2015;2016;2017;2018;2021
armadillo_de_los_infante,11,2012;2013;2014;2015;2017;2018;2019;2020;2022;2023;2024,3,2016;2021;2025
axtla_de_terrazas,10,2012;2014;2015;2017;2018;2020;2022;2023;2024;2025,4,2013;2016;2019;2021
cardenas,6,2012;2020;2022;2023;2024;2025,8,2013;2014;2015;2016;2017;2018;2019;2021
catorce,11,2012;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025,3,2013;2016;2021
cedral,12,2012;2013;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025,2,2016;2021
cerritos,12,2012;2013;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025,2,2016;2021
cerro_de_san_pedro,10,2012;2013;2014;2017;2018;2019;2020;2023;2024;2025,4,2015;2016;2021;2022
charcas,12,2012;2013;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025,2,2016;2021
ciudad_del_maiz,11,2012;2013;2014;2015;2018;2019;2020;2022;2023;2024;2025,3,2016;2017;2021
ciudad_fernandez,6,2012;2020;2022;2023;2024;2025,8,2013;2014;2015;2016;2017;2018;2019;2021
ciudad_valles,11,2013;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025,3,2012;2016;2021
coxcatlan,8,2012;2014;2018;2020;2022;2023;2024;2025,6,2013;2015;2016;2017;2019;2021
ebano,7,2012;2019;2020;2022;2023;2024;2025,7,2013;2014;2015;2016;2017;2018;2021
el_naranjo,11,2012;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025,3,2013;2016;2021
guadalcazar,8,2012;2018;2019;2020;2022;2023;2024;2025,6,2013;2014;2015;2016;2017;2021
huehuetlan,8,2012;2017;2019;2020;2022;2023;2024;2025,6,2013;2014;2015;2016;2018;2021
lagunillas,11,2012;2013;2014;2017;2018;2019;2020;2022;2023;2024;2025,3,2015;2016;2021
matehuala,10,2013;2015;2017;2018;2019;2020;2022;2023;2024;2025,4,2012;2014;2016;2021
matlapa,11,2012;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025,3,2013;2016;2021
mexquitic_de_carmona,9,2012;2014;2017;2018;2020;2022;2023;2024;2025,5,2013;2015;2016;2019;2021
moctezuma,12,2012;2013;2014;2015;2017;2018;2019;2020;2022;2023;2024;2025,2,2016;2021
rayon,7,2012;2019;2020;2022;2023;2024;2025,7,2013;2014;2015;2016;2017;2018;2021
