ejercicio,id_publicacion,fecha_publicacion,nivel_gob_id,decreto,titulo_original,municipio_raw,slug,cve_mun,match_method,match_score,pdf_url,file_local,status,source
2010,,,,,,Ahualulco Del Sonido 13,ahualulco_del_sonido_13,,search_no_match,0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_ahualulco_del_sonido_13.pdf,congreso:no_match,congreso
2010,,,,,,Alaquines,alaquines,,search_no_match,0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_alaquines.pdf,congreso:no_match,congreso
2010,,,,,,Aquismon,aquismon,,search_no_match,0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_aquismon.pdf,congreso:no_match,congreso
2010,3388,2009-12-31 00:00:00,2,122,"Decreto 122.- Ley de Ingresos del municipio de Vanegas, S.L.P., para el Ejercicio Fiscal 2010.",Vanegas,vanegas,044,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_vanegas.pdf,wayback:no_snapshot,wayback
2010,3389,2009-12-31 00:00:00,2,128,"Decreto 128.- Ley de Ingresos del municipio de Villa de Ramos, S.L.P., para el Ejercicio Fiscal 2010.",Villa de Ramos,villa_de_ramos,049,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_villa_de_ramos.pdf,wayback:no_snapshot,wayback
2010,3399,2009-12-31 00:00:00,2,123,"Decreto 123.- Ley de Ingresos del municipio de Venado, S.L.P., para el Ejercicio Fiscal 2010.",Venado,venado,045,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_venado.pdf,wayback:no_snapshot,wayback
2010,3446,2009-12-31 00:00:00,2,076,"Decreto 076.- Ley de Ingresos del municipio de Ahualulco, S.L.P., para el Ejercicio Fiscal 2010.",Ahualulco,ahualulco_del_sonido_13,001,token_subset,0.562,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_ahualulco_del_sonido_13.pdf,wayback:no_snapshot,wayback
2010,3447,2009-12-31 00:00:00,2,083,"Decreto 083.- Ley de Ingresos del municipio de Cedral, S.L.P., para el Ejercicio Fiscal 2010",Cedral,cedral,007,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_cedral.pdf,wayback:no_snapshot,wayback
2010,3448,2009-12-31 00:00:00,2,105,"Decreto 105.- Ley de Ingresos del municipio de San Luis Potosí, S.L.P., para el Ejercicio Fiscal 2010.",San Luis Potosí,san_luis_potosi,028,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_san_luis_potosi.pdf,wayback:no_snapshot,wayback
2010,3449,2009-12-31 00:00:00,2,115,"Decreto 115.- Ley de Ingresos del municipio de Tampacán, S.L.P., para el Ejercicio Fiscal 2010.",Tampacán,tampacan,038,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_tampacan.pdf,wayback:no_snapshot,wayback
2010,3450,2009-12-31 00:00:00,2,118,"Decreto 118.- Ley de Ingresos del municipio de Tancanhuitz, S.L.P., para el Ejercicio Fiscal 2010.",Tancanhuitz,tancanhuitz,012,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_tancanhuitz.pdf,wayback:no_snapshot,wayback
2010,3451,2009-12-31 00:00:00,2,120,"Decreto 120.- Ley de Ingresos del municipio de Taquián de Escobedo, S.L.P., para el Ejercicio Fiscal 2010",Taquián de Escobedo,tanquian_de_escobedo,042,fuzzy,0.974,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_tanquian_de_escobedo.pdf,wayback:no_snapshot,wayback
2010,3452,2009-12-31 00:00:00,2,125,"Decreto 125.- Ley de Ingresos del municipio de Villa de Arriaga, S.L.P., para el Ejercicio Fiscal 2010.",Villa de Arriaga,villa_de_arriaga,046,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_villa_de_arriaga.pdf,wayback:no_snapshot,wayback
2010,3453,2009-12-31 00:00:00,2,127,"Decreto 127.- Ley de Ingresos del municipio de Villa de la Paz, S.L.P., para el Ejercicio Fiscal 2010.",Villa de la Paz,villa_de_la_paz,048,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_villa_de_la_paz.pdf,wayback:no_snapshot,wayback
2010,3454,2009-12-31 00:00:00,2,129,"Decreto 129.- Ley de Ingresos del municipio de Villa de Reyes, S.L.P., para el Ejercicio Fiscal 2010.",Villa de Reyes,villa_de_reyes,050,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_villa_de_reyes.pdf,wayback:no_snapshot,wayback
2010,3455,2009-12-31 00:00:00,2,130,"Decreto 130.- Ley de Ingresos del municipio de Villa Hidalgo, S.L.P., para el Ejercicio Fiscal 2010.",Villa Hidalgo,villa_hidalgo,051,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_villa_hidalgo.pdf,wayback:no_snapshot,wayback
2010,3456,2009-12-31 00:00:00,2,131,"Decreto 131.- Ley de Ingresos del municipio de Villa Juárez, S.L.P., para el Ejercicio Fiscal 2010.",Villa Juárez,villa_juarez,052,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_villa_juarez.pdf,wayback:no_snapshot,wayback
2010,3457,2009-12-31 00:00:00,2,132,"Decreto 132.- Ley de Ingresos del municipio de Xilitla, S.L.P., para el Ejercicio Fiscal 2010",Xilitla,xilitla,054,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_xilitla.pdf,wayback:no_snapshot,wayback
2010,3458,2009-12-31 00:00:00,2,133,"Decreto 133.- Ley de Ingresos del municipio de Zaragoza, S.L.P., para el Ejercicio Fiscal 2010.",Zaragoza,zaragoza,055,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_zaragoza.pdf,wayback:no_snapshot,wayback
2010,2937,2009-02-12 00:00:00,2,648,"Decreto 648.- Se adiciona el artículo séptimo transitorio al Decreto Legislativo 591, correspondiente a la Ley de Ingresos del municipio de Salinas, S.L.P.",Salinas,salinas,025,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_salinas.pdf,wayback:no_snapshot,wayback
2010,3388,2009-12-31 00:00:00,2,122,"Decreto 122.- Ley de Ingresos del municipio de Vanegas, S.L.P., para el Ejercicio Fiscal 2010.",Vanegas,vanegas,044,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_vanegas.pdf,wayback:no_snapshot,wayback
2010,3389,2009-12-31 00:00:00,2,128,"Decreto 128.- Ley de Ingresos del municipio de Villa de Ramos, S.L.P., para el Ejercicio Fiscal 2010.",Villa de Ramos,villa_de_ramos,049,exact,1.0,,data\sanluispotosi\pdf_raw\2010\SLP_RAW_2010_villa_de_ramos.pdf,wayback:no_snapshot,wayback
