cvegeo,estado_slug,municipio_slug,municipio_raw,anio,status,source_pdf,ley_page_start,ley_page_end,predial_found,predial_method,predial_page_start,predial_page_end,char_start,char_end,confidence,forced_end,expansion_applied,anchor_text_start,anchor_text_end,next_tax_label,txt_file,txt_chars
24001,sanluispotosi,ahualulco_del_sonido_13,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_ahualulco_del_sonido_13.pdf,1,,True,articulo_predial_calcula,6,7,19580,24243,1.0,False,False,ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la,CAPÍTULO III,,SLP_PREDIAL_2012_ahualulco_del_sonido_13.txt,4888
24002,sanluispotosi,alaquines,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_alaquines.pdf,1,,True,articulo_predial_calcula,6,8,20389,25181,1.0,False,False,ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la,Capítulo III,,SLP_PREDIAL_2012_alaquines.txt,4989
24003,sanluispotosi,aquismon,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_aquismon.pdf,1,,True,articulo_predial_calcula,6,7,17877,22236,1.0,False,False,ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la,CAPITULO III,,SLP_PREDIAL_2012_aquismon.txt,4554
24004,sanluispotosi,armadillo_de_los_infante,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_armadillo_de_los_infante.pdf,1,,True,articulo_predial_calcula,6,8,19991,24711,1.0,False,False,ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la,CAPÍTULO III,,SLP_PREDIAL_2012_armadillo_de_los_infante.txt,4947
24053,sanluispotosi,axtla_de_terrazas,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_axtla_de_terrazas.pdf,1,,True,articulo_predial_calcula,6,8,20133,25185,1.0,False,False,ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la,CAPITULO III,,SLP_PREDIAL_2012_axtla_de_terrazas.txt,5265
24005,sanluispotosi,cardenas,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_cardenas.pdf,1,,True,articulo_predial_calcula,6,8,19186,23683,1.0,False,False,ARTICULO 5º. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la,CAPITULO III,,SLP_PREDIAL_2012_cardenas.txt,4692
24006,sanluispotosi,catorce,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_catorce.pdf,1,,True,articulo_predial_calcula,6,7,19838,24470,1.0,False,False,ARTICULO 5. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la b,CAPITULO III,,SLP_PREDIAL_2012_catorce.txt,4825
24007,sanluispotosi,cedral,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_cedral.pdf,1,,True,articulo_predial_calcula,6,7,18163,21698,1.0,False,False,ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la,CAPITULO III,,SLP_PREDIAL_2012_cedral.txt,3726
24008,sanluispotosi,cerritos,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_cerritos.pdf,1,,True,articulo_predial_calcula,8,9,29912,35479,1.0,False,False,ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la,CAPITULO III,,SLP_PREDIAL_2012_cerritos.txt,5762
24009,sanluispotosi,cerro_de_san_pedro,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_cerro_de_san_pedro.pdf,1,,True,articulo_predial_calcula,6,7,20148,24247,1.0,False,False,ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de  predio y sobre la,CAPITULO III,,SLP_PREDIAL_2012_cerro_de_san_pedro.txt,4314
24015,sanluispotosi,charcas,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_charcas.pdf,1,,True,articulo_predial_calcula,6,7,19299,22760,1.0,False,False,ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la,CAPITULO III,,SLP_PREDIAL_2012_charcas.txt,3654
24010,sanluispotosi,ciudad_del_maiz,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_ciudad_del_maiz.pdf,1,,True,articulo_predial_calcula,6,8,19639,24384,1.0,False,False,ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la,CAPÍTULO III,,SLP_PREDIAL_2012_ciudad_del_maiz.txt,4954
24011,sanluispotosi,ciudad_fernandez,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_ciudad_fernandez.pdf,1,,True,articulo_predial_calcula,6,8,19229,23949,1.0,False,False,ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la,CAPITULO III,,SLP_PREDIAL_2012_ciudad_fernandez.txt,4931
24014,sanluispotosi,coxcatlan,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_coxcatlan.pdf,1,,True,titulo_capitulo_i_predial,6,8,19647,24785,1.0,False,False,TITULO SEGUNDO,CAPITULO III,,SLP_PREDIAL_2012_coxcatlan.txt,5336
24016,sanluispotosi,ebano,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_ebano.pdf,1,,True,articulo_predial_calcula,6,7,19243,24075,1.0,False,False,ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la,CAPITULO III,,SLP_PREDIAL_2012_ebano.txt,5021
24058,sanluispotosi,el_naranjo,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_el_naranjo.pdf,1,,True,articulo_predial_calcula,6,7,18767,23456,1.0,False,False,ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la,CAPITULO III,,SLP_PREDIAL_2012_el_naranjo.txt,4888
24017,sanluispotosi,guadalcazar,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_guadalcazar.pdf,1,,True,titulo_capitulo_i_predial,6,8,18996,23742,1.0,False,False,TITULO SEGUNDO,CAPITULO III,,SLP_PREDIAL_2012_guadalcazar.txt,4948
24018,sanluispotosi,huehuetlan,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_huehuetlan.pdf,1,,True,articulo_predial_calcula,5,7,16045,20473,1.0,False,False,ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio y sobre la,CAPITULO III,,SLP_PREDIAL_2012_huehuetlan.txt,4627
24019,sanluispotosi,lagunillas,,2012,ok,data/sanluispotosi/pdf_raw/2012/SLP_RAW_2012_lagunillas.pdf,1,,True,articulo_predial_calcula,6,8,19415,24110,1.0,False,False,"ARTICULO 5°. El impuesto predial se calculará aplicando la tasa que corresponda de acuerdo al tipo de predio, y sobre la",CAPITULO III,,SLP_PREDIAL_2012_lagunillas.txt,4894
