municipio,anio,flag
cerro_de_san_pedro,2014,millar_rowcount_jump_7_to_14
rayon,2025,millar_rowcount_jump_7_to_10
tampamolon_corona,2019,millar_rowcount_jump_7_to_1
tampamolon_corona,2020,millar_rowcount_jump_1_to_5
tancanhuitz,2017,millar_rowcount_jump_7_to_4
tancanhuitz,2018,millar_rowcount_jump_4_to_7
tierra_nueva,2017,millar_rowcount_jump_7_to_3
tierra_nueva,2018,millar_rowcount_jump_3_to_7
san_luis_potosi,2016,millar_rowcount_jump_8_to_13
soledad_de_graciano_sanchez,2016,millar_rowcount_jump_10_to_13
soledad_de_graciano_sanchez,2020,millar_rowcount_jump_13_to_8
