ejercicio,cve_mun,municipio,slug,json_file,metodo,factor_inpc
2010,001,Ahome,ahome,2010/SIN_2010_ahome.json,hardcoded_inpc,
2010,002,Angostura,angostura,2010/SIN_2010_angostura.json,hardcoded_inpc,
2010,003,Badiraguato,badiraguato,2010/SIN_2010_badiraguato.json,hardcoded_inpc,
2010,004,Concordia,concordia,2010/SIN_2010_concordia.json,hardcoded_inpc,
2010,005,Cosalá,cosala,2010/SIN_2010_cosala.json,hardcoded_inpc,
2010,006,Culiacán,culiacan,2010/SIN_2010_culiacan.json,hardcoded_inpc,
2010,007,Choix,choix,2010/SIN_2010_choix.json,hardcoded_inpc,
2010,008,Elota,elota,2010/SIN_2010_elota.json,hardcoded_inpc,
2010,009,Escuinapa,escuinapa,2010/SIN_2010_escuinapa.json,hardcoded_inpc,
2010,010,El Fuerte,el_fuerte,2010/SIN_2010_el_fuerte.json,hardcoded_inpc,
2010,011,Guasave,guasave,2010/SIN_2010_guasave.json,hardcoded_inpc,
2010,012,Mazatlán,mazatlan,2010/SIN_2010_mazatlan.json,hardcoded_inpc,
2010,013,Mocorito,mocorito,2010/SIN_2010_mocorito.json,hardcoded_inpc,
2010,014,Rosario,rosario,2010/SIN_2010_rosario.json,hardcoded_inpc,
2010,015,Salvador Alvarado,salvador_alvarado,2010/SIN_2010_salvador_alvarado.json,hardcoded_inpc,
2010,016,San Ignacio,san_ignacio,2010/SIN_2010_san_ignacio.json,hardcoded_inpc,
2010,017,Sinaloa,sinaloa_mun,2010/SIN_2010_sinaloa_mun.json,hardcoded_inpc,
2010,018,Navolato,navolato,2010/SIN_2010_navolato.json,hardcoded_inpc,
2011,001,Ahome,ahome,2011/SIN_2011_ahome.json,hardcoded_inpc,1.043169
2011,002,Angostura,angostura,2011/SIN_2011_angostura.json,hardcoded_inpc,1.043169
2011,003,Badiraguato,badiraguato,2011/SIN_2011_badiraguato.json,hardcoded_inpc,1.043169
2011,004,Concordia,concordia,2011/SIN_2011_concordia.json,hardcoded_inpc,1.043169
2011,005,Cosalá,cosala,2011/SIN_2011_cosala.json,hardcoded_inpc,1.043169
2011,006,Culiacán,culiacan,2011/SIN_2011_culiacan.json,hardcoded_inpc,1.043169
2011,007,Choix,choix,2011/SIN_2011_choix.json,hardcoded_inpc,1.043169
2011,008,Elota,elota,2011/SIN_2011_elota.json,hardcoded_inpc,1.043169
2011,009,Escuinapa,escuinapa,2011/SIN_2011_escuinapa.json,hardcoded_inpc,1.043169
2011,010,El Fuerte,el_fuerte,2011/SIN_2011_el_fuerte.json,hardcoded_inpc,1.043169
2011,011,Guasave,guasave,2011/SIN_2011_guasave.json,hardcoded_inpc,1.043169
2011,012,Mazatlán,mazatlan,2011/SIN_2011_mazatlan.json,hardcoded_inpc,1.043169
2011,013,Mocorito,mocorito,2011/SIN_2011_mocorito.json,hardcoded_inpc,1.043169
2011,014,Rosario,rosario,2011/SIN_2011_rosario.json,hardcoded_inpc,1.043169
2011,015,Salvador Alvarado,salvador_alvarado,2011/SIN_2011_salvador_alvarado.json,hardcoded_inpc,1.043169
2011,016,San Ignacio,san_ignacio,2011/SIN_2011_san_ignacio.json,hardcoded_inpc,1.043169
2011,017,Sinaloa,sinaloa_mun,2011/SIN_2011_sinaloa_mun.json,hardcoded_inpc,1.043169
2011,018,Navolato,navolato,2011/SIN_2011_navolato.json,hardcoded_inpc,1.043169
2012,001,Ahome,ahome,2012/SIN_2012_ahome.json,hardcoded_inpc,1.034827
2012,002,Angostura,angostura,2012/SIN_2012_angostura.json,hardcoded_inpc,1.034827
2012,003,Badiraguato,badiraguato,2012/SIN_2012_badiraguato.json,hardcoded_inpc,1.034827
2012,004,Concordia,concordia,2012/SIN_2012_concordia.json,hardcoded_inpc,1.034827
2012,005,Cosalá,cosala,2012/SIN_2012_cosala.json,hardcoded_inpc,1.034827
2012,006,Culiacán,culiacan,2012/SIN_2012_culiacan.json,hardcoded_inpc,1.034827
2012,007,Choix,choix,2012/SIN_2012_choix.json,hardcoded_inpc,1.034827
2012,008,Elota,elota,2012/SIN_2012_elota.json,hardcoded_inpc,1.034827
2012,009,Escuinapa,escuinapa,2012/SIN_2012_escuinapa.json,hardcoded_inpc,1.034827
2012,010,El Fuerte,el_fuerte,2012/SIN_2012_el_fuerte.json,hardcoded_inpc,1.034827
2012,011,Guasave,guasave,2012/SIN_2012_guasave.json,hardcoded_inpc,1.034827
2012,012,Mazatlán,mazatlan,2012/SIN_2012_mazatlan.json,hardcoded_inpc,1.034827
2012,013,Mocorito,mocorito,2012/SIN_2012_mocorito.json,hardcoded_inpc,1.034827
2012,014,Rosario,rosario,2012/SIN_2012_rosario.json,hardcoded_inpc,1.034827
2012,015,Salvador Alvarado,salvador_alvarado,2012/SIN_2012_salvador_alvarado.json,hardcoded_inpc,1.034827
2012,016,San Ignacio,san_ignacio,2012/SIN_2012_san_ignacio.json,hardcoded_inpc,1.034827
2012,017,Sinaloa,sinaloa_mun,2012/SIN_2012_sinaloa_mun.json,hardcoded_inpc,1.034827
2012,018,Navolato,navolato,2012/SIN_2012_navolato.json,hardcoded_inpc,1.034827
2013,001,Ahome,ahome,2013/SIN_2013_ahome.json,hardcoded_inpc,1.041799
2013,002,Angostura,angostura,2013/SIN_2013_angostura.json,hardcoded_inpc,1.041799
2013,003,Badiraguato,badiraguato,2013/SIN_2013_badiraguato.json,hardcoded_inpc,1.041799
2013,004,Concordia,concordia,2013/SIN_2013_concordia.json,hardcoded_inpc,1.041799
2013,005,Cosalá,cosala,2013/SIN_2013_cosala.json,hardcoded_inpc,1.041799
2013,006,Culiacán,culiacan,2013/SIN_2013_culiacan.json,hardcoded_inpc,1.041799
