municipio,anio,anomalia,json_path
general_plutarco_elias_calles,2009,otro_no_clasificado_segmento_vacio,data\sonora\json_predial\2009\SON_PREDIAL_2009_general_plutarco_elias_calles.json
guaymas,2009,otro_no_clasificado_segmento_vacio,data\sonora\json_predial\2009\SON_PREDIAL_2009_guaymas.json
naco,2009,otro_no_clasificado_segmento_vacio,data\sonora\json_predial\2009\SON_PREDIAL_2009_naco.json
nogales,2009,otro_no_clasificado_segmento_vacio,data\sonora\json_predial\2009\SON_PREDIAL_2009_nogales.json
alamos,2010,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2010\SON_PREDIAL_2010_alamos.json
naco,2010,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2010\SON_PREDIAL_2010_naco.json
puerto_penasco,2011,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2011\SON_PREDIAL_2011_puerto_penasco.json
tubutama,2011,cambio_brusco_n_filas_11_a_5,data\sonora\json_predial\2011\SON_PREDIAL_2011_tubutama.json
villa_judalgo,2011,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2011\SON_PREDIAL_2011_villa_judalgo.json
aconchi,2012,cambio_esquema_tarifa_millar_a_progresivo_desde_2011,data\sonora\json_predial\2012\SON_PREDIAL_2012_aconchi.json
alamos,2012,cambio_brusco_n_filas_1_a_11,data\sonora\json_predial\2012\SON_PREDIAL_2012_alamos.json
alamos,2012,cambio_esquema_tarifa_millar_a_progresivo_desde_2010,data\sonora\json_predial\2012\SON_PREDIAL_2012_alamos.json
bacanora,2012,otro_no_clasificado_estructura_no_estandar,data\sonora\json_predial\2012\SON_PREDIAL_2012_bacanora.json
bacerac,2012,otro_no_clasificado_estructura_no_estandar,data\sonora\json_predial\2012\SON_PREDIAL_2012_bacerac.json
bacum,2012,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2012\SON_PREDIAL_2012_bacum.json
benito_juarez,2012,otro_no_clasificado_estructura_no_estandar,data\sonora\json_predial\2012\SON_PREDIAL_2012_benito_juarez.json
caborca,2012,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2012\SON_PREDIAL_2012_caborca.json
carbo,2012,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2012\SON_PREDIAL_2012_carbo.json
cucurpe,2012,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2012\SON_PREDIAL_2012_cucurpe.json
cumpas,2012,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2012\SON_PREDIAL_2012_cumpas.json
divisaderos,2012,cambio_brusco_n_filas_2_a_9,data\sonora\json_predial\2012\SON_PREDIAL_2012_divisaderos.json
divisaderos,2012,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2012\SON_PREDIAL_2012_divisaderos.json
fronteras,2012,cambio_esquema_progresivo_a_tarifa_millar_desde_2010,data\sonora\json_predial\2012\SON_PREDIAL_2012_fronteras.json
fronteras,2012,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2012\SON_PREDIAL_2012_fronteras.json
huepac,2012,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2012\SON_PREDIAL_2012_huepac.json
imuris,2012,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2012\SON_PREDIAL_2012_imuris.json
la_colorada,2012,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2012\SON_PREDIAL_2012_la_colorada.json
onavas,2012,otro_no_clasificado_estructura_no_estandar,data\sonora\json_predial\2012\SON_PREDIAL_2012_onavas.json
san_luis_rio_colorado,2012,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2012\SON_PREDIAL_2012_san_luis_rio_colorado.json
suaqui_grande,2012,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2012\SON_PREDIAL_2012_suaqui_grande.json
yecora,2012,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2012\SON_PREDIAL_2012_yecora.json
alamos,2013,cambio_esquema_progresivo_a_tarifa_millar_desde_2012,data\sonora\json_predial\2013\SON_PREDIAL_2013_alamos.json
alamos,2013,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2013\SON_PREDIAL_2013_alamos.json
arivechi,2013,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2013\SON_PREDIAL_2013_arivechi.json
bacum,2013,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2013\SON_PREDIAL_2013_bacum.json
banamichi,2013,cambio_brusco_n_filas_7_a_18,data\sonora\json_predial\2013\SON_PREDIAL_2013_banamichi.json
banamichi,2013,cambio_esquema_progresivo_a_tarifa_millar_desde_2012,data\sonora\json_predial\2013\SON_PREDIAL_2013_banamichi.json
cananea,2013,otro_no_clasificado_segmento_vacio,data\sonora\json_predial\2013\SON_PREDIAL_2013_cananea.json
carbo,2013,cambio_brusco_n_filas_1_a_11,data\sonora\json_predial\2013\SON_PREDIAL_2013_carbo.json
carbo,2013,cambio_esquema_tarifa_millar_a_progresivo_desde_2012,data\sonora\json_predial\2013\SON_PREDIAL_2013_carbo.json
cucurpe,2013,cambio_brusco_n_filas_9_a_23,data\sonora\json_predial\2013\SON_PREDIAL_2013_cucurpe.json
divisaderos,2013,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2013\SON_PREDIAL_2013_divisaderos.json
fronteras,2013,cambio_esquema_tarifa_millar_a_progresivo_desde_2012,data\sonora\json_predial\2013\SON_PREDIAL_2013_fronteras.json
huatabampo,2013,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2013\SON_PREDIAL_2013_huatabampo.json
imuris,2013,cambio_esquema_tarifa_millar_a_progresivo_desde_2012,data\sonora\json_predial\2013\SON_PREDIAL_2013_imuris.json
la_heroica_ures,2013,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2013\SON_PREDIAL_2013_la_heroica_ures.json
sahuaripa,2013,cambio_esquema_tarifa_millar_a_progresivo_desde_2012,data\sonora\json_predial\2013\SON_PREDIAL_2013_sahuaripa.json
san_ignacio_rio_muerto,2013,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2013\SON_PREDIAL_2013_san_ignacio_rio_muerto.json
san_luis_rio_colorado,2013,cambio_brusco_n_filas_9_a_2,data\sonora\json_predial\2013\SON_PREDIAL_2013_san_luis_rio_colorado.json
san_luis_rio_colorado,2013,cambio_esquema_tarifa_millar_a_progresivo_desde_2012,data\sonora\json_predial\2013\SON_PREDIAL_2013_san_luis_rio_colorado.json
soyopa,2013,cambio_esquema_progresivo_a_tarifa_millar_desde_2012,data\sonora\json_predial\2013\SON_PREDIAL_2013_soyopa.json
soyopa,2013,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2013\SON_PREDIAL_2013_soyopa.json
tepache,2013,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2013\SON_PREDIAL_2013_tepache.json
