url_pdf,anio_pub,era,filename,leyes_esperadas_total,leyes_encontradas_total,leyes_esperadas,leyes_encontradas,leyes_faltantes,status,ocr_disponible,chars_extraidos,tiene_titulo_ley_ingresos
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/diciembre/2009CLXXXIV53IX.pdf,2009,antigua,2009CLXXXIV53IX.pdf,1,1,guaymas,guaymas,,ok,True,123446,True
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/diciembre/2009CLXXXIV53VI.pdf,2009,antigua,2009CLXXXIV53VI.pdf,1,1,hermosillo,hermosillo,,ok,True,152025,True
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/diciembre/2009CLXXXIV53VII.pdf,2009,antigua,2009CLXXXIV53VII.pdf,1,1,cajeme,cajeme,,ok,True,126415,True
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/diciembre/2009CLXXXIV53VIII.pdf,2009,antigua,2009CLXXXIV53VIII.pdf,2,2,aconchi;navojoa,aconchi;navojoa,,ok,True,114572,True
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/diciembre/2009CLXXXIV53X.pdf,2009,antigua,2009CLXXXIV53X.pdf,1,1,san_luis_rio_colorado,san_luis_rio_colorado,,ok,True,120859,True
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/diciembre/2009CLXXXIV53XI.pdf,2009,antigua,2009CLXXXIV53XI.pdf,2,2,agua_prieta;altar,agua_prieta;altar,,ok,True,120301,True
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/diciembre/2009CLXXXIV53XII.pdf,2009,antigua,2009CLXXXIV53XII.pdf,2,2,alamos;arivechi,alamos;arivechi,,ok,True,99425,True
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/diciembre/2009CLXXXIV53XIII.pdf,2009,antigua,2009CLXXXIV53XIII.pdf,4,4,arizpe;atil;bacadehuachi;bacanora,arizpe;atil;bacadehuachi;bacanora,,ok,True,120584,True
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/diciembre/2009CLXXXIV53XIV.pdf,2009,antigua,2009CLXXXIV53XIV.pdf,3,3,bacerac;baviacora;nogales,bacerac;baviacora;nogales,,ok,True,148283,True
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/diciembre/2009CLXXXIV53XIX.pdf,2009,antigua,2009CLXXXIV53XIX.pdf,4,4,cucurpe;cumpas;divisaderos;empalme,cucurpe;cumpas;divisaderos;empalme,,ok,True,109109,True
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/diciembre/2009CLXXXIV53XV.pdf,2009,antigua,2009CLXXXIV53XV.pdf,3,3,bacoachi;bacum;banamichi,bacoachi;bacum;banamichi,,ok,True,105948,True
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/diciembre/2009CLXXXIV53XVI.pdf,2009,antigua,2009CLXXXIV53XVI.pdf,3,3,bavispe;benito_juarez;benjamin_hill,bavispe;benito_juarez;benjamin_hill,,ok,True,124389,True
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/diciembre/2009CLXXXIV53XVII.pdf,2009,antigua,2009CLXXXIV53XVII.pdf,3,3,caborca;cananea;carbo,caborca;cananea;carbo,,ok,True,135702,True
