municipio,n_years,years_present,n_missing,years_missing
aconchi,8,2011;2012;2013;2017;2018;2019;2020;2022,9,2009;2010;2014;2015;2016;2021;2023;2024;2025
agua_prieta,7,2012;2017;2019;2020;2023;2024;2025,10,2009;2010;2011;2013;2014;2015;2016;2018;2021;2022
alamos,9,2010;2012;2013;2017;2018;2021;2023;2024;2025,8,2009;2011;2014;2015;2016;2019;2020;2022
alil,1,2024,16,2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2025
altar,8,2012;2017;2018;2019;2020;2021;2024;2025,9,2009;2010;2011;2013;2014;2015;2016;2022;2023
arivechi,7,2013;2017;2018;2019;2020;2022;2023,10,2009;2010;2011;2012;2014;2015;2016;2021;2024;2025
arizpe,5,2010;2013;2017;2018;2023,12,2009;2011;2012;2014;2015;2016;2019;2020;2021;2022;2024;2025
arjzpe,1,2020,16,2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2021;2022;2023;2024;2025
atil,10,2010;2012;2013;2016;2017;2018;2020;2021;2022;2023,7,2009;2011;2014;2015;2019;2024;2025
bacadehuachi,7,2013;2017;2018;2020;2022;2023;2025,10,2009;2010;2011;2012;2014;2015;2016;2019;2021;2024
bacanora,6,2010;2012;2017;2018;2019;2020,11,2009;2011;2013;2014;2015;2016;2021;2022;2023;2024;2025
bacerac,8,2012;2017;2018;2019;2020;2021;2023;2025,9,2009;2010;2011;2013;2014;2015;2016;2022;2024
bacoachi,7,2017;2018;2020;2022;2023;2024;2025,10,2009;2010;2011;2012;2013;2014;2015;2016;2019;2021
bacum,8,2012;2013;2017;2018;2019;2020;2023;2025,9,2009;2010;2011;2014;2015;2016;2021;2022;2024
banamichi,6,2012;2013;2017;2018;2019;2023,11,2009;2010;2011;2014;2015;2016;2020;2021;2022;2024;2025
baviacora,6,2017;2019;2020;2023;2024;2025,11,2009;2010;2011;2012;2013;2014;2015;2016;2018;2021;2022
bavispe,7,2010;2012;2017;2018;2020;2024;2025,10,2009;2011;2013;2014;2015;2016;2019;2021;2022;2023
benito_juarez,12,2010;2012;2013;2017;2018;2019;2020;2021;2022;2023;2024;2025,5,2009;2011;2014;2015;2016
benjamin_hill,9,2011;2016;2017;2018;2020;2021;2023;2024;2025,8,2009;2010;2012;2013;2014;2015;2019;2022
benjamjn_hjll,1,2019,16,2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025
caborca,8,2012;2017;2018;2020;2022;2023;2024;2025,9,2009;2010;2011;2013;2014;2015;2016;2019;2021
cajeme,8,2012;2017;2018;2019;2022;2023;2024;2025,9,2009;2010;2011;2013;2014;2015;2016;2020;2021
cananea,7,2012;2013;2017;2018;2021;2023;2024,10,2009;2010;2011;2014;2015;2016;2019;2020;2022;2025
carba,1,2025,16,2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
carbo,7,2012;2013;2017;2020;2021;2022;2023,10,2009;2010;2011;2014;2015;2016;2018;2019;2024;2025
carilo,1,2019,16,2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025
cucurpe,9,2012;2013;2017;2018;2019;2021;2022;2023;2025,8,2009;2010;2011;2014;2015;2016;2020;2024
cumpas,9,2012;2016;2017;2018;2020;2021;2022;2023;2024,8,2009;2010;2011;2013;2014;2015;2019;2025
divisaderos,9,2010;2012;2013;2017;2018;2019;2020;2023;2025,8,2009;2011;2014;2015;2016;2021;2022;2024
empalme,6,2012;2013;2017;2018;2022;2023,11,2009;2010;2011;2014;2015;2016;2019;2020;2021;2024;2025
etchojoa,8,2012;2016;2017;2018;2019;2020;2023;2025,9,2009;2010;2011;2013;2014;2015;2021;2022;2024
fronteras,7,2010;2012;2013;2017;2018;2020;2024,10,2009;2011;2014;2015;2016;2019;2021;2022;2023;2025
garbo,1,2018,16,2009;2010;2011;2012;2013;2014;2015;2016;2017;2019;2020;2021;2022;2023;2024;2025
general_plutarco_elias_calles,6,2009;2012;2017;2018;2023;2025,11,2010;2011;2013;2014;2015;2016;2019;2020;2021;2022;2024
granados,7,2012;2017;2018;2019;2020;2021;2023,10,2009;2010;2011;2013;2014;2015;2016;2022;2024;2025
guay_mas_de_zaragoza,1,2025,16,2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
guaymas,9,2009;2012;2017;2018;2020;2021;2022;2023;2024,8,2010;2011;2013;2014;2015;2016;2019;2025
hennosillo,1,2025,16,2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
hermosillo,7,2010;2013;2016;2017;2022;2024;2025,10,2009;2011;2012;2014;2015;2018;2019;2020;2021;2023
heroica_guaymas_de_zaragoza,1,2025,16,2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
huachinera,6,2012;2017;2018;2021;2023;2024,11,2009;2010;2011;2013;2014;2015;2016;2019;2020;2022;2025
huasabas,11,2012;2013;2017;2018;2019;2020;2021;2022;2023;2024;2025,6,2009;2010;2011;2014;2015;2016
huatabampo,7,2013;2017;2018;2019;2023;2024;2025,10,2009;2010;2011;2012;2014;2015;2016;2020;2021;2022
huepac,8,2012;2017;2018;2020;2021;2023;2024;2025,9,2009;2010;2011;2013;2014;2015;2016;2019;2022
imuris,9,2012;2013;2017;2018;2020;2022;2023;2024;2025,8,2009;2010;2011;2014;2015;2016;2019;2021
