ejercicio,input_pdf,ocr_pdf,avg_chars_per_page,decision,status,threshold_used,cleaning_ms,ocr_ms,vector_stripped
2009,2009CLXXXIV53IX.pdf,2009CLXXXIV53IX_ocr.pdf,16.0,scan,already_exists,,0,0,False
2009,2009CLXXXIV53VI.pdf,2009CLXXXIV53VI_ocr.pdf,16.0,scan,already_exists,,0,0,False
2009,2009CLXXXIV53VII.pdf,2009CLXXXIV53VII_ocr.pdf,16.0,scan,already_exists,,0,0,False
2009,2009CLXXXIV53VIII.pdf,2009CLXXXIV53VIII_ocr.pdf,16.0,scan,already_exists,,0,0,False
2009,2009CLXXXIV53X.pdf,2009CLXXXIV53X_ocr.pdf,16.0,scan,already_exists,,0,0,False
2009,2009CLXXXIV53XI.pdf,2009CLXXXIV53XI_ocr.pdf,16.0,scan,already_exists,,0,0,False
2009,2009CLXXXIV53XII.pdf,2009CLXXXIV53XII_ocr.pdf,16.0,scan,already_exists,,0,0,False
2009,2009CLXXXIV53XVIII.pdf,2009CLXXXIV53XVIII_ocr.pdf,16.0,scan,already_exists,,0,0,False
2009,2009CLXXXIII16III.pdf,2009CLXXXIII16III_ocr.pdf,16.0,scan,already_exists,,0,0,False
2010,2010CLXXXVI53IV.pdf,2010CLXXXVI53IV_ocr.pdf,45.0,scan,already_exists,,0,0,False
2010,2010CLXXXVI53X.pdf,2010CLXXXVI53X_ocr.pdf,45.0,scan,already_exists,,0,0,False
2010,2010CLXXXVI53XI.pdf,2010CLXXXVI53XI_ocr.pdf,45.0,scan,already_exists,,0,0,False
2010,2010CLXXXVI53XII.pdf,2010CLXXXVI53XII_ocr.pdf,45.0,scan,already_exists,,0,0,False
2010,2010CLXXXVI53XIV.pdf,2010CLXXXVI53XIV_ocr.pdf,16.0,scan,already_exists,,0,0,False
2010,2010CLXXXVI53XIX.pdf,2010CLXXXVI53XIX_ocr.pdf,45.0,scan,already_exists,,0,0,False
2010,2010CLXXXVI53XV.pdf,2010CLXXXVI53XV_ocr.pdf,45.0,scan,already_exists,,0,0,False
2010,2010CLXXXVI53XVI.pdf,2010CLXXXVI53XVI_ocr.pdf,45.0,scan,already_exists,,0,0,False
2010,2010CLXXXVI53XVIII.pdf,2010CLXXXVI53XVIII_ocr.pdf,45.0,scan,already_exists,,0,0,False
2010,2010CLXXXVI53XX.pdf,2010CLXXXVI53XX_ocr.pdf,45.0,scan,already_exists,,0,0,False
2010,2010CLXXXVI53XXI.pdf,2010CLXXXVI53XXI_ocr.pdf,45.0,scan,already_exists,,0,0,False
2010,2010CLXXXVI53XXII.pdf,2010CLXXXVI53XXII_ocr.pdf,45.0,scan,already_exists,,0,0,False
2010,2010CLXXXVI53XXIII.pdf,2010CLXXXVI53XXIII_ocr.pdf,45.0,scan,already_exists,,0,0,False
2012,2012CXC53IX.pdf,2012CXC53IX_ocr.pdf,3119.5,native,skipped:native,,0,0,False
2012,2012CXC53V.pdf,2012CXC53V_ocr.pdf,4095.7,native,skipped:native,,0,0,False
2012,2012CXC53VI.pdf,2012CXC53VI_ocr.pdf,3460.2,native,skipped:native,,0,0,False
2012,2012CXC53VIII.pdf,2012CXC53VIII_ocr.pdf,3762.8,native,skipped:native,,0,0,False
2012,2012CLXXXIX2I.pdf,2012CLXXXIX2I_ocr.pdf,4171.2,native,skipped:native,,0,0,False
2012,2012CLXXXIX2II.pdf,2012CLXXXIX2II_ocr.pdf,3753.7,native,skipped:native,,0,0,False
2012,2012CLXXXIX2III.pdf,2012CLXXXIX2III_ocr.pdf,3735.8,native,skipped:native,,0,0,False
2012,2012CLXXXIX2IV.pdf,2012CLXXXIX2IV_ocr.pdf,3083.3,native,skipped:native,,0,0,False
2012,2012CLXXXIX2IX.pdf,2012CLXXXIX2IX_ocr.pdf,3437.8,native,skipped:native,,0,0,False
2012,2012CLXXXIX2V.pdf,2012CLXXXIX2V_ocr.pdf,3497.2,native,skipped:native,,0,0,False
2012,2012CLXXXIX2VI.pdf,2012CLXXXIX2VI_ocr.pdf,3128.3,native,skipped:native,,0,0,False
2012,2012CLXXXIX2VII.pdf,2012CLXXXIX2VII_ocr.pdf,3242.7,native,skipped:native,,0,0,False
2012,2012CLXXXIX2VIII.pdf,2012CLXXXIX2VIII_ocr.pdf,2034.7,native,skipped:native,,0,0,False
2012,2012CLXXXIX2X.pdf,2012CLXXXIX2X_ocr.pdf,3195.8,native,skipped:native,,0,0,False
2012,2012CLXXXIX2XI.pdf,2012CLXXXIX2XI_ocr.pdf,2068.8,native,skipped:native,,0,0,False
2012,2012CLXXXIX2XII.pdf,2012CLXXXIX2XII_ocr.pdf,3080.8,native,skipped:native,,0,0,False
