ejercicio,slug,cve_mun,municipio_raw,num_ley,source_pdf,page_start,page_end,num_pages_ley
2009,nogales,043,Nogales,225,pdf_raw\2009\2009CLXXXIII16III.pdf,8,10,2
2009,naco,039,Naco,221,pdf_raw\2009\2009CLXXXIII16III.pdf,10,12,2
2009,general_plutarco_elias_calles,070,Gral. Plutarco Elías Calles,209,pdf_raw\2009\2009CLXXXIII16III.pdf,12,14,2
2009,guaymas,029,La Heróica Guaymas,211,pdf_raw\2009\2009CLXXXIII16III.pdf,14,18,4
2010,hermosillo,030,HERMOSILLO,,pdf_raw\2009\2009CLXXXIV53VI.pdf,2,92,90
2010,alamos,003,ALAMOS,,pdf_raw\2009\2009CLXXXIV53XII.pdf,1,68,67
2010,arizpe,006,ARIZPE,,pdf_raw\2009\2009CLXXXIV53XIII.pdf,2,40,38
2010,atil,007,ATIL,,pdf_raw\2009\2009CLXXXIV53XIII.pdf,40,68,28
2010,bacanora,009,BACANORA,,pdf_raw\2009\2009CLXXXIV53XIII.pdf,68,86,18
2010,divisaderos,024,DIVISADEROS,29,pdf_raw\2009\2009CLXXXIV53XIX.pdf,37,88,51
2010,bavispe,015,BAVISPE,,pdf_raw\2009\2009CLXXXIV53XVI.pdf,2,16,14
2010,benito_juarez,071,BENITO JUAREZ,,pdf_raw\2009\2009CLXXXIV53XVI.pdf,16,84,68
2010,fronteras,027,Fronteras,,pdf_raw\2009\2009CLXXXIV53XX.pdf,56,90,34
2010,imuris,035,Iimuris,,pdf_raw\2009\2009CLXXXIV53XXI.pdf,78,80,2
2010,rayon,050,Rayón,,pdf_raw\2009\2009CLXXXIV53XXIV.pdf,83,96,13
2010,san_miguel_de_horcasitas,056,San Miguel de Horcasitas,,pdf_raw\2009\2009CLXXXIV53XXVI.pdf,14,88,74
2010,tubutama,065,TUBUTAMA,,pdf_raw\2009\2009CLXXXIV53XXVII.pdf,40,88,48
2010,naco,039,Naco,,pdf_raw\2009\2009CLXXXIV53XXVIII.pdf,23,75,52
2010,yecora,069,Yécora,,pdf_raw\2009\2009CLXXXIV53XXVIII.pdf,75,78,3
2011,aconchi,001,ACONCHL,,pdf_raw\2010\2010CLXXXVI53XII.pdf,53,60,7
2011,benjamin_hill,016,BENJAMIN HILL,,pdf_raw\2010\2010CLXXXVI53XII.pdf,60,75,15
2011,tubutama,065,TUBUTAMA,,pdf_raw\2010\2010CLXXXVI53XII.pdf,75,88,13
2011,villa_judalgo,,VILLA JUDALGO,101,pdf_raw\2010\2010CLXXXVI53XVI.pdf,40,112,72
2011,puerto_penasco,048,PUERTO PEÑASCO,,pdf_raw\2010\2010CLXXXVI53XXII.pdf,17,96,79
2012,nogales,043,LA HEROICA NOGALES,217,pdf_raw\2012\2012CLXXXIX2II.pdf,1,56,55
2012,cajeme,018,CAJEME,191,pdf_raw\2012\2012CLXXXIX2III.pdf,1,64,63
2012,caborca,017,"LA HEROICA 
CABORCA",192,pdf_raw\2012\2012CLXXXIX2IV.pdf,1,27,26
2012,cananea,019,LA HEROICA CANANEA,192,pdf_raw\2012\2012CLXXXIX2IV.pdf,27,52,25
2012,navojoa,042,NAVOJOA,222,pdf_raw\2012\2012CLXXXIX2IX.pdf,1,76,75
2012,guaymas,029,LA HEROICA GUAYMAS,202,pdf_raw\2012\2012CLXXXIX2V.pdf,1,56,55
2012,santa_ana,058,SANTA ANA,233,pdf_raw\2012\2012CLXXXIX2VI.pdf,1,20,19
2012,san_luis_rio_colorado,055,SAN LUIS RÍO COLORADO,230,pdf_raw\2012\2012CLXXXIX2VII.pdf,1,60,59
2012,aconchi,001,ACONCHI,,pdf_raw\2012\2012CLXXXIX2VIII.pdf,1,11,10
2012,carbo,020,CARBÓ,,pdf_raw\2012\2012CLXXXIX2VIII.pdf,11,40,29
2012,alamos,003,ALAMOS,198,pdf_raw\2012\2012CLXXXIX2X.pdf,1,40,39
2012,empalme,025,EMPALME,198,pdf_raw\2012\2012CLXXXIX2X.pdf,40,68,28
2012,sahuaripa,052,SAHUARIPA,,pdf_raw\2012\2012CLXXXIX2XI.pdf,1,40,39
2012,agua_prieta,002,AGUA PRIETA,206,pdf_raw\2012\2012CLXXXIX2XII.pdf,1,84,83
2012,general_plutarco_elias_calles,070,GRAL. PLUTARCO ELIAS CALLES,241,pdf_raw\2012\2012CLXXXIX2XIII.pdf,39,88,49
2012,benito_juarez,071,BENITO JUAREZ,,pdf_raw\2012\2012CLXXXIX2XIV.pdf,1,76,75
2012,bacanora,009,BACANORA,225,pdf_raw\2012\2012CLXXXIX2XIX.pdf,1,14,13
2012,etchojoa,026,ETCHOJOA,225,pdf_raw\2012\2012CLXXXIX2XIX.pdf,14,45,31
2012,fronteras,027,FRONTERAS,225,pdf_raw\2012\2012CLXXXIX2XIX.pdf,45,59,14
2012,imuris,035,IMURIS,225,pdf_raw\2012\2012CLXXXIX2XIX.pdf,59,72,13
2012,la_colorada,021,LA COLORADA,225,pdf_raw\2012\2012CLXXXIX2XIX.pdf,72,96,24
2012,moctezuma,038,MOCTEZUMA,,pdf_raw\2012\2012CLXXXIX2XV.pdf,35,92,57
2012,saric,060,SARIC,,pdf_raw\2012\2012CLXXXIX2XV.pdf,92,108,16
2012,altar,004,ALTAR,242,pdf_raw\2012\2012CLXXXIX2XVI.pdf,1,33,32
2012,banamichi,013,BANAMICHI,242,pdf_raw\2012\2012CLXXXIX2XVI.pdf,33,49,16
2012,villa_hidalgo,067,VILLA HIDALGO,242,pdf_raw\2012\2012CLXXXIX2XVI.pdf,49,60,11
2012,bacerac,010,BACERAC,236,pdf_raw\2012\2012CLXXXIX2XVII.pdf,1,25,24
2012,soyopa,061,SOYOPA,236,pdf_raw\2012\2012CLXXXIX2XVII.pdf,25,32,7
2012,suaqui_grande,062,SUAQUI GRANDE,236,pdf_raw\2012\2012CLXXXIX2XVII.pdf,32,67,35
2012,villa_pesqueira,068,VILLA PESQUEIRA,213,pdf_raw\2012\2012CLXXXIX2XVII.pdf,67,74,7
2012,yecora,069,YECORA,213,pdf_raw\2012\2012CLXXXIX2XVII.pdf,74,84,10
2012,bacum,012,BACUM,215,pdf_raw\2012\2012CLXXXIX2XVIII.pdf,1,31,30
2012,bavispe,015,BAVISPE,215,pdf_raw\2012\2012CLXXXIX2XVIII.pdf,31,40,9
2012,cucurpe,022,CUCURPE,215,pdf_raw\2012\2012CLXXXIX2XVIII.pdf,40,53,13
2012,cumpas,023,CUMPAS,215,pdf_raw\2012\2012CLXXXIX2XVIII.pdf,53,68,15
2012,nacozari_de_garcia,041,NACOZARI. DE GARCIA,215,pdf_raw\2012\2012CLXXXIX2XVIII.pdf,68,92,24
2012,atil,007,ATIL,223,pdf_raw\2012\2012CLXXXIX2XXI.pdf,1,12,11
2012,sacaliehuachi,,SACALIEHUACHI,223,pdf_raw\2012\2012CLXXXIX2XXI.pdf,12,20,8
2012,divisaderos,024,DIVISADEROS,223,pdf_raw\2012\2012CLXXXIX2XXI.pdf,20,27,7
