ejercicio,slug,source_pdf,focus_file,ley_page_start,ley_page_end,segment_method,page_start,page_end,txt_chars,confidence,error_class,error_detail,char_start,char_end,forced_end,expansion_applied,anchor_text_start,anchor_text_end
2009,nogales,2009CLXXXIII16III.pdf,SON_PREDIAL_2009_nogales.txt,8,9,fallback_14pp,8,9,9026,0.3,fallback,,-1,-1,False,False,,
2009,naco,2009CLXXXIII16III.pdf,SON_PREDIAL_2009_naco.txt,10,11,fallback_14pp,10,11,7949,0.3,fallback,,-1,-1,False,False,,
2009,general_plutarco_elias_calles,2009CLXXXIII16III.pdf,SON_PREDIAL_2009_general_plutarco_elias_calles.txt,12,14,fallback_14pp,12,14,12224,0.3,fallback,,-1,-1,False,False,,
2009,guaymas,2009CLXXXIII16III.pdf,SON_PREDIAL_2009_guaymas.txt,15,18,fallback_14pp,15,18,20006,0.3,fallback,,-1,-1,False,False,,
2010,guaymas,2009CLXXXIV53IX.pdf,SON_PREDIAL_2010_guaymas.txt,83,84,fallback_14pp,83,84,4200,0.3,fallback,,-1,-1,False,False,,
2010,hermosillo,2009CLXXXIV53VI.pdf,SON_PREDIAL_2010_hermosillo.txt,3,92,impuesto_predial_generico,3,6,4601,0.9,,,1212,5561,False,False,"adeudos de impuesto predial, a solicitud expresa del deudor y a condición de que",DEL IMPUESTO SOBRE TRASLACIÓN DE DOMINIO
2010,aconchi,2009CLXXXIV53VIII.pdf,SON_PREDIAL_2010_aconchi.txt,3,80,titulo_segundo_capitulo_primero_predial,13,58,66584,0.9,,,15118,81438,False,False,TITULO SEGUNDO,CAPITULO TERCERO
2010,agua_prieta,2009CLXXXIV53XI.pdf,SON_PREDIAL_2010_agua_prieta.txt,58,82,titulo_segundo_capitulo_primero_predial,60,63,3133,0.9,,,4974,7836,False,False,TITULO SEGUNDO,IMPUESTO SOBRE TRASLACIÓN DE DOMINIO DE BIENES INMUEBLES
2010,altar,2009CLXXXIV53XI.pdf,SON_PREDIAL_2010_altar.txt,83,84,impuesto_predial_generico_unvalidated,84,84,1225,0.9,,,2567,3535,False,False,"recaudación de impuesto predial, así como dede: r",
2010,alamos,2009CLXXXIV53XII.pdf,SON_PREDIAL_2010_alamos.txt,2,64,capitulo_primero_predial,3,7,5515,0.9,,,1300,6571,False,False,CAPITULO PRIMERO,15.- La tasa del Impuesto Sobre Traslación de Dominio de
2010,arivechi,2009CLXXXIV53XII.pdf,SON_PREDIAL_2010_arivechi.txt,65,68,impuesto_predial_generico,66,68,2901,0.9,,,2457,5106,False,False,"n de impuesto predial, así como de los derechos por servicios de agua",
2010,arizpe,2009CLXXXIV53XIII.pdf,SON_PREDIAL_2010_arizpe.txt,3,40,capitulo_primero_predial,3,6,3691,0.9,,,1084,4530,False,False,CAPITULO PRIMERO,Artículo 8”.- La tasa del Impuesto Sobre Traslación de Dominio de
2010,atil,2009CLXXXIV53XIII.pdf,SON_PREDIAL_2010_atil.txt,41,56,impuesto_predial_generico,53,56,5612,0.9,,,16242,21609,False,False,b) Impuesto predial,
2010,bacadehuachi,2009CLXXXIV53XIII.pdf,SON_PREDIAL_2010_bacadehuachi.txt,57,68,impuesto_predial_generico,65,68,4867,0.9,,,9594,14200,False,False,a) impuesto predial,
2010,bacanora,2009CLXXXIV53XIII.pdf,SON_PREDIAL_2010_bacanora.txt,69,86,capitulo_primero_predial,69,72,3264,0.9,,,1057,4069,False,False,CAPITULO PRIMERO,o 8?.- La tasa del Impuesto Sobre Traslación de Dominio de Bienes
2010,nogales,2009CLXXXIV53XIV.pdf,SON_PREDIAL_2010_nogales.txt,99,100,impuesto_predial_generico_unvalidated,100,100,1531,0.9,,,2832,4098,False,False,Auditoria y Fiscalizaci rrespondiente a su recaudación de Impuesto,
2010,divisaderos,2009CLXXXIV53XIX.pdf,SON_PREDIAL_2010_divisaderos.txt,38,88,impuesto_predial_generico,40,43,3063,0.9,,,2946,5749,False,False,IMPUESTO PREDIAL EJIDAL,CAPITULO TERCERO
2010,bavispe,2009CLXXXIV53XVI.pdf,SON_PREDIAL_2010_bavispe.txt,3,16,impuesto_predial_generico,5,16,14194,0.9,,,3295,17241,False,False,IMPUESTO PREDIAL EJIDAL,
2010,benito_juarez,2009CLXXXIV53XVI.pdf,SON_PREDIAL_2010_benito_juarez.txt,17,63,impuesto_predial_generico,20,24,8285,0.9,,,3915,11938,False,False,"Sonora, y no se haya cubierto su impuesto predial",DEL IMPUESTO SOBRE TRASLACIÓN DE DOMINIO DE BIENES
2010,benjamin_hill,2009CLXXXIV53XVI.pdf,SON_PREDIAL_2010_benjamin_hill.txt,64,84,capitulo_primero_predial,64,66,2674,0.9,,,1016,3429,False,False,CAPITULO PRIMERO,IMPUESTO SOBRE TRASLACION DE DOMINIO
2010,la_da,2009CLXXXIV53XVIII.pdf,SON_PREDIAL_2010_la_da.txt,11,83,capitulo_primero_predial,15,23,17315,0.9,,,7008,24076,False,False,CAPITULO PRIMERO,IMPUESTO SOBRE TRASLACION DE DOMINIO DE BIENES INMUEBLES
2010,huatabampo,2009CLXXXIV53XVIII.pdf,SON_PREDIAL_2010_huatabampo.txt,84,88,fallback_14pp,84,88,9273,0.3,fallback,,-1,-1,False,False,,
2010,fronteras,2009CLXXXIV53XX.pdf,SON_PREDIAL_2010_fronteras.txt,57,90,capitulo_primero_predial,60,62,3044,0.9,,,6630,9422,False,False,CAPITULO PRIMERO,"Artículo 13"".- La tasa del Impuesto Sobre Traslación de Dominio de Bienes"
2010,huachinera,2009CLXXXIV53XXI.pdf,SON_PREDIAL_2010_huachinera.txt,31,41,titulo_segundo_capitulo_primero_predial,33,36,2814,0.9,,,3682,6226,False,False,TITULO SEGUNDO,IMPUESTO SOBRE TRASLACION DE DOMINIO DE BIENES INMUEBLES
2010,huasabas,2009CLXXXIV53XXI.pdf,SON_PREDIAL_2010_huasabas.txt,42,78,titulo_segundo_capitulo_primero_predial,45,48,4235,0.9,,,4881,8850,False,False,TITULO SEGUNDO,IMPUESTO SOBRE TRASLACION DE DOMINIO DE BIENES INMUEBLES
2010,imuris,2009CLXXXIV53XXI.pdf,SON_PREDIAL_2010_imuris.txt,79,80,fallback_14pp,79,80,4098,0.3,fallback,,-1,-1,False,False,,
2010,onavas,2009CLXXXIV53XXII.pdf,SON_PREDIAL_2010_onavas.txt,83,84,fallback_14pp,83,84,4547,0.3,fallback,,-1,-1,False,False,,
2010,quiriego,2009CLXXXIV53XXIV.pdf,SON_PREDIAL_2010_quiriego.txt,73,83,titulo_segundo_capitulo_primero_predial,75,78,2998,0.9,,,3871,6602,False,False,TITULO SEGUNDO,IMPUESTO SOBRE TRASLACION DE DOMINIO DE BIENES INMUEB
2010,rayon,2009CLXXXIV53XXIV.pdf,SON_PREDIAL_2010_rayon.txt,84,96,titulo_segundo_capitulo_primero_predial,87,90,2939,0.9,,,5103,7781,False,False,TITULO SEGUNDO,IMPUESTO SOBRE TRASLACION DE DOMINIO
2010,san_felipe_de_jesus,2009CLXXXIV53XXV.pdf,SON_PREDIAL_2010_san_felipe_de_jesus.txt,35,86,titulo_segundo_capitulo_primero_predial,37,39,2906,0.9,,,4199,6817,False,False,TITULO SEGUNDO,DEL IMPUESTO SOBRE TRASLACION DE DOMINIO DE BIENES
2010,san_ignacio_rio_muerto,2009CLXXXIV53XXV.pdf,SON_PREDIAL_2010_san_ignacio_rio_muerto.txt,87,88,fallback_14pp,87,88,4024,0.3,fallback,,-1,-1,False,False,,
2010,san_miguel_de_horcasitas,2009CLXXXIV53XXVI.pdf,SON_PREDIAL_2010_san_miguel_de_horcasitas.txt,15,63,titulo_segundo_capitulo_primero_predial,17,19,2751,0.9,,,3972,6424,False,False,TITULO SEGUNDO,DEL IMPUESTO SOBRE TRASLACION DE DOMINIO DE BIENES INMUEBLES
1900,santa_ana,2009CLXXXIV53XXVI.pdf,SON_PREDIAL_1900_santa_ana.txt,64,88,titulo_segundo_capitulo_primero_predial,67,73,7880,0.9,,,4910,12521,False,False,TITULO SEGUNDO,CAPITULO TERCERO
2010,suaqui_grande,2009CLXXXIV53XXVII.pdf,SON_PREDIAL_2010_suaqui_grande.txt,9,37,titulo_segundo_capitulo_primero_predial,11,13,3102,0.9,,,5141,7966,False,False,TITULO SEGUNDO,IMPUESTO SOBRE TRASLACION DE DOMINIO
2010,sin_municipio,2009CLXXXIV53XXVII.pdf,SON_PREDIAL_2010_sin_municipio.txt,38,40,impuesto_predial_generico,39,40,1865,0.9,,,3102,4715,False,False,"in, la información correspondientes a su recaudación de impuesto predial, así",
2010,tubutama,2009CLXXXIV53XXVII.pdf,SON_PREDIAL_2010_tubutama.txt,41,85,titulo_segundo_capitulo_primero_predial,62,84,34548,0.9,,,31173,65453,False,False,TITULO SEGUNDO,TITULO TERCERO
2010,ures,2009CLXXXIV53XXVII.pdf,SON_PREDIAL_2010_ures.txt,86,88,impuesto_predial_generico,87,88,2727,0.9,,,1904,4385,False,False,"Fiscalización, la información correspondiente a su recaudación de impuesto predial asi como",
2010,naco,2009CLXXXIV53XXVIII.pdf,SON_PREDIAL_2010_naco.txt,24,75,titulo_segundo_capitulo_primero_predial,26,28,2633,0.9,,,4472,6844,False,False,TITULO SEGUNDO,IMPUESTO SOBRE TRASLACION DE DOMINIO
2010,yecora,2009CLXXXIV53XXVIII.pdf,SON_PREDIAL_2010_yecora.txt,76,78,fallback_14pp,76,78,5466,0.3,fallback,,-1,-1,False,False,,
2010,nogales,2010CLXXXVI49.pdf,SON_PREDIAL_2010_nogales.txt,2,32,fallback_14pp,2,15,40629,0.3,fallback,,-1,-1,False,False,,
2010,benito_juarez,2010CLXXXVI53IV.pdf,SON_PREDIAL_2010_benito_juarez.txt,77,80,impuesto_predial_generico_unvalidated,78,80,1917,0.9,,,2360,4004,False,False,"Fiscalización, la información correspondientes caudación de impuesto predial",
2011,agua_prieta,2010CLXXXVI53V.pdf,SON_PREDIAL_2011_agua_prieta.txt,2,48,impuesto_predial_generico,3,5,4124,0.9,,,1371,5240,False,False,"conceptos de adeudos de impuesto predial, a sulicitud oxpresa del deudos, y a condición de:",IMPUESTO SOBRE TRASLACIÓN DE DOMINIO DE BIENES INMUEBLES
2010,guaymas_tomo_clxxxvi_numero_53_secc_vii_hermosillo,2010CLXXXVI53VII.pdf,SON_PREDIAL_2010_guaymas_tomo_clxxxvi_numero_53_secc_vii_hermosillo.txt,1,64,impuesto_predial_generico,3,47,37340,0.9,,,2360,39363,False,False,ndcudos por concepto de impuesto predial y su,EATÍTULO TERCERO
2010,alamos,2010CLXXXVI53XII.pdf,SON_PREDIAL_2010_alamos.txt,35,51,titulo_segundo_capitulo_primero_predial,36,38,4881,0.9,,,5095,9714,False,False,TITULO SEGUNDO,. IMPUESTO SOBRE TRASLACION DE DOMINIO DE BIENES INMUEBLES
2011,altar,2010CLXXXVI53XII.pdf,SON_PREDIAL_2011_altar.txt,52,53,impuesto_predial_generico_unvalidated,53,53,1975,0.9,,,2865,4582,False,False,"y Fiscalización, la información correspondientes a su recaudación de impuesto predial,",
2011,aconchi,2010CLXXXVI53XII.pdf,SON_PREDIAL_2011_aconchi.txt,54,60,titulo_segundo_capitulo_primero_predial,54,56,4010,0.9,,,1195,4941,False,False,TITULO SEGUNDO,IMPUESTO SOBRE TRASLACION DE DOMINIO DE BIENES INMUEBLES
2011,benjamin_hill,2010CLXXXVI53XII.pdf,SON_PREDIAL_2011_benjamin_hill.txt,61,75,titulo_segundo_capitulo_primero_predial,61,63,4146,0.9,,,1213,5083,False,False,TITULO SEGUNDO,IMPUESTO SOBRE TRASLACION DE DOMINIO
2011,tubutama,2010CLXXXVI53XII.pdf,SON_PREDIAL_2011_tubutama.txt,76,85,titulo_segundo_capitulo_primero_predial,76,78,3721,0.9,,,1196,4652,False,False,TITULO SEGUNDO :,IMPUESTO SOBRE TRASLACION DE DOMINIO
2014,tubutama,2010CLXXXVI53XII.pdf,SON_PREDIAL_2014_tubutama.txt,86,88,impuesto_predial_generico_unvalidated,87,88,2168,0.9,,,3126,5030,False,False,"la información correspondientes a su recaudación de impuesto predial, así como de los derechos por",
2011,mostzuma,2010CLXXXVI53XIX.pdf,SON_PREDIAL_2011_mostzuma.txt,95,96,impuesto_predial_generico_unvalidated,95,95,1648,0.9,,,1869,3250,False,False,"es a su recaudación de impuesto predial, así",
