ejercicio,municipio,slug,cve_mun,in_segment,segment_method,txt_chars,status
2013,aconchi,aconchi,,true,,3845,not_in_inegi
2017,aconchi,aconchi,,true,,4760,not_in_inegi
2018,aconchi,aconchi,,true,,4778,not_in_inegi
2019,aconchi,aconchi,,true,,4129,not_in_inegi
2020,aconchi,aconchi,,true,,4394,not_in_inegi
2021,aconchi,aconchi,,true,,4948,not_in_inegi
2023,aconchi,aconchi,,true,,4896,not_in_inegi
2024,aconchi,aconchi,,true,,4849,not_in_inegi
2025,aconchi,aconchi,,true,,4860,not_in_inegi
2017,agua_prieta,agua_prieta,,true,,6017,not_in_inegi
2023,agua_prieta,agua_prieta,,true,,9088,not_in_inegi
2024,agua_prieta,agua_prieta,,true,,9764,not_in_inegi
2025,agua_prieta,agua_prieta,,true,,9781,not_in_inegi
2017,alamos,alamos,,true,,9597,not_in_inegi
2018,alamos,alamos,,true,,9558,not_in_inegi
2023,alamos,alamos,,true,,10490,not_in_inegi
2024,alamos,alamos,,true,,10886,not_in_inegi
2025,alamos,alamos,,true,,10892,not_in_inegi
2017,altar,altar,,true,,5254,not_in_inegi
2018,altar,altar,,true,,5354,not_in_inegi
2020,altar,altar,,true,,5358,not_in_inegi
2024,altar,altar,,true,,5439,not_in_inegi
2025,altar,altar,,true,,6418,not_in_inegi
2017,arivechi,arivechi,,true,,4799,not_in_inegi
2018,arivechi,arivechi,,true,,4808,not_in_inegi
2020,arivechi,arivechi,,true,,4928,not_in_inegi
2021,arivechi,arivechi,,true,,4980,not_in_inegi
2023,arivechi,arivechi,,true,,4832,not_in_inegi
2024,arivechi,arivechi,,true,,4591,not_in_inegi
2025,arivechi,arivechi,,true,,4704,not_in_inegi
2017,arizpe,arizpe,,true,,4324,not_in_inegi
2018,arizpe,arizpe,,true,,4266,not_in_inegi
2020,arjzpe,arjzpe,,true,,4364,not_in_inegi
2017,atil,atil,,true,,4083,not_in_inegi
2018,atil,atil,,true,,4092,not_in_inegi
2020,atil,atil,,true,,4154,not_in_inegi
2021,atil,atil,,true,,4401,not_in_inegi
2023,atil,atil,,true,,4564,not_in_inegi
2024,atil,atil,,true,,4552,not_in_inegi
2025,atil,atil,,true,,4190,not_in_inegi
2013,bacadehuachi,bacadehuachi,,true,,4047,not_in_inegi
2017,bacadehuachi,bacadehuachi,,true,,4447,not_in_inegi
2018,bacadehuachi,bacadehuachi,,true,,4376,not_in_inegi
2020,bacadehuachi,bacadehuachi,,true,,4518,not_in_inegi
2023,bacadehuachi,bacadehuachi,,true,,4508,not_in_inegi
2024,bacadehuachi,bacadehuachi,,true,,4527,not_in_inegi
