municipio_slug,municipio_nombre,anio,tipo_esquema,esquema_valido,n_tarifa_rows,n_prog_rows,n_tasa_unica_rows,n_cuota_fija_rows,n_mixta_rows,anomalias,json_path
aconchi,Aconchi,2011,tarifa_millar,True,21,0,0,0,0,,data\sonora\json_predial\2011\SON_PREDIAL_2011_aconchi.json
aconchi,Aconchi,2012,progresivo,True,0,11,0,0,0,cambio_esquema_tarifa_millar_a_progresivo_desde_2011,data\sonora\json_predial\2012\SON_PREDIAL_2012_aconchi.json
aconchi,Aconchi,2013,progresivo,True,0,11,0,0,0,,data\sonora\json_predial\2013\SON_PREDIAL_2013_aconchi.json
aconchi,Aconchi,2017,progresivo,True,0,10,0,0,0,,data\sonora\json_predial\2017\SON_PREDIAL_2017_aconchi.json
aconchi,Aconchi,2018,tarifa_millar,True,8,0,0,0,0,cambio_esquema_progresivo_a_tarifa_millar_desde_2017|reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2018\SON_PREDIAL_2018_aconchi.json
aconchi,Aconchi,2019,otro_no_clasificado,False,0,0,0,0,0,otro_no_clasificado_segmento_vacio,data\sonora\json_predial\2019\SON_PREDIAL_2019_aconchi.json
aconchi,Aconchi,2020,progresivo,True,0,10,0,0,0,,data\sonora\json_predial\2020\SON_PREDIAL_2020_aconchi.json
aconchi,Aconchi,2022,otro_no_clasificado,False,0,0,0,0,0,otro_no_clasificado_segmento_vacio,data\sonora\json_predial\2022\SON_PREDIAL_2022_aconchi.json
agua_prieta,Agua Prieta,2012,progresivo,True,0,11,0,0,0,,data\sonora\json_predial\2012\SON_PREDIAL_2012_agua_prieta.json
agua_prieta,Agua Prieta,2017,tarifa_millar,True,2,0,0,0,0,cambio_brusco_n_filas_11_a_2|cambio_esquema_progresivo_a_tarifa_millar_desde_2012|reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2017\SON_PREDIAL_2017_agua_prieta.json
agua_prieta,Agua Prieta,2019,progresivo,True,0,11,0,0,0,cambio_brusco_n_filas_2_a_11|cambio_esquema_tarifa_millar_a_progresivo_desde_2017,data\sonora\json_predial\2019\SON_PREDIAL_2019_agua_prieta.json
agua_prieta,Agua Prieta,2020,tarifa_millar,True,2,0,0,0,0,cambio_brusco_n_filas_11_a_2|cambio_esquema_progresivo_a_tarifa_millar_desde_2019|reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2020\SON_PREDIAL_2020_agua_prieta.json
agua_prieta,Agua Prieta,2023,tarifa_millar,True,2,0,0,0,0,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2023\SON_PREDIAL_2023_agua_prieta.json
agua_prieta,Agua Prieta,2024,progresivo,True,0,11,0,0,0,cambio_brusco_n_filas_2_a_11|cambio_esquema_tarifa_millar_a_progresivo_desde_2023,data\sonora\json_predial\2024\SON_PREDIAL_2024_agua_prieta.json
agua_prieta,Agua Prieta,2025,progresivo,True,0,11,0,0,0,,data\sonora\json_predial\2025\SON_PREDIAL_2025_agua_prieta.json
alamos,Alamos,2010,tarifa_millar,True,1,0,0,0,0,reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2010\SON_PREDIAL_2010_alamos.json
alamos,Alamos,2012,progresivo,True,0,11,0,0,0,cambio_brusco_n_filas_1_a_11|cambio_esquema_tarifa_millar_a_progresivo_desde_2010,data\sonora\json_predial\2012\SON_PREDIAL_2012_alamos.json
alamos,Alamos,2013,tarifa_millar,True,16,0,0,0,0,cambio_esquema_progresivo_a_tarifa_millar_desde_2012|reclasificado_de_progresivo_a_tarifa_millar,data\sonora\json_predial\2013\SON_PREDIAL_2013_alamos.json
alamos,Alamos,2017,progresivo,True,0,11,0,0,0,cambio_esquema_tarifa_millar_a_progresivo_desde_2013,data\sonora\json_predial\2017\SON_PREDIAL_2017_alamos.json
alamos,Alamos,2018,progresivo,True,0,11,0,0,0,,data\sonora\json_predial\2018\SON_PREDIAL_2018_alamos.json
alamos,Alamos,2021,progresivo,True,0,12,0,0,0,,data\sonora\json_predial\2021\SON_PREDIAL_2021_alamos.json
alamos,Alamos,2023,progresivo,True,0,12,0,0,0,,data\sonora\json_predial\2023\SON_PREDIAL_2023_alamos.json
alamos,Alamos,2024,progresivo,True,0,12,0,0,0,,data\sonora\json_predial\2024\SON_PREDIAL_2024_alamos.json
alamos,Alamos,2025,progresivo,True,0,12,0,0,0,,data\sonora\json_predial\2025\SON_PREDIAL_2025_alamos.json
