url_pdf,anio_pub,fecha_publicacion,tomo,numero_boletin,seccion,era,sha256,path_local
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII27.pdf,2009,2009-04-02,CLXXXIII,27,,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII27I.pdf,2009,2009-04-02,CLXXXIII,27,I,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII27II.pdf,2009,2009-04-02,CLXXXIII,27,II,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII27III.pdf,2009,2009-04-02,CLXXXIII,27,III,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII28.pdf,2009,2009-04-06,CLXXXIII,28,,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII28I.pdf,2009,2009-04-06,CLXXXIII,28,I,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII28II.pdf,2009,2009-04-06,CLXXXIII,28,II,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII28III.pdf,2009,2009-04-06,CLXXXIII,28,III,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII28IV.pdf,2009,2009-04-06,CLXXXIII,28,IV,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII29.pdf,2009,2009-04-08,CLXXXIII,29,,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII29I.pdf,2009,2009-04-08,CLXXXIII,29,I,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII30.pdf,2009,2009-04-13,CLXXXIII,30,,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII30I.pdf,2009,2009-04-13,CLXXXIII,30,I,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII30II.pdf,2009,2009-04-13,CLXXXIII,30,II,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII31.pdf,2009,2009-04-16,CLXXXIII,31,,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII31I.pdf,2009,2009-04-16,CLXXXIII,31,I,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII31II.pdf,2009,2009-04-16,CLXXXIII,31,II,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII32.pdf,2009,2009-04-20,CLXXXIII,32,,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII32I.pdf,2009,2009-04-20,CLXXXIII,32,I,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII32II.pdf,2009,2009-04-20,CLXXXIII,32,II,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII33.pdf,2009,2009-04-23,CLXXXIII,33,,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII33I.pdf,2009,2009-04-23,CLXXXIII,33,I,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII33II.pdf,2009,2009-04-23,CLXXXIII,33,II,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII33III.pdf,2009,2009-04-23,CLXXXIII,33,III,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII33IV.pdf,2009,2009-04-23,CLXXXIII,33,IV,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII34.pdf,2009,2009-04-27,CLXXXIII,34,,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII34I.pdf,2009,2009-04-27,CLXXXIII,34,I,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII35.pdf,2009,2009-04-30,CLXXXIII,35,,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII35I.pdf,2009,2009-04-30,CLXXXIII,35,I,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII35II.pdf,2009,2009-04-30,CLXXXIII,35,II,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/abril/2009CLXXXIII35III.pdf,2009,2009-04-30,CLXXXIII,35,III,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/agosto/2009CLXXXIV10.pdf,2009,2009-08-03,CLXXXIV,10,,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/agosto/2009CLXXXIV10I.pdf,2009,2009-08-03,CLXXXIV,10,I,antigua,,
https://boletinoficial.sonora.gob.mx/boletin/images/boletinesPdf/2009/agosto/2009CLXXXIV10II.pdf,2009,2009-08-03,CLXXXIV,10,II,antigua,,
