municipio,anio,flag
naco,2017,millar_rowcount_jump_5_to_15
naco,2018,millar_rowcount_jump_15_to_8
nogales,2020,millar_rowcount_jump_5_to_1
bavispe,2012,millar_rowcount_jump_8_to_14
bavispe,2020,millar_rowcount_jump_1_to_9
divisaderos,2012,millar_rowcount_jump_2_to_9
divisaderos,2017,millar_rowcount_jump_8_to_15
divisaderos,2018,millar_rowcount_jump_15_to_5
divisaderos,2019,millar_rowcount_jump_5_to_8
fronteras,2018,millar_rowcount_jump_2_to_15
fronteras,2020,millar_rowcount_jump_15_to_8
fronteras,2024,millar_rowcount_jump_8_to_1
tubutama,2011,prog_rowcount_jump_11_to_5
benjamin_hill,2021,millar_rowcount_jump_16_to_2
puerto_penasco,2017,millar_rowcount_jump_7_to_2
puerto_penasco,2022,millar_rowcount_jump_1_to_4
altar,2017,prog_rowcount_jump_6_to_11
bacum,2013,millar_rowcount_jump_13_to_8
bacum,2023,millar_rowcount_jump_12_to_8
bacum,2025,millar_rowcount_jump_8_to_18
cucurpe,2013,millar_rowcount_jump_9_to_23
cumpas,2018,millar_rowcount_jump_12_to_3
empalme,2022,millar_rowcount_jump_27_to_1
granados,2021,millar_rowcount_jump_9_to_16
granados,2023,millar_rowcount_jump_16_to_10
huachinera,2021,millar_rowcount_jump_16_to_2
huasabas,2019,millar_rowcount_jump_2_to_23
huasabas,2022,millar_rowcount_jump_16_to_1
huasabas,2023,millar_rowcount_jump_1_to_9
huepac,2017,millar_rowcount_jump_9_to_15
la_colorada,2023,millar_rowcount_jump_13_to_17
la_colorada,2024,millar_rowcount_jump_17_to_12
nacozari_de_garcia,2019,prog_rowcount_jump_11_to_8
nacozari_de_garcia,2020,prog_rowcount_jump_8_to_11
onavas,2022,millar_rowcount_jump_3_to_8
onavas,2023,millar_rowcount_jump_8_to_4
quiriego,2013,millar_rowcount_jump_12_to_16
san_luis_rio_colorado,2020,millar_rowcount_jump_24_to_6
suaqui_grande,2018,millar_rowcount_jump_8_to_15
suaqui_grande,2020,millar_rowcount_jump_15_to_12
suaqui_grande,2023,prog_rowcount_jump_11_to_6
arivechi,2017,millar_rowcount_jump_9_to_2
arivechi,2019,prog_rowcount_jump_6_to_11
arivechi,2020,prog_rowcount_jump_11_to_6
huatabampo,2019,millar_rowcount_jump_18_to_1
la_heroica_ures,2017,millar_rowcount_jump_9_to_1
la_heroica_ures,2018,millar_rowcount_jump_1_to_9
la_heroica_ures,2021,millar_rowcount_jump_8_to_2
san_pedro_de_la_cueva,2023,millar_rowcount_jump_10_to_15
trincheras,2023,prog_rowcount_jump_11_to_5
bacoachi,2020,millar_rowcount_jump_1_to_10
bacoachi,2023,millar_rowcount_jump_8_to_2
baviacora,2023,millar_rowcount_jump_1_to_8
oquitoa,2018,millar_rowcount_jump_14_to_8
